"clade_printed","Species","species_sci","neuron_type","n_cells","dendritic_volume_M1","dendritic_volume_M1_sd","total_dendritic_length_M1","total_dendritic_length_M1_sd","mean_segment_length_M1","mean_segment_length_M1_sd","dendritic_segment_count_M1","dendritic_segment_count_M1_sd","dendritic_spine_number_M1","dendritic_spine_number_M1_sd","dendritic_spine_density_M1","dendritic_spine_density_M1_sd","soma_size_M1","soma_size_M1_sd","soma_depth_M1","soma_depth_M1_sd","gigantopyramidal_absent","method","parse_flags"
"Perissodactyls","Mountain zebra","Equus zebra","Gigantopyramidal",21,60377,3604,4871,340,89,2,55,4,2280,202,0.4,0.03,1260,70,1434,60,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Perissodactyls","Plains zebra","Equus burchelli","Superficial",10,13088,1963,5105,469,79,1,65,6,2896,497,0.45,0.04,377,42,818,50,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Perissodactyls","Plains zebra","Equus burchelli","Deep",13,14339,1613,5015,407,87,4,58,5,2637,307,0.41,0.02,455,28,1168,59,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Perissodactyls","Plains zebra","Equus burchelli","Gigantopyramidal",15,51879,5012,3970,395,104,4,39,4,1976,271,0.37,0.03,870,79,1188,21,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Ring-tailed lemur","Lemur catta","Superficial",9,5729,672,4571,365,65,3,70,5,2652,329,0.5,0.03,225,14,526,33,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Ring-tailed lemur","Lemur catta","Deep",1,2611,NA,3118,NA,82,NA,38,NA,1235,NA,0.28,NA,172,NA,877,NA,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Ring-tailed lemur","Lemur catta","Gigantopyramidal",2,22159,5598,4787,691,69,0.04,69,10,2308,200,0.46,0.03,1007,37,1188,39,FALSE,"Golgi 2-D somatodendritic tracing","MSL printed '69±0.04' - every other MSL SD is an integer 1-14; suspected print error, carried as printed"
"Primates","Golden lion tamarin","Leontopithecus rosalia","Superficial",10,2650,512,4476,330,64,2,71,6,1986,160,0.42,0.03,185,21,715,52,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Golden lion tamarin","Leontopithecus rosalia","Deep",10,5111,856,5029,447,70,4,72,6,2211,257,0.38,0.03,268,34,1255,76,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Golden lion tamarin","Leontopithecus rosalia","Gigantopyramidal",19,26474,2508,6286,399,89,3,73,6,2008,123,0.28,0.02,954,60,1230,38,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Chacma baboon","Papio ursinus","Superficial",10,8294,1142,6511,494,68,3,95,5,4468,546,0.7,0.03,282,21,615,54,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Chacma baboon","Papio ursinus","Deep",10,10491,2355,5968,615,77,4,77,6,3347,387,0.5,0.03,389,59,1505,114,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Chacma baboon","Papio ursinus","Gigantopyramidal",9,45638,10333,9524,621,90,4,107,7,4002,837,0.4,0.05,1018,167,1763,157,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Human","Homo sapiens","Superficial",10,12717,1458,6121,487,66,3,92,4,2213,227,0.32,0.02,452,46,1255,97,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Human","Homo sapiens","Deep",10,11300,1949,5329,516,80,3,68,7,2108,313,0.33,0.02,454,60,2146,96,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Primates","Human","Homo sapiens","Gigantopyramidal",17,29412,2804,7706,503,91,4,87,7,1736,275,0.2,0.03,969,52,1876,68,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Rodent","Rat","Rattus norvegicus","Superficial",10,4126,346,3785,257,61,2,62,4,2252,184,0.5,0.02,173,11,468,22,TRUE,"Golgi 2-D somatodendritic tracing",NA
"Rodent","Rat","Rattus norvegicus","Deep",10,10015,1153,4605,262,71,3,65,4,2174,198,0.41,0.03,362,22,1208,47,TRUE,"Golgi 2-D somatodendritic tracing",NA
