"value_id","Species_SensoryData","common_name","class","source_excel_row","trait","value","value_num","unit","method","substrate","reference","comment","value_origin","qc_status","qc_note"
"SensoryData_r033_visual_acuity_max","Cuniculus paca","Spotted paca","Mammalia",33,"visual_acuity_max","8.4",8.4,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Crocuta crocuta"
"SensoryData_r034_audible_freq_low_60dBSPL","Cynomys leucurus","White-tailed prairie dog","Mammalia",34,"audible_freq_low_60dBSPL","0.044",0.044,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r034_audible_freq_high_60dBSPL","Cynomys leucurus","White-tailed prairie dog","Mammalia",34,"audible_freq_high_60dBSPL","26",26,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r034_interaural_distance_functional","Cynomys leucurus","White-tailed prairie dog","Mammalia",34,"interaural_distance_functional","120",120,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r034_best_sensitivity","Cynomys leucurus","White-tailed prairie dog","Mammalia",34,"best_sensitivity","24",24,"dB","","","Heffner et al 1994a","","published","ok",""
"SensoryData_r034_best_frequency","Cynomys leucurus","White-tailed prairie dog","Mammalia",34,"best_frequency","8",8,"kHz","","","Heffner et al 1994a","","published","ok",""
"SensoryData_r034_binaural_phase_cue","Cynomys leucurus","White-tailed prairie dog","Mammalia",34,"binaural_phase_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r034_binaural_intensity_difference_cue","Cynomys leucurus","White-tailed prairie dog","Mammalia",34,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r035_audible_freq_low_60dBSPL","Cynomys ludovicianus","Black-tailed prairie dog","Mammalia",35,"audible_freq_low_60dBSPL","0.029",0.029,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r035_audible_freq_high_60dBSPL","Cynomys ludovicianus","Black-tailed prairie dog","Mammalia",35,"audible_freq_high_60dBSPL","26",26,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r035_interaural_distance_functional","Cynomys ludovicianus","Black-tailed prairie dog","Mammalia",35,"interaural_distance_functional","134",134,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r035_best_sensitivity","Cynomys ludovicianus","Black-tailed prairie dog","Mammalia",35,"best_sensitivity","20",20,"dB","","","Heffner and Heffner 1992","","published","ok",""
"SensoryData_r035_best_frequency","Cynomys ludovicianus","Black-tailed prairie dog","Mammalia",35,"best_frequency","4",4,"kHz","","","Heffner and Heffner 1992","","published","ok",""
"SensoryData_r035_sound_localization_threshold","Cynomys ludovicianus","Black-tailed prairie dog","Mammalia",35,"sound_localization_threshold","32.8",32.8,"deg","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r035_binaural_phase_cue","Cynomys ludovicianus","Black-tailed prairie dog","Mammalia",35,"binaural_phase_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r035_binaural_intensity_difference_cue","Cynomys ludovicianus","Black-tailed prairie dog","Mammalia",35,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r036_audible_freq_low_60dBSPL","Cynopterus brachyotis","Dog-faced fruit bat","Mammalia",36,"audible_freq_low_60dBSPL","2.63",2.63,"kHz","","","Heffner et al 2006","","published","ok",""
"SensoryData_r036_audible_freq_high_60dBSPL","Cynopterus brachyotis","Dog-faced fruit bat","Mammalia",36,"audible_freq_high_60dBSPL","70",70,"kHz","","","Heffner et al 2006","","published","ok",""
"SensoryData_r036_hearing_range","Cynopterus brachyotis","Dog-faced fruit bat","Mammalia",36,"hearing_range","4.73",4.73,"octaves","","","Heffner et al 2008","","published","ok",""
"SensoryData_r036_interaural_distance_functional","Cynopterus brachyotis","Dog-faced fruit bat","Mammalia",36,"interaural_distance_functional","86",86,"us","","","Heffner et al 2006","","published","ok",""
"SensoryData_r036_best_sensitivity","Cynopterus brachyotis","Dog-faced fruit bat","Mammalia",36,"best_sensitivity","6.5",6.5,"dB","","","Heffner et al 2008","","published","ok",""
"SensoryData_r036_best_frequency","Cynopterus brachyotis","Dog-faced fruit bat","Mammalia",36,"best_frequency","10",10,"kHz","","","Heffner et al 2008","","published","ok",""
"SensoryData_r036_sound_localization_threshold","Cynopterus brachyotis","Dog-faced fruit bat","Mammalia",36,"sound_localization_threshold","10.5",10.5,"deg","","","Heffner et al 2008","","published","ok",""
"SensoryData_r036_binaural_phase_cue_max_freq","Cynopterus brachyotis","Dog-faced fruit bat","Mammalia",36,"binaural_phase_cue_max_freq","Cue not used",,"kHz","","","Heffner et al 2014b","","published","ok",""
"SensoryData_r036_binaural_phase_cue","Cynopterus brachyotis","Dog-faced fruit bat","Mammalia",36,"binaural_phase_cue","N",,"Y/N","","","Heffner et al 2010","","published","ok",""
"SensoryData_r036_binaural_intensity_difference_cue","Cynopterus brachyotis","Dog-faced fruit bat","Mammalia",36,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner et al 2010","","published","ok",""
"SensoryData_r037_visual_acuity_max","Dama dama","Fallow deer","Mammalia",37,"visual_acuity_max","18.48",18.48,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r038_visual_acuity_max","Dasyprocta leporina","Red-rumped agouti","Mammalia",38,"visual_acuity_max","6.21",6.21,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r039_visual_acuity_max","Dasyurus hallucatus","Quoll","Mammalia",39,"visual_acuity_max","2.8",2.8,"c/deg","B","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree; value belongs upstream to: Cuniculus paca"
"SensoryData_r040_visual_acuity_max","Delphinapterus leucas","Beluga whale","Mammalia",40,"visual_acuity_max","2.6",2.6,"c/deg","A","water","Kirk and Kay 2004","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree; value belongs upstream to: Phocoenoides dalli"
"SensoryData_r040_audible_freq_low_60dBSPL","Delphinapterus leucas","Beluga whale","Mammalia",40,"audible_freq_low_60dBSPL","0.125",0.125,"kHz","","water","Koay et al 1998","","published","ok",""
"SensoryData_r040_audible_freq_high_60dBSPL","Delphinapterus leucas","Beluga whale","Mammalia",40,"audible_freq_high_60dBSPL","123.978139484869",123.978139484869,"kHz","","water","Koay et al 1998","8 in original primary source (Awbrey et al 1988)","digitised_from_figure","curator_flag","Notesissues #2: extrapolated Koay et al 1998 value conflicts with primary references"
"SensoryData_r040_best_sensitivity","Delphinapterus leucas","Beluga whale","Mammalia",40,"best_sensitivity","65",65,"dB","","water","Awbrey et al 1988","","published","ok",""
"SensoryData_r040_best_frequency","Delphinapterus leucas","Beluga whale","Mammalia",40,"best_frequency","8",8,"kHz","","water","Awbrey et al 1988","","published","ok",""
"SensoryData_r041_visual_acuity_max","Delphinus delphis","Common dolphin","Mammalia",41,"visual_acuity_max","3.8",3.8,"c/deg","A","water","Kirk and Kay 2004","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree; value belongs upstream to: Odobenus rosmarus|Tursiops truncatus"
"SensoryData_r041_audible_freq_low_60dBSPL","Delphinus delphis","Common dolphin","Mammalia",41,"audible_freq_low_60dBSPL","1",1,"kHz","","water","Koay et al 1998","","published","ok",""
"SensoryData_r041_audible_freq_high_60dBSPL","Delphinus delphis","Common dolphin","Mammalia",41,"audible_freq_high_60dBSPL","150",150,"kHz","","water","Koay et al 1998","","published","ok",""
"SensoryData_r041_sound_localization_threshold","Delphinus delphis","Common dolphin","Mammalia",41,"sound_localization_threshold","1.1",1.1,"deg","","water","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r041_trophic_level","Delphinus delphis","Common dolphin","Mammalia",41,"trophic_level","1",1,"ordinal 1-5","","water","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r042_visual_acuity_max","Desmodus rotundus","Vampire bat","Mammalia",42,"visual_acuity_max","0.625",0.625,"c/deg","B","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r042_audible_freq_low_60dBSPL","Desmodus rotundus","Vampire bat","Mammalia",42,"audible_freq_low_60dBSPL","0.716",0.716,"kHz","","","Heffner et al 2013","","published","ok",""
"SensoryData_r042_audible_freq_high_60dBSPL","Desmodus rotundus","Vampire bat","Mammalia",42,"audible_freq_high_60dBSPL","113",113,"kHz","","","Heffner et al 2013","","published","ok",""
"SensoryData_r042_hearing_range","Desmodus rotundus","Vampire bat","Mammalia",42,"hearing_range","7.3",7.3,"octaves","","","Heffner et al 2013","","published","ok",""
"SensoryData_r042_interaural_distance_functional","Desmodus rotundus","Vampire bat","Mammalia",42,"interaural_distance_functional","61",61,"us","","","Heffner et al 2013","","published","ok",""
"SensoryData_r042_best_sensitivity","Desmodus rotundus","Vampire bat","Mammalia",42,"best_sensitivity","-10",-10,"dB","","","Heffner et al 2015 (secondary table)","-5 in Heffner et al 2013","published","ok",""
"SensoryData_r042_best_frequency","Desmodus rotundus","Vampire bat","Mammalia",42,"best_frequency","15",15,"kHz","","","Heffner et al 2015 (secondary table)","20 Heffner et al 2013","published","ok",""
"SensoryData_r042_sound_localization_threshold","Desmodus rotundus","Vampire bat","Mammalia",42,"sound_localization_threshold","13.1",13.1,"deg","","","Heffner et al 2014b","","published","ok",""
"SensoryData_r042_binaural_phase_cue_max_freq","Desmodus rotundus","Vampire bat","Mammalia",42,"binaural_phase_cue_max_freq","5",5,"kHz","","","Heffner et al 2014b","","published","ok",""
"SensoryData_r042_binaural_phase_cue","Desmodus rotundus","Vampire bat","Mammalia",42,"binaural_phase_cue","Y",,"Y/N","","","Heffner et al 2014b","","published","ok",""
"SensoryData_r042_binaural_intensity_difference_cue","Desmodus rotundus","Vampire bat","Mammalia",42,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner et al 2014b","","published","ok",""
"SensoryData_r043_visual_acuity_max","Diceros bicornis","Black rhinoceros","Mammalia",43,"visual_acuity_max","6",6,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r044_visual_acuity_max","Didelphis marsupialis","Common opossum","Mammalia",44,"visual_acuity_max","1.25",1.25,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r045_visual_acuity_max","Didelphis virginiana","Virginia opossum","Mammalia",45,"visual_acuity_max","2.49",2.49,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r045_audible_freq_low_60dBSPL","Didelphis virginiana","Virginia opossum","Mammalia",45,"audible_freq_low_60dBSPL","1.03",1.03,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r045_audible_freq_high_60dBSPL","Didelphis virginiana","Virginia opossum","Mammalia",45,"audible_freq_high_60dBSPL","68",68,"kHz","","","Koay et al 1998","extrapolated value","published","ok",""
"SensoryData_r045_interaural_distance_functional","Didelphis virginiana","Virginia opossum","Mammalia",45,"interaural_distance_functional","273",273,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r045_best_sensitivity","Didelphis virginiana","Virginia opossum","Mammalia",45,"best_sensitivity","17",17,"dB","","","Ravizza et al. 1969 and Ravizza and Masterton 1972","","published","ok",""
"SensoryData_r045_best_frequency","Didelphis virginiana","Virginia opossum","Mammalia",45,"best_frequency","32",32,"kHz","","","Ravizza et al. 1969 and Ravizza and Masterton 1972","","published","ok",""
"SensoryData_r045_sound_localization_threshold","Didelphis virginiana","Virginia opossum","Mammalia",45,"sound_localization_threshold","4.6",4.6,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r045_field_of_best_vision_width","Didelphis virginiana","Virginia opossum","Mammalia",45,"field_of_best_vision_width","15.8",15.8,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r045_binocular_field","Didelphis virginiana","Virginia opossum","Mammalia",45,"binocular_field","77",77,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r045_trophic_level","Didelphis virginiana","Virginia opossum","Mammalia",45,"trophic_level","4",4,"ordinal 1-5","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r046_audible_freq_low_60dBSPL","Dipodomys merriami","Kangaroo rat","Mammalia",46,"audible_freq_low_60dBSPL","0.042",0.042,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r046_audible_freq_high_60dBSPL","Dipodomys merriami","Kangaroo rat","Mammalia",46,"audible_freq_high_60dBSPL","52",52,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r046_interaural_distance_functional","Dipodomys merriami","Kangaroo rat","Mammalia",46,"interaural_distance_functional","90",90,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r046_best_sensitivity","Dipodomys merriami","Kangaroo rat","Mammalia",46,"best_sensitivity","9",9,"dB","","","Heffner and Heffner 1992","","published","ok",""
"SensoryData_r046_best_frequency","Dipodomys merriami","Kangaroo rat","Mammalia",46,"best_frequency","1",1,"kHz","","","Heffner and Heffner 1992","","published","ok",""
"SensoryData_r046_sound_localization_threshold","Dipodomys merriami","Kangaroo rat","Mammalia",46,"sound_localization_threshold","27",27,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r046_binocular_field","Dipodomys merriami","Kangaroo rat","Mammalia",46,"binocular_field","20",20,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r046_binaural_phase_cue","Dipodomys merriami","Kangaroo rat","Mammalia",46,"binaural_phase_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r046_binaural_intensity_difference_cue","Dipodomys merriami","Kangaroo rat","Mammalia",46,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r046_trophic_level","Dipodomys merriami","Kangaroo rat","Mammalia",46,"trophic_level","5",5,"ordinal 1-5","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r047_visual_acuity_max","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"visual_acuity_max","3.4",3.4,"c/deg","A","","Heffner et al 2008","ganglion cell density","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r047_audible_freq_low_60dBSPL","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"audible_freq_low_60dBSPL","1.38",1.38,"kHz","","","Heffner et al 2006","","published","ok",""
"SensoryData_r047_audible_freq_high_60dBSPL","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"audible_freq_high_60dBSPL","41",41,"kHz","","","Heffner et al 2006","","published","ok",""
"SensoryData_r047_hearing_range","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"hearing_range","4.82",4.82,"octaves","","","Heffner et al 2008","","published","ok",""
"SensoryData_r047_interaural_distance_functional","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"interaural_distance_functional","145",145,"us","","","Heffner et al 2006","","published","ok",""
"SensoryData_r047_best_sensitivity","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"best_sensitivity","10",10,"dB","","","Heffner et al 2008","Had ""?"" but was double-checked","published","ok",""
"SensoryData_r047_best_frequency","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"best_frequency","8",8,"kHz","","","Heffner et al 2008","","published","ok",""
"SensoryData_r047_sound_localization_threshold","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"sound_localization_threshold","11.7",11.7,"deg","","","Heffner et al 2008","","published","ok",""
"SensoryData_r047_field_of_best_vision_width","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"field_of_best_vision_width","45.5",45.5,"deg","","","Heffner et al 2008","","published","ok",""
"SensoryData_r047_binaural_phase_cue_max_freq","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"binaural_phase_cue_max_freq","Cue not used",,"kHz","","","Heffner et al 2014b","","published","ok",""
"SensoryData_r047_binaural_phase_cue","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"binaural_phase_cue","N",,"Y/N","","","Heffner et al 2010","","published","ok",""
"SensoryData_r047_binaural_intensity_difference_cue","Eidolon helvum","Straw-colored fruit bat","Mammalia",47,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner et al 2010","","published","ok",""
"SensoryData_r048_audible_freq_low_60dBSPL","Elephas maximus","Indian elephant","Mammalia",48,"audible_freq_low_60dBSPL","0.017",0.017,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r048_audible_freq_high_60dBSPL","Elephas maximus","Indian elephant","Mammalia",48,"audible_freq_high_60dBSPL","10.5",10.5,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r048_interaural_distance_functional","Elephas maximus","Indian elephant","Mammalia",48,"interaural_distance_functional","3350",3350,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r048_best_sensitivity","Elephas maximus","Indian elephant","Mammalia",48,"best_sensitivity","8",8,"dB","","","Heffner and Heffner 1982","","published","ok",""
"SensoryData_r048_best_frequency","Elephas maximus","Indian elephant","Mammalia",48,"best_frequency","1",1,"kHz","","","Heffner and Heffner 1982","","published","ok",""
"SensoryData_r048_sound_localization_threshold","Elephas maximus","Indian elephant","Mammalia",48,"sound_localization_threshold","1.2",1.2,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r048_binocular_field","Elephas maximus","Indian elephant","Mammalia",48,"binocular_field","80",80,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r048_binaural_phase_cue","Elephas maximus","Indian elephant","Mammalia",48,"binaural_phase_cue","Y",,"Y/N","","","Heffner and Heffner 1982","","published","ok",""
"SensoryData_r048_binaural_intensity_difference_cue","Elephas maximus","Indian elephant","Mammalia",48,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner and Heffner 1982","","published","ok",""
"SensoryData_r048_trophic_level","Elephas maximus","Indian elephant","Mammalia",48,"trophic_level","3",3,"ordinal 1-5","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r049_visual_acuity_max","Ellobius lutescens","Transcaucasian mole vole","Mammalia",49,"visual_acuity_max","0.4",0.4,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree; value belongs upstream to: Rhinolophus rouxii"
"SensoryData_r050_visual_acuity_max","Ellobius talpinus","Northern mole vole","Mammalia",50,"visual_acuity_max","0.9",0.9,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree; value belongs upstream to: Sotalia fluviatilis"
"SensoryData_r051_visual_acuity_max","Enhydra lutris","Sea otter","Mammalia",51,"visual_acuity_max","4.2",4.2,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree; value belongs upstream to: Balaenoptera acutorostrata|Eumetopias jubatus|Microcebus murinus"
"SensoryData_r052_visual_acuity_max","Eptesicus fuscus","Big brown bat","Mammalia",52,"visual_acuity_max","0.5",0.5,"c/deg","B","","Veilleaux and Kirk 2014","Determined by optomotor response","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree; value belongs upstream to: Mesocricetus auratus|Mus musculus"
"SensoryData_r052_audible_freq_low_60dBSPL","Eptesicus fuscus","Big brown bat","Mammalia",52,"audible_freq_low_60dBSPL","3.7",3.7,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r052_audible_freq_high_60dBSPL","Eptesicus fuscus","Big brown bat","Mammalia",52,"audible_freq_high_60dBSPL","104",104,"kHz","","","Koay et al 1998","red","published","ok",""
"SensoryData_r052_interaural_distance_functional","Eptesicus fuscus","Big brown bat","Mammalia",52,"interaural_distance_functional","55",55,"us","","","Koay et al 1998","50 in Koay et al 1997","published","ok",""
"SensoryData_r052_best_sensitivity","Eptesicus fuscus","Big brown bat","Mammalia",52,"best_sensitivity","7",7,"dB","","","Heffner et al 2015 (secondary table)","","published","ok",""
"SensoryData_r052_best_frequency","Eptesicus fuscus","Big brown bat","Mammalia",52,"best_frequency","20",20,"kHz","","","Heffner et al 2015 (secondary table)","","published","ok",""
"SensoryData_r052_sound_localization_threshold","Eptesicus fuscus","Big brown bat","Mammalia",52,"sound_localization_threshold","14",14,"deg","","","Heffner et al 2008","","published","ok",""
"SensoryData_r052_field_of_best_vision_width","Eptesicus fuscus","Big brown bat","Mammalia",52,"field_of_best_vision_width","139",139,"deg","","","Koay et al. 1998b","","published","ok",""
"SensoryData_r052_binaural_phase_cue_max_freq","Eptesicus fuscus","Big brown bat","Mammalia",52,"binaural_phase_cue_max_freq","Cue not used",,"kHz","","","Heffner et al 2014b","","published","ok",""
"SensoryData_r052_binaural_phase_cue","Eptesicus fuscus","Big brown bat","Mammalia",52,"binaural_phase_cue","N",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r052_binaural_intensity_difference_cue","Eptesicus fuscus","Big brown bat","Mammalia",52,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r053_visual_acuity_max","Equus caballus","Domestic horse","Mammalia",53,"visual_acuity_max","23.3",23.3,"c/deg","B","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r053_audible_freq_low_60dBSPL","Equus caballus","Domestic horse","Mammalia",53,"audible_freq_low_60dBSPL","0.055",0.055,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r053_audible_freq_high_60dBSPL","Equus caballus","Domestic horse","Mammalia",53,"audible_freq_high_60dBSPL","33.5",33.5,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r053_interaural_distance_functional","Equus caballus","Domestic horse","Mammalia",53,"interaural_distance_functional","684",684,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r053_best_sensitivity","Equus caballus","Domestic horse","Mammalia",53,"best_sensitivity","7",7,"dB","","","Heffner 1998","","published","ok",""
"SensoryData_r053_best_frequency","Equus caballus","Domestic horse","Mammalia",53,"best_frequency","2",2,"kHz","","","Heffner 1998","Value different from Heffner and Heffner 1990","published","ok",""
"SensoryData_r053_sound_localization_threshold","Equus caballus","Domestic horse","Mammalia",53,"sound_localization_threshold","25",25,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r053_binocular_field","Equus caballus","Domestic horse","Mammalia",53,"binocular_field","28",28,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r053_binaural_phase_cue","Equus caballus","Domestic horse","Mammalia",53,"binaural_phase_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r053_binaural_intensity_difference_cue","Equus caballus","Domestic horse","Mammalia",53,"binaural_intensity_difference_cue","N",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r053_trophic_level","Equus caballus","Domestic horse","Mammalia",53,"trophic_level","5",5,"ordinal 1-5","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r054_audible_freq_low_60dBSPL","Erythrocebus patas","Patas monkey","Mammalia",54,"audible_freq_low_60dBSPL","0.245",0.245,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r054_audible_freq_high_60dBSPL","Erythrocebus patas","Patas monkey","Mammalia",54,"audible_freq_high_60dBSPL","30.5",30.5,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r054_hearing_range","Erythrocebus patas","Patas monkey","Mammalia",54,"hearing_range","6.96",6.96,"octaves","","","Heffner 2004","","published","ok",""
"SensoryData_r054_best_sensitivity","Erythrocebus patas","Patas monkey","Mammalia",54,"best_sensitivity","14",14,"dB","","","Heffner 2004","","published","ok",""
"SensoryData_r054_best_frequency","Erythrocebus patas","Patas monkey","Mammalia",54,"best_frequency","8",8,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r055_visual_acuity_max","Eschrichtius robustus","Gray whale","Mammalia",55,"visual_acuity_max","2.7",2.7,"c/deg","A","water","Kirk and Kay 2004","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree; value belongs upstream to: Macropus eugenii|Phocoena phocoena"
"SensoryData_r056_audible_freq_low_60dBSPL","Eulemur fulvus","Brown lemur","Mammalia",56,"audible_freq_low_60dBSPL","0.072",0.072,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r056_audible_freq_high_60dBSPL","Eulemur fulvus","Brown lemur","Mammalia",56,"audible_freq_high_60dBSPL","43",43,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r056_hearing_range","Eulemur fulvus","Brown lemur","Mammalia",56,"hearing_range","9.22",9.22,"octaves","","","Heffner 2004","","published","ok",""
"SensoryData_r056_interaural_distance_functional","Eulemur fulvus","Brown lemur","Mammalia",56,"interaural_distance_functional","272.261451822322",272.261451822322,"us","","","Koay et al 1998","extracted from fig 6","digitised_from_figure","ok",""
"SensoryData_r056_best_sensitivity","Eulemur fulvus","Brown lemur","Mammalia",56,"best_sensitivity","-1",-1,"dB","","","Heffner 2004","","published","ok",""
"SensoryData_r056_best_frequency","Eulemur fulvus","Brown lemur","Mammalia",56,"best_frequency","8",8,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r057_visual_acuity_max","Eulemur macaco","Blue-eyed black lemur","Mammalia",57,"visual_acuity_max","5.14",5.14,"c/deg","B","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r058_visual_acuity_max","Eumetopias jubatus","Stellar sea lion","Mammalia",58,"visual_acuity_max","4.2",4.2,"c/deg","B","water","Kirk and Kay 2004","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree; value belongs upstream to: Balaenoptera acutorostrata|Enhydra lutris|Microcebus murinus"
"SensoryData_r059_visual_acuity_max","Felis catus","Domestic cat","Mammalia",59,"visual_acuity_max","8.85",8.85,"c/deg","B","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r059_audible_freq_low_60dBSPL","Felis catus","Domestic cat","Mammalia",59,"audible_freq_low_60dBSPL","0.055",0.055,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r059_audible_freq_high_60dBSPL","Felis catus","Domestic cat","Mammalia",59,"audible_freq_high_60dBSPL","79",79,"kHz","","","Heffner 1998","","published","ok",""
