source_row,specimen_number,species,common_name,material,stain,plane,section_thickness_micrometers,number_of_slides,number_of_sections,collection_group,continuation_note
518,492,Rattus norwegicus,Brown rat,Brain,Weil,Transverse,,40,984,MAMMALS,
519,493,Rattus norwegicus,Brown rat,Brain,Cox - Golgi,Transverse,,37,390,MAMMALS,
520,494,Rattus norwegicus,Brown rat,Brain,Cox - Golgi,Transverse,,32,642,MAMMALS,
521,495,Rattus norwegicus,Brown rat,Brain,Cox - Golgi,Sagittal,,99,547,MAMMALS,
522,496,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Transverse,,8,417,MAMMALS,
523,497,Rattus norwegicus,Brown rat,Brain & cord,Pyr. silver,Transverse,,13,751,MAMMALS,
524,498,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Transverse,25,26,700,MAMMALS,
525,499,Rattus norwegicus,Brown rat,Brain & head,Pyr. silver,Transverse,20,28,796,MAMMALS,
526,500,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Transverse,20,75,1564,MAMMALS,
527,501,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Transverse,20,31,,MAMMALS,
528,502,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Transverse,20,34,1378,MAMMALS,
529,503,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Transverse,20,36,1042,MAMMALS,
530,504,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Horizontal,,25,332,MAMMALS,
531,505,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Horizontal,,24,319,MAMMALS,
532,506,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Horizontal,,33,336,MAMMALS,
533,507,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Horizontal,,41,419,MAMMALS,
534,508,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Horizontal,,47,411,MAMMALS,
535,509,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Horizontal,,48,365,MAMMALS,
536,510,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Sagittal,,10,292,MAMMALS,
537,511,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Sagittal,18,39,451,MAMMALS,
538,512,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Sagittal,,47,692,MAMMALS,
539,513,Rattus norwegicus,Brown rat,Brain,Pyr. silver,Sagittal,20,97,605,MAMMALS,
540,514,Rattus norwegicus,Brown rat,Brain,Cox - Chr. Silver,Sagittal,20,40,447,MAMMALS,( 3 days old )
541,515,Rattus norwegicus,Brown rat,Brain & head,Cox - Chr. Silver,Sagittal,20,30,342,MAMMALS,( 3 days old )
542,516,Rattus norwegicus,Brown rat,Brain & head,Cox - Chr. Silver,Sagittal,,36,488,MAMMALS,
