"Species","Body_Mass.g"
"Cricetulus migratorius",34.6
"Cricetulus sokolovi",37.67
"Cricetus auratus",500
"Cricetus cricetus",385.387
"Cro-Magnon",67550
"Crocidura aleksandrisi",10.35
"Crocidura allex",10.35
"Crocidura andamanensis",10.35
"Crocidura ansellorum",10.35
"Crocidura arabica",5.86
"Crocidura arispa",10.42
"Crocidura armenica",10.35
"Crocidura attenuata",14.27
"Crocidura attila",10.35
"Crocidura baileyi",10.35
"Crocidura baluensis",16.9
"Crocidura batesi",15.5
"Crocidura beatus",10.55
"Crocidura beccarii",10.35
"Crocidura bottegi",3.5
"Crocidura bottegoides",3.07
"Crocidura brunnea",10.42
"Crocidura buettikoferi",10.35
"Crocidura caliginea",10.35
"Crocidura canariensis",7.5
"Crocidura caspica",10.42
"Crocidura cinderella",10.35
"Crocidura congobelgica",10.35
"Crocidura crenata",6.52
"Crocidura crossei",6.9
"Crocidura cyanea",9.35
"Crocidura denti",7
"Crocidura desperata",10.35
"Crocidura dhofarensis",5.8
"Crocidura dolichura",5.7
"Crocidura douceti",4.3
"Crocidura dsinezumi",10.21
"Crocidura eisentrauti",10.35
"Crocidura elgonius",6.5
"Crocidura elongata",17.8
"Crocidura erica",10.35
"Crocidura fischeri",10.35
"Crocidura flavescens",29.02
"Crocidura floweri",10.35
"Crocidura foetida",10.42
"Crocidura foxi",19
"Crocidura fuliginosa",12
"Crocidura fulvastra",12.67
"Crocidura fumosa",14.5
"Crocidura fuscomurina",4.76
"Crocidura glassi",10.35
"Crocidura gmelini",10.42
"Crocidura goliath",54.84
"Crocidura gracilipes",6.7
"Crocidura grandiceps",23
"Crocidura grandis",10.35
"Crocidura grassei",13.5
"Crocidura grayi",10.3
"Crocidura greenwoodi",10.35
"Crocidura harenna",8.5
"Crocidura hildegardeae",9.75
"Crocidura hilliana",10.42
"Crocidura hirta",15.8
"Crocidura hispida",10.35
"Crocidura horsfieldii",5
"Crocidura hutanis",10.42
"Crocidura ichnusae",10.35
"Crocidura indochinensis",10.42
"Crocidura jacksoni",7
"Crocidura jenkinsi",12.6
"Crocidura jouvenetae",9.995
"Crocidura katinka",10.42
"Crocidura kivuana",9
"Crocidura lamottei",20.5
"Crocidura lanosa",22.6
"Crocidura lasiura",14.8
"Crocidura latona",10.35
"Crocidura lea",6.6
"Crocidura lepidura",10.42
"Crocidura leucodon",10.76
"Crocidura levicula",1.77
"Crocidura littoralis",16
"Crocidura longipes",19.3
"Crocidura lucina",10.35
"Crocidura ludia",5.15
"Crocidura luna",13.15
"Crocidura lusitania",2
"Crocidura macarthuri",10.35
"Crocidura macmillani",10.35
"Crocidura macowi",10.35
"Crocidura malayana",12.7
"Crocidura manengubae",10.35
"Crocidura maquassiensis",6
"Crocidura mariquensis",11.25
"Crocidura maurisca",14
"Crocidura maxi",7.53
"Crocidura mindorus",18
"Crocidura miya",10.2
"Crocidura monax",16
"Crocidura monticola",6.6
"Crocidura montis",14.5
"Crocidura muricauda",10.35
"Crocidura musseri",10.42
"Crocidura mutesae",23.91
"Crocidura nana",10.35
"Crocidura nanilla",6.5
"Crocidura negligens",10.42
"Crocidura negrina",11.33
"Crocidura nicobarica",28.9
"Crocidura nigeriae",23
"Crocidura nigricans",20
"Crocidura nigripes",13.2
"Crocidura nigrofusca",11.75
"Crocidura nimbae",15.5
"Crocidura niobe",16
"Crocidura obscurior",10.35
"Crocidura olivieri",47
"Crocidura orientalis",15.8
"Crocidura orii",14.4
"Crocidura palawanensis",10.35
"Crocidura paradoxura",8.23
"Crocidura parvipes",10.35
"Crocidura pasha",6.5
"Crocidura pergrisea",10.1
"Crocidura phaeura",10.35
"Crocidura picea",10.35
"Crocidura pitmani",10.35
"Crocidura planiceps",2.5
"Crocidura poensis",16.935
"Crocidura polia",10.35
"Crocidura pullata",10.35
"Crocidura raineyi",14.5
"Crocidura ramona",10.42
"Crocidura rapax",10.42
"Crocidura religiosa",7
"Crocidura rhoditis",14
"Crocidura roosevelti",10.35
"Crocidura russala",11.6
"Crocidura russula",11.02
"Crocidura selina",10.35
"Crocidura serezkyensis",10.35
"Crocidura shantungensis",10.42
"Crocidura sibirica",10.35
"Crocidura sicula",6.9
"Crocidura silacea",8
"Crocidura smithii",10.35
"Crocidura somalica",11.5
"Crocidura stenocephala",21
"Crocidura suaveolens",6.437
"Crocidura susiana",10.35
"Crocidura tanakae",10.42
"Crocidura tansaniana",10.35
"Crocidura tarella",10.35
"Crocidura tarfayensis",6.5
"Crocidura telfordi",10.35
"Crocidura tenuis",9.43
"Crocidura thalia",10.35
"Crocidura theresae",17.6
"Crocidura thomensis",10.35
"Crocidura trichura",10.42
"Crocidura turba",14.5
"Crocidura ultima",16
"Crocidura usambarae",9.7
"Crocidura viaria",15.85
"Crocidura virgata",10.42
"Crocidura voi",10.35
"Crocidura vorax",10.42
"Crocidura vosmaeri",10.42
"Crocidura watasei",10.42
"Crocidura whitakeri",5.5
"Crocidura wimmeri",23.5
"Crocidura wuchihensis",4.3
"Crocidura xantippe",10.35
"Crocidura yankariensis",5
"Crocidura zaphiri",10.35
"Crocidura zarudnyi",6.71
"Crocidura zimmeri",14.5
"Crocidura zimmermanni",10.35
"Crocuta crocuta",63808.01
"Crossarchus alexandri",1500
"Crossarchus ansorgei",700
"Crossarchus obscurus",1057.5
"Crossarchus platycephalus",1250
"Crossomys moncktoni",165
"Crunomys celebensis",55
"Crunomys fallax",37.5
"Crunomys melanius",42.5
"Crunomys suncoides",44.42
"Cryptochloris wintoni",25
"Cryptochloris zyli",25
"Cryptomys amatus",77.02
"Cryptomys bocagei",94.2
"Cryptomys foxi",183.14
"Cryptomys hottentotus",87.695
"Cryptomys hottentotus natalensis",99.02
"Cryptomys hottentotus pretoriae",104.27
"Cryptomys kafuensis",125.41
"Cryptomys ochraceocinereus",200
"Cryptomys zechi",223.06
"Cryptoprocta ferox",8591.667
"Cryptotis alticola",7.72
"Cryptotis brachyonyx",7.72
"Cryptotis colombiana",7.72
"Cryptotis endersi",8
"Cryptotis equatoris",7.72
"Cryptotis goldmani",8
"Cryptotis goodwini",7
"Cryptotis gracilis",7
"Cryptotis griseoventris",7.72
"Cryptotis hondurensis",5
"Cryptotis magna",7
"Cryptotis mayensis",5
"Cryptotis medellinia",7.72
"Cryptotis mera",7.72
"Cryptotis meridensis",11.57
"Cryptotis merriami",7.72
"Cryptotis mexicana",7
"Cryptotis montivaga",11.3
"Cryptotis nelsoni",7.72
"Cryptotis nigrescens",7.65
"Cryptotis obscura",7.72
"Cryptotis orophila",7.72
"Cryptotis parva",9.9
"Cryptotis peregrina",7.72
"Cryptotis peruviensis",7.72
"Cryptotis phillipsii",7.72
"Cryptotis squamipes",11
"Cryptotis tamensis",7.72
"Cryptotis thomasi",12.6
"Cryptotis tropicalis",7.72
"Ctenodactylus gundi",289
"Ctenodactylus vali",175
"Ctenomys argentinus",221.3
"Ctenomys australis",339.2
"Ctenomys azarae",400
"Ctenomys bergi",259.74
"Ctenomys boliviensis",535
"Ctenomys bonettoi",202.3
"Ctenomys brasiliensis",400
"Ctenomys budini",259.74
"Ctenomys colburni",400
"Ctenomys coludo",259.74
"Ctenomys conoveri",860
"Ctenomys coyhaiquensis",259.74
"Ctenomys dorbignyi",259.74
"Ctenomys dorsalis",165.6
"Ctenomys emilianus",285.3
"Ctenomys famosus",259.74
"Ctenomys flamarioni",259.74
"Ctenomys fochi",259.74
"Ctenomys fodax",259.74
"Ctenomys frater",172.9
"Ctenomys fulvus",268.5
"Ctenomys goodfellowi",259.74
"Ctenomys haigi",164
"Ctenomys johannis",259.74
"Ctenomys juris",259.74
"Ctenomys knighti",316
"Ctenomys lami",259.74
"Ctenomys latro",192
"Ctenomys leucodon",243.6
"Ctenomys lewisi",117.2
"Ctenomys magellanicus",267.55
"Ctenomys maulinus",215
"Ctenomys mendocinus",163.05
"Ctenomys minutus",92
"Ctenomys occultus",150
"Ctenomys opimus",288.85
"Ctenomys osvaldoreigi",259.74
"Ctenomys pearsoni",212
"Ctenomys perrensi",400
"Ctenomys peruanus",490
"Ctenomys pilarensis",259.74
"Ctenomys pontifex",400
"Ctenomys porteousi",194.05
"Ctenomys pundti",259.74
"Ctenomys rionegrensis",259.74
"Ctenomys roigi",259.74
"Ctenomys saltarius",230
"Ctenomys scagliai",259.74
"Ctenomys sericeus",400
"Ctenomys sociabilis",400
"Ctenomys steinbachi",385
"Ctenomys sylvanus",259.74
"Ctenomys talarum",128.597
"Ctenomys torquatus",209.5
"Ctenomys tuconax",287.4
"Ctenomys tucumanus",217
"Ctenomys tulduco",259.74
"Ctenomys validus",232.6
"Ctenomys viperinus",259.74
"Ctenomys yolandae",259.74
"Cuniculus paca",7311.85
"Cuniculus taczanowskii",8999.95
"Cuon alpinus",14591.11
"Cuscomys ashaninka",910
"Cuscomys oblativa",910
"Cyclopes didactylus",301.488
"Cynictis penicillata",678.104
"Cynocephalus volans",1275
"Cynogale bennettii",4255
"Cynomops abrasus",34.345
"Cynomops greenhalli",16.685
"Cynomops mexicanus",17.21
"Cynomops paranus",12.16
"Cynomops planirostris",10.045
"Cynomys gunnisoni",783.65
"Cynomys leucurus",964.82
"Cynomys ludovicianus",1113.817
"Cynomys mexicanus",948.995
"Cynomys parvidens",737.995
"Cynopterus brachyotis",33.553
"Cynopterus horsfieldii",56.445
"Cynopterus luzoniensis",40.3
"Cynopterus minutus",26.45
"Cynopterus nusatenggara",36.44
"Cynopterus sphinx",43.03
"Cynopterus titthaecheilus",58.33
"Cystophora cristata",285586.75
"Cyttarops alecto",5.3
"Dacnomys millardi",73.99
"Dactylomys boliviensis",728.8
"Dactylomys dactylinus",649.99
"Dactylomys peruanus",382
"Dactylopsila megalura",277.74
"Dactylopsila palpator",416.5
"Dactylopsila tatei",252
"Dactylopsila trivirgata",435
"Dama dama",44785
"Damaliscus korrigum",127194.87
"Damaliscus lunatus",123500.17
"Damaliscus pygargus",82250
"Damaliscus pygargus phillipsi",60000
"Damaliscus superstes",120837.92
"Dasycercus cristicauda",95.95
"Dasykaluta rosamondae",33.083
"Dasymys alleni",102.35
"Dasymys cabrali",102.35
"Dasymys foxi",116.59
"Dasymys incomtus",138.3
"Dasymys montanus",82
"Dasymys nudipes",100.18
"Dasymys rufulus",82.99
"Dasymys rwandae",102.35
"Dasymys sua",102.35
"Dasyprocta azarae",3079.495
"Dasyprocta coibae",2660.13
"Dasyprocta cristata",2650.03
"Dasyprocta fuliginosa",3500.02
"Dasyprocta guamara",2650.03
"Dasyprocta kalinowskii",2650.03
"Dasyprocta leporina",2961.255
"Dasyprocta mexicana",5000
"Dasyprocta punctata",2923.49
"Dasyprocta ruatanica",2857.13
"Dasypus hybridus",1500
"Dasypus kappleri",9500
"Dasypus novemcinctus",5000
"Dasypus pilosus",4444.98
"Dasypus sabanicola",1265.005
"Dasypus septemcinctus",1526.65
"Dasypus yepesi",2785.87
"Dasyuroides byrnei",110.804
"Dasyurus albopunctatus",632
"Dasyurus geoffroii",1172.733
"Dasyurus hallucatus",750
"Dasyurus maculatus",4093.704
"Dasyurus spartacus",686.335
"Dasyurus viverrinus",1031.544
"Daubentonia madagascarensis",2800
"Daubentonia madagascariensis",2800
"Delanymys brooksi",5
"Delomys collinus",77.94
"Delomys dorsalis",67.5
"Delomys sublineatus",90
"Delphinapterus leucas",827750
"Delphinus capensis",80000
"Delphinus delphis",75028.987
"Deltamys kempi",26.4
"Dendrogale melanura",60
"Dendrogale murina",50
"Dendrohyrax arboreus",2960.367
"Dendrohyrax dorsalis",2178.333
"Dendrolagus bennettianus",10950
"Dendrolagus dorianus",16500
"Dendrolagus goodfellowi",7824.593
"Dendrolagus inustus",13240.625
"Dendrolagus lumholtzi",6972.5
"Dendrolagus matschiei",6960
"Dendrolagus mbaiso",9395.06
"Dendrolagus pulcherrimus",9511.11
"Dendrolagus scottae",10437.5
"Dendrolagus spadix",9100
"Dendrolagus stellarum",9511.11
"Dendrolagus ursinus",10725
"Dendromus insignis",11.05
"Dendromus kahuziensis",11
"Dendromus leucostomus",10.79
"Dendromus lovati",12
"Dendromus melanotis",9.06
"Dendromus mesomelas",11.12
"Dendromus messorius",12.81
"Dendromus mystacalis",7.72
"Dendromus nyasae",13.72
"Dendromus nyikae",15
"Dendromus oreas",12.76
"Dendromus vernayi",12.76
"Dendroprionomys rousseloti",67.18
"Deomys ferrugineus",62
"Dephomys defua",43.05
"Dephomys eburneae",52.5
"Desmana moschata",440
"Desmodilliscus braueri",10
"Desmodillus auricularis",62.6
"Desmodus rotundus",29.242
"Desmodus rufus",33
"Desmomys harringtoni",90
"Desmomys yaldeni",90
"Diaemus youngi",35.86
"Dicerorhinus sumatrensis",1266667
"Diceros bicornis",972980.45
"Diclidurus albus",15.6
"Diclidurus ingens",123
"Diclidurus isabellus",14
"Diclidurus scutatus",13.25
"Dicrostonyx groenlandicus",59.017
"Dicrostonyx hudsonius",57
"Dicrostonyx nelsoni",60.85
"Dicrostonyx nunatakensis",60.82
"Dicrostonyx richardsoni",53.55
"Dicrostonyx torquatus",75.933
"Dicrostonyx unalascensis",60.84
"Dicrostonyx vinogradovi",60.78
"Didelphis albiventris",904
"Didelphis aurita",1209.995
"Didelphis imperfecta",1260.04
"Didelphis marsupialis",1700
"Didelphis pernigra",1260.04
"Didelphis virginiana",3700
"Dinaromys bogdanovi",56
"Dinomys branickii",13250
"Diomys crumpi",73.85
"Diphylla ecaudata",29.383
"Diplogale hosei",3124.89
"Diplomesodon pulchellum",11
"Diplomys caniceps",394.5
"Diplomys labilis",227.5
"Diplomys rufodorsalis",144.8
"Diplothrix legata",76.52
"Dipodillus bottai",35.1
"Dipodillus campestris",32.427
"Dipodillus dasyurus",25.2
"Dipodillus harwoodi",23.63
"Dipodillus jamesi",23.63
"Dipodillus lowei",34.71
"Dipodillus mackilligini",34.37
"Dipodillus maghrebi",23.63
"Dipodillus rupicola",23.63
"Dipodillus simoni",17.4
"Dipodillus somalicus",36.01
"Dipodillus stigmonyx",35.91
"Dipodillus zakariai",35.95
"Dipodomys agilis",59.95
"Dipodomys californicus",84.96
"Dipodomys compactus",49.25
"Dipodomys deserti",109.711
"Dipodomys elator",77.5
"Dipodomys gravipes",83.97
"Dipodomys heermanni",66.983
"Dipodomys ingens",133.85
"Dipodomys merriami",39.292
"Dipodomys microps",57.233
"Dipodomys nelsoni",88.6
"Dipodomys nitratoides",40.85
"Dipodomys ordii",55.1
"Dipodomys panamintinus",70.989
"Dipodomys phillipsii",41
"Dipodomys simulans",70.36
"Dipodomys spectabilis",126.81
"Dipodomys stephensi",69.75
"Dipodomys venustus",72
"Dipus sagitta",82.425
"Distoechurus pennatus",47.05
"Dobsonia anderseni",237.495
"Dobsonia beauforti",159.01
"Dobsonia chapmani",216.03
"Dobsonia crenulata",218.21
"Dobsonia emersa",195.5
"Dobsonia exoleta",249
"Dobsonia inermis",149.5
"Dobsonia magna",465
"Dobsonia minor",79.29
"Dobsonia moluccensis",370.247
"Dobsonia pannietensis",267.7
"Dobsonia peronii",226.51
"Dobsonia praedatrix",186.233
"Dobsonia viridis",238
"Dolichotis patagonum",8000
"Dolichotis salinicola",1604.333
"Dologale dybowskii",350
"Dorcatragus megalotis",10249.91
"Dorcopsis atrata",3983.25
"Dorcopsis hageni",5500
"Dorcopsis luctuosa",6351
"Dorcopsis muelleri",4325
"Dorcopsulus macleayi",2988
"Dorcopsulus vanheurni",1741.125
"Dremomys everetti",147.5
"Dremomys gularis",190.97
"Dremomys lokriah",227
"Dremomys pernyi",198.63
"Dremomys pyrrhomerus",167.73
"Dremomys rufigenis",220
"Dromiciops gliroides",26.011
"Dryomys laniger",20
"Dryomys niethammeri",25.92
"Dryomys nitedula",29.35
"Dugong dugon",295500
"Dusicyon australis",50003.45
"Dyacopterus brooksi",78
"Dyacopterus spadiceus",78
"Dymecodon pilirostris",15.46
"east-central group",14742
"Echimys chrysurus",652.25
"Echimys saturnus",626.9
"Echimys semivillosus",200
"Echinoprocta rufescens",831.8
"Echinops telfairi",87.517
"Echinosorex gymnura",878.333
"Echiothrix centrosa",71.33
"Echiothrix leucura",63.68
"Echymipera clara",1236.5
"Echymipera davidi",950
"Echymipera echinista",1000
"Echymipera kalubu",809.057
"Echymipera rufescens",1248.667
"Ectophylla alba",5.76
"Eidolon dupreanum",283.75
"Eidolon helvum",260.03
"Eira barbara",3176.01
"Elaphodus cephalophus",33500
"Elaphurus davidianus",149000
"Elephantulus brachyrhynchus",46.4
"Elephantulus edwardii",48.9
"Elephantulus fuscipes",57
"Elephantulus fuscus",52.56
"Elephantulus intufi",48.515
"Elephantulus myurus",55.605
"Elephantulus revoili",32.5
"Elephantulus rozeti",46.65
"Elephantulus rufescens",53.025
"Elephantulus rupestris",63.05
"Elephas maximus",6e+06
"Eligmodontia moreni",18
"Eligmodontia morgani",16.5
"Eligmodontia puerulus",24.75
"Eligmodontia typus",17.4
"Eliomys melanurus",98.7
"Eliomys munbyanus",106.54
"Eliomys quercinus",79.65
"Eliurus antsingy",77.7
"Eliurus ellermani",100
"Eliurus grandidieri",77.7
"Eliurus majori",100
"Eliurus minor",37.5
"Eliurus myoxinus",70
"Eliurus penicillatus",100
"Eliurus petteri",75
"Eliurus tanala",90
"Eliurus webbi",75
"Ellobius alaicus",67.61
"Ellobius fuscocapillus",80
"Ellobius lutescens",117.31
"Ellobius talpinus",40
"Ellobius tancrei",67.92
"Emballonura alecto",5.25
"Emballonura atrata",4.55
"Emballonura beccarii",4.2
"Emballonura dianae",7.97
"Emballonura furax",11.15
"Emballonura monticola",5.54
"Emballonura raffrayana",5.75
"Emballonura semicaudata",6.65
"Emballonura serii",5.75
"Enchisthenes hartii",16.99
"Enhydra lutris",25736.066
"Eoglaucomys fimbriatus",510
"Eolagurus luteus",26
"Eolagurus przewalskii",28.03
"Eonycteris major",72.75
"Eonycteris robusta",78.36
"Eonycteris spelaea",54.853
"Eospalax fontanierii",256.76
"Eospalax rothschildi",256.76
"Eospalax smithii",256.76
"Eothenomys cachinus",34.83
"Eothenomys chinensis",45.3
"Eothenomys custos",30.8
"Eothenomys melanogaster",26.6
"Eothenomys miletus",45.532
"Eothenomys olitor",28.13
"Eothenomys proditor",42.5
"Eothenomys wardi",34.83
"Eozapus setchuanus",32.58
"Episoriculus caudatus",6.95
"Episoriculus fumidus",6.95
"Episoriculus leucops",6.95
"Episoriculus macrurus",6.95
"Epixerus ebii",526
"Epomophorus angolensis",68.15
"Epomophorus crypturus",95.04
"Epomophorus gambianus",218.935
"Epomophorus grandis",48.58
"Epomophorus labiatus",63.525
"Epomophorus minimus",68.15
"Epomophorus minor",44.76
"Epomophorus wahlbergi",89.419
"Epomops buettikoferi",133.84
"Epomops dobsonii",122.08
"Epomops franqueti",118.59
"Eptesicus andinus",10.96
"Eptesicus bobrinskoi",7.55
"Eptesicus bottae",14.23
"Eptesicus brasiliensis",9.25
"Eptesicus chiriquinus",11.25
"Eptesicus diminutus",6
"Eptesicus dimissus",14.015
"Eptesicus floweri",10.17
"Eptesicus furinalis",7.67
"Eptesicus fuscus",14.238
"Eptesicus gobiensis",10.96
"Eptesicus guadeloupensis",11.42
"Eptesicus hottentotus",30
"Eptesicus innoxius",8.86
"Eptesicus japonensis",10.96
"Eptesicus kobayashii",10.96
"Eptesicus matroka",6.57
"Eptesicus nasutus",7.91
"Eptesicus nilssonii",10.72
"Eptesicus pachyotis",7.44
"Eptesicus platyops",11.42
"Eptesicus serotinus",24.003
"Eptesicus tatei",11.42
"Equus",250000
"Equus asinus",198499.435
"Equus burchelli",288604.412
"Equus caballus",350000
"Equus grevyi",407999.85
"Equus hemionus",240000
"Equus kiang",275000
"Equus zebra",281441.875
"Eremitalpa granti",24.73
"Eremodipus lichtensteini",51
"Erethizon dorsata",6492.833
"Erethizon dorsatum",7252.395
"Erignathus barbatus",280500
"Erinaceus",750
"Erinaceus amurensis",571.88
"Erinaceus concolor",771
"Erinaceus europaeus",867.08
"Erinaceus roumanicus",744.55
"Eropeplus canus",73.96
"Erophylla bombifrons",16.345
"Erophylla sezekorni",15.8
"Erythrocebus patas",7800
"Eschrichtius robustus",29250000.01
"Eubalaena australis",2.3e+07
"Eubalaena glacialis",2.3e+07
"Eubalaena japonica",2.3e+07
"Euchoreutes naso",24.14
"Euderma maculatum",15.66
"Eudiscopus denticulus",9.56
"Eudorcas rufifrons",26999.77
"Eudorcas rufina",40000
"Eudorcas thomsonii",23638.715
"Eulemur albifrons",2288.188
"Eulemur albocollaris",2225.79
"Eulemur cinereiceps",2114.06
"Eulemur collaris",2259.25
"Eulemur coronatus",1422
"Eulemur fulvus",1400
"Eulemur fulvus group",2235
"Eulemur macaco",1908
"Eulemur mongoz",1585
"Eulemur rubriventer",1659
"Eulemur rufus",2224.78
"Eulemur sanfordi",2394.03
"Eumetopias jubatus",367784.75
"Eumops auripendulus",31.125
"Eumops bonariensis",11.9
"Eumops dabbenei",104.35
"Eumops glaucinus",36.115
"Eumops hansae",15.05
"Eumops maurus",29.38
"Eumops patagonicus",34.01
"Eumops perotis",51.543
"Eumops trumbulli",34.01
"Eumops underwoodi",54.7
"Euneomys chinchilloides",76.515
"Euneomys fossor",83
"Euneomys mordax",82
"Euneomys petersoni",83
"Euoticus elegantulus",275.55
"Euoticus pallidus",270.925
"Eupetaurus cinereus",2500
"Euphractus sexcinctus",6987.63
"Eupleres goudotii",2425
"Euroscaptor grandis",59.57
"Euroscaptor klossi",59.57
"Euroscaptor longirostris",59.57
"Euroscaptor micrura",60.47
"Euroscaptor mizura",35.47
"Euroscaptor parvidens",59.57
"Euryzygomatomys spinosus",187.5
"Exilisciurus concinnus",30.85
"Exilisciurus exilis",19
"Exilisciurus whiteheadi",20
"Falsistrellus affinis",10.23
"Falsistrellus mackenziei",23
"Falsistrellus mordax",10.23
"Falsistrellus petersi",22.77
"Falsistrellus tasmaniensis",22.54
"Felis bieti",5500
"Felis catus",3400
"Felis chaus",6221.49
"Felis manul",3025
"Felis margarita",2224.995
"Felis nigripes",1199.995
"Felis silvestris",3949.33
"Felovia vae",205
"Feresa attenuata",170000
"Feroculus feroculus",36
"Fossa fossana",1753.333
"Fukomys anselli",86.98
"Fukomys damarensis",127.485
"Fukomys darlingi",92.173
"Fukomys mechowii",269.72
"Funambulus layardi",113.79
"Funambulus palmarum",136.4
"Funambulus pennantii",142.95
"Funambulus sublineatus",70.94
"Funambulus tristriatus",139
"Funisciurus anerythrus",186.667
"Funisciurus bayonii",135
"Funisciurus carruthersi",277
"Funisciurus congicus",112.15
"Funisciurus isabella",92
"Funisciurus lemniscatus",130
"Funisciurus leucogenys",250
"Funisciurus pyrropus",251.333
"Funisciurus substriatus",186
"Furipterus horrens",3.305
"Galago",1111.8
"Galago alleni",266.5
"Galago alleni group",251.5
"Galago cameronensis",223.06
"Galago demidoff group",73.111
"Galago gabonensis",237.227
"Galago gallarum",225
"Galago granti",173.765
"Galago matschiei",209.75
"Galago moholi",157.202
"Galago nyasae",165.68
"Galago orinus",165.68
"Galago rondoensis",165.68
"Galago senegalensis",220
"Galago senegalensis group",185.214
"Galago sp.",201
"Galago thomasi",116.95
"Galago zanzibaricus",144.45
"Galagoides cocos",143.5
"Galagoides demidoff",81
"Galagoides demidovii",74.649
"Galagoides thomasi",97.25
"Galagoides zanzibaricus",143
"Galea flavidens",450
"Galea musteloides",392.333
"Galea spixii",326.2
"Galemys pyrenaicus",57.5
"Galenomys garleppi",59.3
"Galeopterus variegates",1112.2
"Galerella flavescens",750
"Galerella ochracea",690.18
"Galerella pulverulenta",818.5
"Galerella sanguinea",527.667
"Galictis cuja",1095
"Galictis vittatus",2264
"Galidia elegans",857
"Galidictis fasciata",550
"Galidictis grandidieri",1400
"Gallus domesticus",1570
"Gazella arabica",12000
"Gazella bennettii",18916.67
"Gazella cuvieri",25000
"Gazella dorcas",20137.555
"Gazella erlangeri",20360.12
"Gazella gazella",19524.965
"Gazella leptoceros",22200
"Gazella saudiya",16000
"Gazella spekei",16200
"Gazella subgutturosa",22800
"Genetta abyssinica",1649.99
"Genetta angolensis",1874.995
"Genetta bourloni",1821.97
"Genetta cristata",1863.23
"Genetta genetta",1607.733
"Genetta johnstoni",2225
"Genetta maculata",2225
"Genetta pardina",1426.985
"Genetta piscivora",1648.05
"Genetta poensis",1821.97
"Genetta servalina",1174.995
"Genetta thierryi",1400.01
"Genetta tigrina",1827.333
"Genetta victoriae",2999.99
"Geocapromys brownii",1978
"Geocapromys ingrahami",764.1
"Geocapromys thoracatus",1500
"Geogale aurita",6.95
"Geomys arenarius",206
"Geomys attwateri",144.06
"Geomys breviceps",137.635
"Geomys bursarius",199.333
"Geomys knoxjonesi",172.49
"Geomys personatus",397
"Geomys pinetis",191.233
"Geomys texensis",189.76
"Geomys tropicalis",350
"Georychus capensis",196.476
"Geoxus valdivianus",31.5
"Gerbilliscus afra",87.877
"Gerbilliscus boehmi",49.36
"Gerbilliscus brantsii",90.555
"Gerbilliscus guineae",102.5
"Gerbilliscus inclusus",118.5
"Gerbilliscus kempi",100.83
"Gerbilliscus leucogaster",102.825
"Gerbilliscus nigricaudus",123
"Gerbilliscus phillipsi",127.07
"Gerbilliscus robustus",95.99
"Gerbilliscus validus",121
"Gerbillurus paeba",26.605
"Gerbillurus setzeri",42.2
"Gerbillurus tytonis",30.45
"Gerbillurus vallinus",37.025
"Gerbillus acticola",33.9
"Gerbillus agag",23.26
"Gerbillus amoenus",13.2
"Gerbillus andersoni",31.085
"Gerbillus aquilus",36.02
"Gerbillus brockmani",33.43
"Gerbillus burtoni",23.26
"Gerbillus cheesmani",28
"Gerbillus dongolanus",23.26
"Gerbillus dunni",34.33
"Gerbillus famulus",37
"Gerbillus floweri",34.47
"Gerbillus garamantis",23.26
"Gerbillus gerbillus",27.37
"Gerbillus gleadowi",25.05
"Gerbillus grobbeni",35.3
"Gerbillus henleyi",8
"Gerbillus hesperinus",36.04
"Gerbillus hoogstraali",35.83
"Gerbillus latastei",39.55
"Gerbillus mauritaniae",23.26
"Gerbillus mesopotamiae",20
"Gerbillus muriculus",33.42
"Gerbillus nancillus",35.94
"Gerbillus nanus",22.633
"Gerbillus nigeriae",29.7
"Gerbillus occiduus",36.05
"Gerbillus perpallidus",44.35
"Gerbillus poecilops",31.5
"Gerbillus principulus",36.05
"Gerbillus pulvinatus",35.92
"Gerbillus pusillus",12.6
"Gerbillus pyramidum",55.98
"Gerbillus rosalinda",33.89
"Gerbillus syrticus",23.26
"Gerbillus tarabuli",34.81
"Gerbillus vivax",23.26
"Gerbillus watersi",10.4
"Gibraltar/Forbes Quarry",76000
"Giraffa camelopardalis",885912.383
"Glaucomys sabrinus",170
"Glaucomys volans",68.307
"Glauconycteris alboguttata",8.42
"Glauconycteris argentata",9.3
"Glauconycteris beatrix",6.5
"Glauconycteris curryae",8.11
"Glauconycteris egeria",8.42
"Glauconycteris gleni",10.81
"Glauconycteris humeralis",5.49
"Glauconycteris kenyacola",7.17
"Glauconycteris machadoi",8.11
"Glauconycteris poensis",7.755
"Glauconycteris superba",8.42
"Glauconycteris variegata",11.25
"Glironia venusta",114
"Glirulus japonicus",62.99
"Glischropus javanus",5.91
"Glischropus tylopus",4.67
"Globicephala macrorhynchus",612666.663
"Globicephala melas",930500
"Glossophaga commissarisi",8.9
"Glossophaga leachii",10.1
"Glossophaga longirostris",12.207
"Glossophaga morenoi",8.4
"Glossophaga soricina",9.838
"Glyphonycteris behnii",11.32
"Glyphonycteris daviesi",18.61
"Glyphonycteris sylvestris",8.91
"Glyphotes simus",50
"Golunda ellioti",58.54
"Gorilla beringei",126706.298
"Gorilla gorilla",103482.857
"Gracilinanus aceramarcae",20.5
"Gracilinanus agilis",26.7
"Gracilinanus agricolai",18.9
"Gracilinanus dryas",18
