"Species Name","Order","Brain Mass (g)","Body Mass (g)","EQ","Independent contrast derived EQ","PGLS-ML dervived EQ","Reference","Notes","source"
"Callosciurus caniceps","Rodentia",6.02,240,1.80206676816326,0.189912108889826,1.75492991277223,"Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006","Boddy_etal_2012_TableS1"
"Agouti paca","Rodentia",35.2166666666667,4607,1.16318885752983,0.172187180011347,1.74376256360252,"Crile & Quiring 1940; Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Paradoxurus hermaphroditus","Carnivora",25.95,2773.5,1.25155609687339,0.174765637492007,1.7422500690641,"Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Tragelaphus eurycerus","Cetartiodactyla",389,253000,0.647192782719471,0.15186231331032,1.7412748163731,"Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Melursus ursinus","Carnivora",267,136080,0.705525452742043,0.154154609838336,1.73390265400028,"Count 1947",NA,"Boddy_etal_2012_TableS1"
"Puma concolor","Carnivora",154,54432,0.806093449607465,0.158513451083719,1.73299845698138,"Count 1947",NA,"Boddy_etal_2012_TableS1"
"Mustela erminea","Carnivora",4.57,156.433333333333,1.88260199962244,0.188870387262035,1.72229940172426,"Crile & Quiring 1940; Silva & Downing 1995; Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Lemur catta","Primates",21.6333333333333,2090,1.28856486580417,0.174172904532256,1.7211776609429,"Sherwood/this study; Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Lynx canadensis","Carnivora",69.5,14969,0.953022068551451,0.161550242338354,1.69691137891924,"Count 1947",NA,"Boddy_etal_2012_TableS1"
"Tamiops macclellandi","Rodentia",1.95,39,2.26418749519316,0.193616472320024,1.69116459311411,"Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006","Boddy_etal_2012_TableS1"
"Eumetopias jubatus","Carnivora",661.25,643775,0.548102791339043,0.143193703589235,1.69011108769826,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Gerbillus dasyurus","Eulipotyphla",1.32,20.5,2.47638134564284,0.196664831158159,1.68388196273242,"Mace 1981",NA,"Boddy_etal_2012_TableS1"
"Phocarctos hookeri","Carnivora",393.75,273500,0.618105162809352,0.146342324761671,1.68203953275463,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
