"Species","order","family","visual_acuity_cpd","acuity_method","note","source"
"Sarcophilus harrisii","Dasyuromorphia","Dasyuridae",4.75,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Sciurus carolinensis","Rodentia","Sciuridae",3.9,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Sciurus griseus","Rodentia","Sciuridae",3.9,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Sciurus niger","Rodentia","Sciuridae",3.9,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Setonix brachyurus","Diprotodontia","Macropodidae",4,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Sminthopsis crassicaudata","Dasyuromorphia","Dasyuridae",2.36,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Sotalia fluviatilis","Cetacea","Delphinidae",1.2,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Nannospalax ehrenbergi","Rodentia","Spalacidae",0,"blind (subcutaneous eyes; VA coded 0 cpd)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Otospermophilus beecheyi","Rodentia","Sciuridae",4,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Suricata suricatta","Carnivora","Herpestidae",6.3,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Sus scrofa","Artiodactyla","Suidae",9.92,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Tachyglossus aculeatus","Monotremata","Tachyglossidae",1.69,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Talpa caeca","Soricomorpha","Talpidae",0,"blind (subcutaneous eyes; VA coded 0 cpd)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Talpa occidentalis","Soricomorpha","Talpidae",0,"blind (subcutaneous eyes; VA coded 0 cpd)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Taphozous georgianus","Chiroptera","Emballonuridae",1.3,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Tarsipes rostratus","Diprotodontia","Tarsipedidae",0.63,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Carlito syrichta","Primates","Tarsiidae",8.89,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Trichosurus vulpecula","Diprotodontia","Phalangeridae",4.8,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Tupaia belangeri","Scandentia","Tupaiidae",2.4,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Tupaia glis","Scandentia","Tupaiidae",4.7,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Tursiops truncatus","Cetacea","Delphinidae",3.8,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Zalophus californianus","Carnivora","Otariidae",5.7,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
