"Species_Matano1986","check","value_TableI","complex_TableI","recomputed","printed_TableIII","difference","status"
"Pygathrix nemaeus","superior",14,62.5,22.4,22.4,0,"OK"
"Pygathrix nemaeus","lateral",12.2,62.5,19.52,19.5,0.02,"OK"
"Pygathrix nemaeus","medial",18.1,62.5,28.96,29,-0.04,"OK"
"Pygathrix nemaeus","descending",18.2,62.5,29.12,29.1,0.02,"OK"
"Pygathrix nemaeus","complex_sum_check",62.5,62.5,62.5,62.5,0,"OK"
"Nasalis larvatus","superior",12.6,86.2,14.617,14.6,0.017,"OK"
"Nasalis larvatus","lateral",14.8,86.2,17.169,17.2,-0.031,"OK"
"Nasalis larvatus","medial",33.6,86.2,38.979,39,-0.021,"OK"
"Nasalis larvatus","descending",25.2,86.2,29.234,29.2,0.034,"OK"
"Nasalis larvatus","complex_sum_check",86.2,86.2,86.2,86.2,0,"OK"
"Hylobates lar","superior",14.9,59.4,25.084,25.1,-0.016,"OK"
"Hylobates lar","lateral",5.53,59.4,9.31,9.3,0.01,"OK"
"Hylobates lar","medial",24.5,59.4,41.246,41.2,0.046,"OK"
"Hylobates lar","descending",14.5,59.4,24.411,24.4,0.011,"OK"
"Hylobates lar","complex_sum_check",59.43,59.4,59.43,59.4,0.051,"OK"
"Pan troglodytes","superior",23.5,118,19.915,20,-0.085,"OK"
"Pan troglodytes","lateral",9.65,118,8.178,8.2,-0.022,"OK"
"Pan troglodytes","medial",54.7,118,46.356,46.5,-0.144,"OK"
"Pan troglodytes","descending",29.8,118,25.254,25.3,-0.046,"OK"
"Pan troglodytes","complex_sum_check",117.65,118,117.65,118,-0.297,"OK"
"Gorilla gorilla","superior",34.7,136,25.515,25.5,0.015,"OK"
"Gorilla gorilla","lateral",19.5,136,14.338,14.3,0.038,"OK"
"Gorilla gorilla","medial",58.4,136,42.941,42.8,0.141,"OK"
"Gorilla gorilla","descending",23.6,136,17.353,17.4,-0.047,"OK"
"Gorilla gorilla","complex_sum_check",136.2,136,136.2,136,0.147,"OK"
"Homo sapiens sapiens","superior",35.8,177,20.226,20.2,0.026,"OK"
"Homo sapiens sapiens","lateral",22.4,177,12.655,12.7,-0.045,"OK"
"Homo sapiens sapiens","medial",72.8,177,41.13,41.2,-0.07,"OK"
"Homo sapiens sapiens","descending",45.9,177,25.932,25.9,0.032,"OK"
"Homo sapiens sapiens","complex_sum_check",176.9,177,176.9,177,-0.056,"OK"
