donor,class,within_area_subclass,region,subclass_count,subclass_prop
H19.30.002,excitatory,L5/6 NP,AnG,655,0.0258658136871618
H19.30.002,excitatory,L5/6 NP,DFC,279,0.0155449075105861
H19.30.002,excitatory,L5/6 NP,M1,168,0.0232815964523281
H19.30.002,excitatory,L5/6 NP,MTG,483,0.024620246712203
H19.30.002,excitatory,L5/6 NP,S1,595,0.0254567235699311
H19.30.002,excitatory,L5/6 NP,V1,195,0.00564268765553562
H19.30.002,excitatory,L6 CT,A1,866,0.035385935520778
H19.30.002,excitatory,L6 CT,ACC,1583,0.0848657052484855
H19.30.002,excitatory,L6 CT,AnG,771,0.0304466295462622
H19.30.002,excitatory,L6 CT,DFC,359,0.0200022286605749
H19.30.002,excitatory,L6 CT,M1,358,0.0496119733924612
H19.30.002,excitatory,L6 CT,MTG,642,0.0327250484249158
H19.30.002,excitatory,L6 CT,S1,1245,0.0532665896547298
H19.30.002,excitatory,L6 CT,V1,2049,0.0592916256727819
H19.30.002,excitatory,L6 IT,A1,2055,0.0839700894863727
H19.30.002,excitatory,L6 IT,ACC,2823,0.151342947515145
H19.30.002,excitatory,L6 IT,AnG,2093,0.0826521344232515
H19.30.002,excitatory,L6 IT,DFC,634,0.0353242701136616
H19.30.002,excitatory,L6 IT,M1,504,0.0698447893569844
H19.30.002,excitatory,L6 IT,MTG,1690,0.086145376694872
H19.30.002,excitatory,L6 IT,S1,2176,0.0930988747700338
H19.30.002,excitatory,L6 IT,V1,1882,0.0544591700908617
H19.30.002,excitatory,L6 IT Car3,A1,496,0.0202672332774894
H19.30.002,excitatory,L6 IT Car3,ACC,234,0.0125448989438696
H19.30.002,excitatory,L6 IT Car3,AnG,749,0.0295778541247087
H19.30.002,excitatory,L6 IT Car3,DFC,167,0.00930465790060173
H19.30.002,excitatory,L6 IT Car3,M1,144,0.0199556541019955
H19.30.002,excitatory,L6 IT Car3,MTG,464,0.0236517483943317
H19.30.002,excitatory,L6 IT Car3,S1,676,0.0289222607281906
H19.30.002,excitatory,L6 IT Car3,V1,1003,0.0290236703512934
H19.30.002,excitatory,L6b,A1,825,0.0337106198667919
H19.30.002,excitatory,L6b,ACC,1225,0.0656730820779499
H19.30.002,excitatory,L6b,AnG,796,0.0314338743434822
H19.30.002,excitatory,L6b,DFC,297,0.0165478047693336
H19.30.002,excitatory,L6b,M1,154,0.0213414634146341
H19.30.002,excitatory,L6b,MTG,786,0.0400652462024671
H19.30.002,excitatory,L6b,S1,1055,0.0451375518760963
H19.30.002,excitatory,L6b,V1,524,0.0151629145205162
H19.30.002,inhibitory,Chandelier,A1,366,0.0322154739899656
H19.30.002,inhibitory,Chandelier,ACC,521,0.0424993882045843
H19.30.002,inhibitory,Chandelier,AnG,254,0.0210073608469109
H19.30.002,inhibitory,Chandelier,DFC,445,0.0375052675937631
H19.30.002,inhibitory,Chandelier,M1,197,0.0414824173510212
H19.30.002,inhibitory,Chandelier,MTG,177,0.0213768115942028
H19.30.002,inhibitory,Chandelier,S1,626,0.0449422069064541
H19.30.002,inhibitory,Chandelier,V1,215,0.0298196948682385
H19.30.002,inhibitory,Lamp5,A1,1091,0.0960302790247337
H19.30.002,inhibitory,Lamp5,ACC,1074,0.0876091035157843
H19.30.002,inhibitory,Lamp5,AnG,1062,0.0878339260607063
H19.30.002,inhibitory,Lamp5,DFC,1439,0.121281078803202
H19.30.002,inhibitory,Lamp5,M1,515,0.10844388292272
H19.30.002,inhibitory,Lamp5,MTG,923,0.11147342995169
H19.30.002,inhibitory,Lamp5,S1,1472,0.105678799626678
H19.30.002,inhibitory,Lamp5,V1,525,0.0728155339805825
H19.30.002,inhibitory,Lamp5 Lhx6,A1,515,0.0453305166798697
H19.30.002,inhibitory,Lamp5 Lhx6,ACC,900,0.0734154498735622
H19.30.002,inhibitory,Lamp5 Lhx6,AnG,609,0.0503680423455462
H19.30.002,inhibitory,Lamp5 Lhx6,DFC,426,0.0359039190897597
H19.30.002,inhibitory,Lamp5 Lhx6,M1,221,0.0465361128658665
H19.30.002,inhibitory,Lamp5 Lhx6,MTG,380,0.0458937198067632
H19.30.002,inhibitory,Lamp5 Lhx6,S1,801,0.0575059228946801
H19.30.002,inhibitory,Lamp5 Lhx6,V1,214,0.0296809986130374
H19.30.002,inhibitory,Pax6,A1,216,0.019012410879324
H19.30.002,inhibitory,Pax6,ACC,408,0.0332816706093482
H19.30.002,inhibitory,Pax6,AnG,232,0.0191878256554462
H19.30.002,inhibitory,Pax6,DFC,291,0.0245259165613147
H19.30.002,inhibitory,Pax6,M1,138,0.02905874921036
H19.30.002,inhibitory,Pax6,MTG,203,0.0245169082125603
H19.30.002,inhibitory,Pax6,S1,345,0.0247684686625026
H19.30.002,inhibitory,Pax6,V1,70,0.00970873786407766
H19.30.002,inhibitory,Pvalb,A1,2305,0.202887069800193
H19.30.002,inhibitory,Pvalb,ACC,2666,0.217472877069907
H19.30.002,inhibitory,Pvalb,AnG,2816,0.232900504507484
H19.30.002,inhibitory,Pvalb,DFC,2252,0.189801938474504
H19.30.002,inhibitory,Pvalb,M1,1156,0.243419667298378
H19.30.002,inhibitory,Pvalb,MTG,1565,0.189009661835748
H19.30.002,inhibitory,Pvalb,S1,3553,0.255079330892382
H19.30.002,inhibitory,Pvalb,V1,2375,0.329403606102635
H19.30.002,inhibitory,Sncg,A1,523,0.0460346800457706
H19.30.002,inhibitory,Sncg,ACC,662,0.0540011420181091
H19.30.002,inhibitory,Sncg,AnG,548,0.0453229674964849
H19.30.002,inhibitory,Sncg,DFC,884,0.0745048461862621
H19.30.002,inhibitory,Sncg,M1,271,0.0570646451884607
H19.30.002,inhibitory,Sncg,MTG,382,0.046135265700483
H19.30.002,inhibitory,Sncg,S1,573,0.0411371957785914
H19.30.002,inhibitory,Sncg,V1,211,0.0292649098474341
H19.30.002,inhibitory,Sst,A1,3498,0.307895431740163
H19.30.002,inhibitory,Sst,ACC,3460,0.282241618402806
H19.30.002,inhibitory,Sst,AnG,3681,0.304441319990075
H19.30.002,inhibitory,Sst,DFC,3285,0.276864728192161
H19.30.002,inhibitory,Sst,M1,1157,0.24363023794483
H19.30.002,inhibitory,Sst,MTG,2433,0.293840579710144
H19.30.002,inhibitory,Sst,S1,3491,0.250628185799411
H19.30.002,inhibitory,Sst,V1,2151,0.298335644937586
H19.30.002,inhibitory,Sst Chodl,A1,70,0.00616142945163277
H19.30.002,inhibitory,Sst Chodl,ACC,91,0.00742311770943796
H19.30.002,inhibitory,Sst Chodl,AnG,30,0.00248118435199735
H19.30.002,inhibitory,Sst Chodl,DFC,44,0.00370838600927096
H19.30.002,inhibitory,Sst Chodl,M1,13,0.0027374184038745
H19.30.002,inhibitory,Sst Chodl,MTG,54,0.00652173913043478
H19.30.002,inhibitory,Sst Chodl,S1,92,0.00660492497666738
H19.30.002,inhibitory,Sst Chodl,V1,15,0.00208044382801664
H19.30.002,inhibitory,Vip,A1,2777,0.244432708388346
H19.30.002,inhibitory,Vip,ACC,2477,0.202055632596459
H19.30.002,inhibitory,Vip,AnG,2859,0.236456868745347
H19.30.002,inhibitory,Vip,DFC,2799,0.235903919089759
H19.30.002,inhibitory,Vip,M1,1081,0.227626868814487
H19.30.002,inhibitory,Vip,MTG,2163,0.261231884057971
H19.30.002,inhibitory,Vip,S1,2976,0.213654964462631
H19.30.002,inhibitory,Vip,V1,1434,0.198890429958391
H19.30.002,non-neuronal,Astro,A1,705,0.320308950477055
H19.30.002,non-neuronal,Astro,ACC,1661,0.364414216761737
H19.30.002,non-neuronal,Astro,AnG,1592,0.227916964924838
H19.30.002,non-neuronal,Astro,DFC,1169,0.248882265275707
H19.30.002,non-neuronal,Astro,M1,278,0.390998593530239
H19.30.002,non-neuronal,Astro,MTG,882,0.199954658807526
H19.30.002,non-neuronal,Astro,S1,495,0.211357813834329
H19.30.002,non-neuronal,Astro,V1,1383,0.270486993937023
H19.30.002,non-neuronal,Endo,A1,24,0.0109041344843253
H19.30.002,non-neuronal,Endo,ACC,54,0.0118473014480035
H19.30.002,non-neuronal,Endo,AnG,35,0.00501073729420186
H19.30.002,non-neuronal,Endo,DFC,34,0.00723866297636789
H19.30.002,non-neuronal,Endo,M1,8,0.0112517580872011
H19.30.002,non-neuronal,Endo,MTG,11,0.00249376558603491
H19.30.002,non-neuronal,Endo,S1,24,0.0102476515798462
H19.30.002,non-neuronal,Endo,V1,28,0.00547623704283199
H19.30.002,non-neuronal,Micro/PVM,A1,265,0.120399818264425
H19.30.002,non-neuronal,Micro/PVM,ACC,949,0.208205353225098
H19.30.002,non-neuronal,Micro/PVM,AnG,1064,0.152326413743736
H19.30.002,non-neuronal,Micro/PVM,DFC,620,0.131999148392591
H19.30.002,non-neuronal,Micro/PVM,M1,165,0.232067510548523
H19.30.002,non-neuronal,Micro/PVM,MTG,416,0.094309680344593
H19.30.002,non-neuronal,Micro/PVM,S1,304,0.129803586678052
H19.30.002,non-neuronal,Micro/PVM,V1,474,0.0927048699393702
H19.30.002,non-neuronal,Oligo,A1,930,0.422535211267605
H19.30.002,non-neuronal,Oligo,ACC,924,0.202720491443615
H19.30.002,non-neuronal,Oligo,AnG,2887,0.413314244810307
H19.30.002,non-neuronal,Oligo,DFC,1823,0.388120076644666
H19.30.002,non-neuronal,Oligo,M1,133,0.187060478199718
H19.30.002,non-neuronal,Oligo,MTG,2510,0.569031965540693
H19.30.002,non-neuronal,Oligo,S1,1195,0.510247651579846
H19.30.002,non-neuronal,Oligo,V1,2697,0.527478975161353
H19.30.002,non-neuronal,OPC,A1,257,0.11676510676965
H19.30.002,non-neuronal,OPC,ACC,920,0.201842913558578
H19.30.002,non-neuronal,OPC,AnG,1373,0.196564065855404
H19.30.002,non-neuronal,OPC,DFC,1019,0.21694698743879
H19.30.002,non-neuronal,OPC,M1,118,0.165963431786216
H19.30.002,non-neuronal,OPC,MTG,572,0.129675810473815
H19.30.002,non-neuronal,OPC,S1,306,0.13065755764304
H19.30.002,non-neuronal,OPC,V1,500,0.0977899471934285
H19.30.002,non-neuronal,VLMC,A1,20,0.00908677873693775
H19.30.002,non-neuronal,VLMC,ACC,50,0.0109697235629662
H19.30.002,non-neuronal,VLMC,AnG,34,0.00486757337151038
H19.30.002,non-neuronal,VLMC,DFC,32,0.00681285927187566
H19.30.002,non-neuronal,VLMC,M1,9,0.0126582278481012
H19.30.002,non-neuronal,VLMC,MTG,20,0.0045341192473362
H19.30.002,non-neuronal,VLMC,S1,18,0.00768573868488471
H19.30.002,non-neuronal,VLMC,V1,31,0.00606297672599256
H19.30.004,excitatory,L2/3 IT,AnG,9490,0.499894648124736
H19.30.004,excitatory,L4 IT,AnG,3764,0.19827222924568
H19.30.004,excitatory,L5 ET,AnG,49,0.0025811209439528
H19.30.004,excitatory,L5 IT,AnG,2681,0.14122418879056
H19.30.004,excitatory,L5/6 NP,AnG,437,0.0230193847450484
H19.30.004,excitatory,L6 CT,AnG,544,0.0286557100716392
H19.30.004,excitatory,L6 IT,AnG,1063,0.0559945217024863
H19.30.004,excitatory,L6 IT Car3,AnG,558,0.0293931731984829
H19.30.004,excitatory,L6b,AnG,398,0.0209650231774125
H19.30.004,inhibitory,Chandelier,AnG,187,0.0173630454967502
H19.30.004,inhibitory,Lamp5,AnG,1048,0.0973073351903435
H19.30.004,inhibitory,Lamp5 Lhx6,AnG,387,0.0359331476323119
H19.30.004,inhibitory,Pax6,AnG,233,0.0216341689879294
H19.30.004,inhibitory,Pvalb,AnG,2162,0.200742804085422
H19.30.004,inhibitory,Sncg,AnG,580,0.053853296193129
H19.30.004,inhibitory,Sst,AnG,3231,0.3
H19.30.004,inhibitory,Sst Chodl,AnG,47,0.00436397400185701
H19.30.004,inhibitory,Vip,AnG,2895,0.268802228412256
H19.30.004,non-neuronal,Astro,AnG,1658,0.377762588288904
H19.30.004,non-neuronal,Endo,AnG,50,0.0113921166552745
H19.30.004,non-neuronal,Micro/PVM,AnG,310,0.0706311232627022
H19.30.004,non-neuronal,Oligo,AnG,1531,0.348826611984506
H19.30.004,non-neuronal,OPC,AnG,803,0.182957393483709
H19.30.004,non-neuronal,VLMC,AnG,37,0.00843016632490316
