"species_printed","is_header","source_pdf_page","n","OBL","MES","CER","DIE","TEL","species_row"
"    Micronycteris megalotis","","59","3","31.1","23.4","49.4","19.8","135.0","146"
"    Micronycteris minuta","","59","1","28.4","20.7","54.8","18.0","148.0","147"
"    Micronycteris schmidtorum","","59","3","30.1","23.1","57.5","21.1","158.3","148"
"    Micronycteris brachyotis","","59","1","44.0","28.6","76.3","27.8","206.7","149"
"    Macrophyllum macrophyllum","","59","3","38.9","28.6","55.1","24.2","154.6","150"
"    Tonatia bidens","","59","3","78.8","63.3","133.6","53.7","415.7","151"
"    Tonatia schulzi","","59","1","59.5","51.3","84.2","37.0","243.3","152"
"    Tonatia sylvicola","","59","1","86.1","61.9","126.1","55.3","384.0","153"
"    Mimon crenulatum","","59","2","35.4","30.2","53.7","26.0","162.1","154"
"    Phyllostomus discolor","","59","3","91.2","63.4","170.4","82.4","623.6","155"
"    Phyllostomus elongatus","","59","3","91.9","64.0","171.1","64.6","440.0","156"
"    Phyllostomus hastatus","","59","3","140.2","95.7","281.3","111.0","810.4","157"
"    Phylloderma stenops","","59","2","98.8","71.1","204.1","89.7","804.0","158"
"    Trachops cirrhosus","","59","2","97.4","81.6","181.3","67.4","521.4","159"
"    Vampyrum spectrum","","59","2","233.5","154.9","532.7","196.7","1331.6","160"
"PHYLLOSTOMIDAE (cant.)","TRUE","60","","","","","","","161"
"  GLOSSOPHAGINAE","TRUE","60","","","","","","","162"
"    Glossophaga longirostris","","60","1","42.1","27.8","92.4","31.8","220.3","163"
"    Glossophaga soricina","","60","3","37.9","25.8","81.6","28.5","201.1","164"
"    Monophyllus plethodon","","60","2","45.2","28.5","89.0","31.7","222.9","165"
"    Leptonycteris curasoae","","60","1","62.2","35.2","119.4","44.0","315.0","166"
"    Leptonycteris nivalis","","60","3","56.0","35.9","104.4","43.3","310.5","167"
"    Lonchophylla mordax","","60","1","45.3","31.2","79.2","32.9","221.4","168"
"    Lonchophylla thomasi","","60","1","31.2","21.5","61.6","23.6","178.4","169"
"    Lionycteris spurrelli","","60","3","35.0","24.7","70.6","23.7","180.8","170"
"    Anoura caudifer","","60","3","39.0","24.8","74.2","29.9","214.7","171"
"    Anoura geoffroyi","","60","3","52.0","34.5","109.7","41.5","320.8","172"
"    Choeroniscus minor","","60","1","35.2","24.1","78.3","29.8","200.5","173"
"  CAROLLIINAE","TRUE","60","","","","","","","174"
"    Carollia castanea","","60","5","43.2","30.4","71.1","32.4","247.9","175"
"    Carollia perspicillata","","60","3","49.1","36.4","92.1","37.8","301.7","176"
"    Rhinophylla pumilio","","60","3","31.8","22.7","52.0","23.7","204.0","177"
"  STURNIRINAE","TRUE","60","","","","","","","178"
"    Sturnira lilium","","60","3","50.9","33.2","96.1","45.4","358.4","179"
"    Sturnira ludovici","","60","2","63.4","40.1","108.4","50.4","368.6","180"
"    Sturnira tildae","","60","3","54.2","36.5","103.6","50.5","417.0","181"
"  STENODERMINAE","TRUE","60","","","","","","","182"
"    Uroderma bilobatum","","60","3","50.9","41.1","103.0","43.2","341.9","183"
"    Vampyrops brachycephalus","","60","2","50.5","39.2","116.9","40.2","283.4","184"
"    Vampyrops helleri","","60","3","44.3","34.5","94.8","35.6","283.4","185"
"    Vampyrops infuscus","","60","1","99.7","70.6","212.7","79.2","583.1","186"
"    Vampyrops lineatus","","60","3","60.8","44.4","130.8","50.7","406.2","187"
"    Vampyrops vittatus","","60","2","94.1","67.1","217.4","79.5","657.8","188"
"    Vampyrodes caraccioloi","","60","1","90.3","70.8","164.5","71.3","491.1","189"
"    Vampyressa pusilla","","60","2","32.4","25.9","66.5","27.0","207.9","190"
"    Chiroderma salvini","","60","4","71.0","55.1","153.9","59.4","430.7","191"
"    Chiroderma trinitatum","","60","2","45.7","35.4","97.6","38.4","290.7","192"
"    Chiroderma villosum","","60","3","62.3","51.6","132.5","49.8","369.9","193"
"    Chiroderma villosum ssp.","","60","1","80.9","66.2","158.2","61.6","421.5","194"
"    Ectophylla macconnelli","","60","2","33.4","24.3","62.8","24.5","182.1","195"
"    Artibeus cinereus","","60","3","41.5","29.7","81.6","32.6","258.2","196"
"    Artibeus concolor","","60","2","55.2","43.1","114.4","44.6","335.5","197"
"    Artibeus jamaicensis","","60","3","83.7","58.9","173.8","72.6","573.4","198"
"    Artibeus lituratus","","60","4","94.7","68.9","221.9","85.7","690.7","199"
"    Enchisthenes harti","","60","4","44.7","32.4","81.2","37.8","282.5","200"
"    Ardops nichollsi","","60","3","49.7","33.7","84.8","40.6","317.5","201"
"    Sphaeronycteris toxophyllum","","60","","66.6","41.7","82.7","41.2","263.8","202"
"  BRACHYPHYLLINAE","TRUE","60","","","","","","","203"
"    Brachyphylla cavernarum","","60","4","106.1","68.3","176.7","96.4","682.1","204"
"DESMODONTIDAE","TRUE","61","","","","","","","205"
"    Desmodus rotundus","","61","3","80.0","58.3","166.4","74.9","564.8","206"
"    Diphylla ecaudata","","61","4","63.1","53.0","132.0","63.6","446.4","207"
"NATALIDAE","TRUE","61","","","","","","","208"
"    Natalus tumidirostris","","61","3","26.6","19.2","40.0","18.3","129.3","209"
"FURIPTERIDAE","TRUE","61","","","","","","","210"
"    Furipterus horrens","","61","5","16.3","12.7","28.1","9.2","53.8","211"
"VESPERTILIONIDAE","TRUE","61","","","","","","","212"
"  VESPERTILIONINAE","TRUE","61","","","","","","","213"
"    Myotis adversus","","61","2","35.3","26.1","44.0","19.9","113.0","214"
"    Myotis albescens","","61","3","18.1","12.9","24.3","10.0","54.3","215"
"    Myotis altarium","","61","3","34.0","23.3","44.2","18.2","106.5","216"
"    Myotis annectans","","61","2","30.8","20.4","36.3","17.9","102.1","217"
"    Myotis bechsteini","","61","1","39.4","22.8","42.5","22.6","121.5","218"
"    Myotis bocagei","","61","3","24.8","20.1","33.7","15.8","84.9","219"
"    Myotis dasycneme","","61","1","49.3","32.6","49.8","26.4","133.0","220"
"    Myotis montivagus","","61","3","24.7","18.1","29.2","13.7","72.1","221"
"    Myotis myotis","","61","3","70.3","46.7","87.1","40.2","211.8","222"
"    Myotis nattereri","","61","1","31.6","20.5","37.4","17.1","101.7","223"
"    Myotis nigricans","","61","3","17.1","14.9","23.8","10.0","63.2","224"
"    Myotis nigricans ssp.","","61","3","20.3","16.3","27.7","12.4","70.3","225"
"    Myotis siligorensis","","61","3","15.3","11.1","17.5","8.7","44.1","226"
"    Pipistrellus babu","","61","3","15.7","10.7","16.8","7.7","39.6","227"
"    Pipistrellus ceylonicus","","61","3","26.7","19.2","30.7","13.5","78.6","228"
"    Pipistrellus circumdatus","","61","3","30.4","23.3","40.7","17.5","102.2","229"
"    Pipistrellus crassulus","","61","3","19.9","14.6","21.1","12.0","57.5","230"
"    Pipistrellus imbricatus","","61","2","21.6","16.3","20.3","13.7","57.3","231"
"    Pipistrellus javanicus","","61","3","18.2","13.2","19.5","9.4","51.2","232"
"    Pipistrellus mimus","","61","3","15.1","10.4","15.6","7.6","39.3","233"
"    Pipistrellus nanus","","61","3","15.2","10.2","18.5","7.9","42.8","234"
"    Pipistrellus papuanus §)","","61","3","19.3","13.6","18.3","9.4","45.7","235"
"    Pipistrellus pulveratus","","61","3","20.8","15.4","22.3","11.6","63.6","236"
"    Pipistrellus subflavus","","61","2","18.3","13.1","21.3","10.4","54.2","237"
"    Scotozous dormeri","","61","3","25.3","15.2","22.9","11.7","58.4","238"
"    Nyctalus noctula","","61","3","57.6","37.7","80.5","25.4","137.1","239"
"    Nyctalus stenopterus","","61","2","37.2","26.5","40.6","22.0","102.6","240"
"    Glischropus tylopus","","61","3","16.3","11.2","18.0","7.8","40.7","241"
"    Eptesicus brasiliensis","","61","3","26.1","21.7","36.1","15.3","89.9","242"
"    Eptesicus br. melanopterus","","61","3","28.1","19.6","36.0","16.1","83.5","243"
"    Eptesicus flavescens","","61","2","29.9","21.2","34.2","15.1","79.2","244"
"    Eptesicus fuscus","","61","1","31.1","22.6","38.7","19.0","113.2","245"
"    Eptesicus pumilus","","61","2","18.8","12.7","21.5","9.7","52.4","246"
"    Eptesicus serotinus andersoni","","61","3","47.1","32.6","55.2","26.8","159.3","247"
"    Ia io","","61","","95.3","70.4","145.6","59.4","348.7","248"
"VESPERTILIONIDAE (cont.)","TRUE","62","","","","","","","249"
"  VESPERTILIONINAE (cont.)","TRUE","62","","","","","","","250"
"    Tylonycteris pachypus","","62","4","14.9","9.7","11.7","6.7","32.6","251"
"    Tylonycteris robustula","","62","3","19.8","13.4","20.6","9.2","45.4","252"
"    Hesperoptenus blanfordi","","62","3","24.8","19.1","25.0","12.7","66.3","253"
"    Glauconycteris humeralis","","62","3","21.6","16.9","31.3","10.4","56.2","254"
"    Glauconycteris poensis","","62","1","30.3","22.9","43.3","15.2","82.7","255"
"    Chalinolobus gouldi","","62","2","33.7","23.6","49.9","17.0","100.6","256"
"    Chalinolobus morio","","62","2","28.0","19.3","34.8","13.7","78.2","257"
"    Scotorepens sanborni","","62","1","23.6","16.8","27.0","13.8","68.0","258"
"    Rhogeessa parvula","","62","4","17.3","12.9","18.0","9.3","48.6","259"
"    Scotomanes ornatus","","62","2","55.0","43.4","55.0","33.0","172.3","260"
"    Scotomanes spec?","","62","3","43.1","34.8","57.6","26.5","153.9","261"
"    Scotophilus dingani","","62","3","58.2","45.5","81.5","35.0","192.1","262"
"    Scotophilus heathi","","62","3","65.6","49.9","89.0","36.4","203.9","263"
"    Scotophilus kuhli","","62","3","48.8","37.6","58.2","28.7","147.4","264"
"    Lasiurus borealis","","62","1","23.4","18.7","40.9","12.5","65.8","265"
"  MINIOPTERINAE","TRUE","62","","","","","","","266"
"    Miniopterus australis","","62","2","27.2","18.0","39.7","14.6","94.6","267"
"    Miniopterus haradei","","62","3","30.3","19.5","45.7","15.9","97.2","268"
"    Miniopterus inflatus","","62","3","43.8","27.4","79.5","21.9","135.2","269"
