"species_printed","is_header","source_pdf_page","TR","TSO","FUN","FGR","FCM","FCE","species_row"
"    Nyctophilus timoriensis","","78","3.306","0.497","0.651","0.127","0.372","0.152","172"
"MOLOSSIDAE","TRUE","78","","","","","","","173"
"    Tadarida condylura","","78","5.797","0.937","1.432","0.261","0.898","0.273","174"
"    Tadarida beccarii","","78","3.396","0.512","0.802","0.173","0.465","0.164","175"
"    Tadarida jobensis","","78","5.124","0.708","1.155","0.222","0.709","0.223","176"
"    Tadarida pumila","","78","3.896","0.625","0.857","0.173","0.500","0.183","177"
"    Otomops martiensseni","","78","9.060","1.020","2.347","0.430","1.259","0.659","178"
"    Molossops abrasus","","78","6.339","0.866","1.555","0.336","0.797","0.422","179"
"    Molossops planirostris","","78","2.790","0.379","0.668","0.157","0.340","0.170","180"
"    Molossus ater","","78","6.935","0.937","1.648","0.325","0.926","0.397","181"
"    Molossus molossus","","78","4.537","0.632","0.934","0.167","0.528","0.238","182"
"    Cheiromeles torquatus","","78","17.602","1.760","3.936","1.097","2.142","0.697","183"
