"species_row","Species_Baron1996","n","medulla_oblongata_mm3","mesencephalon_mm3","cerebellum_mm3","diencephalon_mm3","telencephalon_mm3","source_pdf_page"
188,"Myotis bechsteini",1,39.4,22.8,42.5,22.6,121.5,61
189,"Myotis bocagei",3,24.8,20.1,33.7,15.8,84.9,61
190,"Myotis dasycneme",1,49.3,32.6,49.8,26.4,133,61
191,"Myotis montivagus",3,24.7,18.1,29.2,13.7,72.1,61
192,"Myotis myotis",3,70.3,46.7,87.1,40.2,211.8,61
193,"Myotis nattereri",1,31.6,20.5,37.4,17.1,101.7,61
194,"Myotis nigricans",3,17.1,14.9,23.8,10,63.2,61
195,"Myotis nigricans ssp.",3,20.3,16.3,27.7,12.4,70.3,61
196,"Myotis siligorensis",3,15.3,11.1,17.5,8.7,44.1,61
197,"Pipistrellus babu",3,15.7,10.7,16.8,7.7,39.6,61
198,"Pipistrellus ceylonicus",3,26.7,19.2,30.7,13.5,78.6,61
199,"Pipistrellus circumdatus",3,30.4,23.3,40.7,17.5,102.2,61
200,"Pipistrellus crassulus",3,19.9,14.6,21.1,12,57.5,61
201,"Pipistrellus imbricatus",2,21.6,16.3,20.3,13.7,57.3,61
202,"Pipistrellus javanicus",3,18.2,13.2,19.5,9.4,51.2,61
203,"Pipistrellus mimus",3,15.1,10.4,15.6,7.6,39.3,61
204,"Pipistrellus nanus",3,15.2,10.2,18.5,7.9,42.8,61
205,"Pipistrellus papuanus §)",3,19.3,13.6,18.3,9.4,45.7,61
206,"Pipistrellus pulveratus",3,20.8,15.4,22.3,11.6,63.6,61
207,"Pipistrellus subflavus",2,18.3,13.1,21.3,10.4,54.2,61
208,"Scotozous dormeri",3,25.3,15.2,22.9,11.7,58.4,61
209,"Nyctalus noctula",3,57.6,37.7,80.5,25.4,137.1,61
210,"Nyctalus stenopterus",2,37.2,26.5,40.6,22,102.6,61
211,"Glischropus tylopus",3,16.3,11.2,18,7.8,40.7,61
212,"Eptesicus brasiliensis",3,26.1,21.7,36.1,15.3,89.9,61
213,"Eptesicus br. melanopterus",3,28.1,19.6,36,16.1,83.5,61
214,"Eptesicus flavescens",2,29.9,21.2,34.2,15.1,79.2,61
215,"Eptesicus fuscus",1,31.1,22.6,38.7,19,113.2,61
216,"Eptesicus pumilus",2,18.8,12.7,21.5,9.7,52.4,61
217,"Eptesicus serotinus andersoni",3,47.1,32.6,55.2,26.8,159.3,61
218,"Ia io",,95.3,70.4,145.6,59.4,348.7,61
219,"Tylonycteris pachypus",4,14.9,9.7,11.7,6.7,32.6,62
220,"Tylonycteris robustula",3,19.8,13.4,20.6,9.2,45.4,62
221,"Hesperoptenus blanfordi",3,24.8,19.1,25,12.7,66.3,62
222,"Glauconycteris humeralis",3,21.6,16.9,31.3,10.4,56.2,62
223,"Glauconycteris poensis",1,30.3,22.9,43.3,15.2,82.7,62
224,"Chalinolobus gouldi",2,33.7,23.6,49.9,17,100.6,62
225,"Chalinolobus morio",2,28,19.3,34.8,13.7,78.2,62
226,"Scotorepens sanborni",1,23.6,16.8,27,13.8,68,62
227,"Rhogeessa parvula",4,17.3,12.9,18,9.3,48.6,62
228,"Scotomanes ornatus",2,55,43.4,55,33,172.3,62
229,"Scotomanes spec?",3,43.1,34.8,57.6,26.5,153.9,62
230,"Scotophilus dingani",3,58.2,45.5,81.5,35,192.1,62
231,"Scotophilus heathi",3,65.6,49.9,89,36.4,203.9,62
232,"Scotophilus kuhli",3,48.8,37.6,58.2,28.7,147.4,62
233,"Lasiurus borealis",1,23.4,18.7,40.9,12.5,65.8,62
234,"Miniopterus australis",2,27.2,18,39.7,14.6,94.6,62
235,"Miniopterus haradei",3,30.3,19.5,45.7,15.9,97.2,62
236,"Miniopterus inflatus",3,43.8,27.4,79.5,21.9,135.2,62
237,"Miniopterus magnater",3,41.6,26.9,73.3,21.8,142.1,62
238,"Miniopterus medius",3,37.2,24.3,61.1,18.3,109.5,62
239,"Miniopterus pusillus",3,28.6,18.2,47.1,15.8,95,62
240,"M. schreibersi arenarius",3,31.7,20.5,49.8,17.2,110.2,62
241,"Miniopterus s. blepotis",2,41.3,26.6,73.5,20.4,129.8,62
242,"Miniopterus tristis",3,44.2,30,71.7,23.1,144.2,62
243,"Murina cyclotis cyclotis",2,28.8,21.2,39.9,18.3,127.7,62
244,"Murina c. peninsularis",2,29.9,21.3,48,19.5,146.9,62
245,"Murina huttoni rubella",3,27,20.4,40.8,18.9,136,62
246,"Murina tubinaris",2,23.6,16.1,35.7,15.9,113.9,62
247,"Harpiocephalus harpia",1,43.1,30.3,68.7,31.7,243.9,62
248,"Kerivoula papillosa",,34.2,22.9,65.9,21.4,150.8,62
249,"Kerivoula pellucida",,23.9,19.9,36.5,14.6,97.1,62
250,"Kerivoula phalaena",,17.3,13.1,23.2,9.1,47.8,62
251,"Phoniscus atrox",,18.3,13.3,29.5,12.1,105.6,62
252,"Nyctophilus geoffroyi",2,21.6,15.5,29.2,12.6,78.1,62
253,"Nyctophilus timoriensis",2,31.3,26.7,43.9,19.2,119.5,62
254,"Tadarida aegyptiaca",3,54,35.1,70.3,30.4,179.9,63
255,"Tadarida condylura",3,58.6,41.5,74.4,37.9,218.2,63
256,"Tadarida mops",3,60.6,43,74.6,43.3,225.7,63
257,"Tadarida niveiventer",3,60.8,42.9,79.1,35.5,188.7,63
258,"Tadarida beccarii",2,34.4,23.1,41.4,18.5,101.8,63
259,"Tadarida jobensis",1,44.8,32.5,71.4,27.6,163.3,63
260,"Tadarida leucostigma",1,55.9,39.7,70,28.2,175.3,63
261,"Tadarida plicata plicata",3,46.3,31.2,61.4,24.4,142.8,63
262,"Tadarida pumila",3,36.3,27.1,41.8,19.9,103.8,63
263,"Otomops martiensseni",3,89.6,59.9,201.6,53.4,310.4,63
264,"Molossops abrasus",3,58.7,44.9,69.7,34.3,184.2,63
265,"Molossops greenhalli",1,45.9,34.8,48.8,25.5,127.8,63
266,"Molossops planirostris",2,26.7,19.9,29.7,15.8,82.2,63
267,"Eumops auripendulus",3,80.2,60.1,136.6,46.6,252.1,63
268,"Eumops glaucinus",2,82.2,64.4,148.8,46.2,276.3,63
269,"Molossus ater",3,66,53.8,93.8,40.8,243.6,63
270,"Molossus molossus",3,42.6,32.8,58.7,23.5,140.7,63
271,"Molossus trinitatis",2,59,43.4,85.3,33.2,190.8,63
272,"Cheiromeles torquatus",3,161.6,111.6,213.4,108.2,680.6,63
