"species_printed","is_header","source_pdf_page","MOB","PAL","STR","SEP","AMY","HIP","SCH","NEO","species_row"
"  STENODERMINAE","TRUE","142","","","","","","","","","182"
"    Uroderma bilobatum","","142","28.7","32.0","27.9","8.57","17.6","42.7","28.4","155.8","183"
"    Vampyrops brachycephal.","","142","20.4","25.0","25.6","6.01","15.3","36.0","20.7","158.1","184"
"    Vampyrops helleri","","142","17.2","22.9","23.6","5.62","14.1","33.6","19.4","147.1","185"
"    Vampyrops infuscus","","142","40.8","52.1","51.5","13.0","29.1","75.4","36.4","284.5","186"
"    Vampyrops lineatus","","142","26.0","33.9","32.2","7.98","20.5","45.4","26.0","213.9","187"
"    Vampyrops vittatus","","142","41.7","52.6","55.7","14.0","30.5","71.9","46.8","344.4","188"
"    Vampyrodes caraccioloi","","142","35.3","43.1","36.9","11.2","27.0","58.3","30.2","248.6","189"
"    Vampyressa pusilla","","142","14.6","19.7","16.8","5.22","10.7","27.4","14.9","98.3","190"
"    Chiroderma salvini","","142","31.1","37.8","34.0","9.20","24.1","56.2","27.6","210.5","191"
"    Chiroderma trinitatum","","142","21.1","24.7","19.9","5.96","15.9","33.6","17.2","152.2","192"
"    Chiroderma villosum","","142","27.4","32.2","27.6","7.51","20.6","44.3","22.8","187.4","193"
"    Chiroderma villosum ssp.","","142","35.4","38.0","31.6","9.32","21.6","56.2","26.4","202.8","194"
"    Ectophylla macconnelli","","142","11.4","15.0","15.6","4.30","8.93","26.3","13.5","86.9","195"
"    Artibeus cinereus","","142","18.9","25.3","22.7","6.22","11.7","32.9","20.0","120.4","196"
"    Artibeus concolor","","142","25.8","34.0","27.8","7.62","19.2","43.5","25.3","152.3","197"
"    Artibeus jamaicensis","","142","38.7","54.4","51.8","12.0","27.3","63.8","44.1","281.1","198"
"    Artibeus lituratus","","142","54.1","71.0","60.6","15.0","34.8","79.4","49.5","326.0","199"
"    Enchisthenes harti","","142","20.9","28.0","24.3","7.14","14.8","35.6","21.3","130.3","200"
