"species_row","Species_Baron1996","source_concept","NCBI_id","NCBI_name","candidate_name","resolution_status","merge_eligible","source_rows_same_concept","source_rows_same_candidate","within_source_mean_required","note"
178,"Sphaeronycteris toxophyllum","Sphaeronycteris toxophyllum","148038","Sphaeronycteris toxophyllum","Sphaeronycteris toxophyllum","NCBI_exact",TRUE,1,1,FALSE,""
179,"Brachyphylla cavernarum","Brachyphylla cavernarum","9421","Brachyphylla cavernarum","Brachyphylla cavernarum","NCBI_exact",TRUE,1,1,FALSE,""
180,"Desmodus rotundus","Desmodus rotundus","9430","Desmodus rotundus","Desmodus rotundus","NCBI_exact",TRUE,1,1,FALSE,""
181,"Diphylla ecaudata","Diphylla ecaudata","148089","Diphylla ecaudata","Diphylla ecaudata","NCBI_exact",TRUE,1,1,FALSE,""
182,"Natalus tumidirostris","Natalus tumidirostris","59487","Natalus tumidirostris","Natalus tumidirostris","NCBI_exact",TRUE,1,1,FALSE,""
183,"Furipterus horrens","Furipterus horrens","148082","Furipterus horrens","Furipterus horrens","NCBI_exact",TRUE,1,1,FALSE,""
184,"Myotis adversus","Myotis adversus","59461","Myotis adversus","Myotis adversus","NCBI_exact",TRUE,1,1,FALSE,""
185,"Myotis albescens","Myotis albescens","159322","Myotis albescens","Myotis albescens","NCBI_exact",TRUE,1,1,FALSE,""
186,"Myotis altarium","Myotis altarium","415933","Myotis altarium","Myotis altarium","NCBI_exact",TRUE,1,1,FALSE,""
187,"Myotis annectans","Myotis annectans","265733","Myotis annectans","Myotis annectans","NCBI_exact",TRUE,1,1,FALSE,""
188,"Myotis bechsteini","Myotis bechsteini","59462","Myotis bechsteinii","Myotis bechsteinii","NCBI_exact",TRUE,1,1,FALSE,""
189,"Myotis bocagei","Myotis bocagei","153284","Myotis bocagii","Myotis bocagii","NCBI_exact",TRUE,1,1,FALSE,""
190,"Myotis dasycneme","Myotis dasycneme","159324","Myotis dasycneme","Myotis dasycneme","NCBI_exact",TRUE,1,1,FALSE,""
191,"Myotis montivagus","Myotis montivagus","159329","Myotis montivagus","Myotis montivagus","NCBI_exact",TRUE,1,1,FALSE,""
192,"Myotis myotis","Myotis myotis","51298","Myotis myotis","Myotis myotis","NCBI_exact",TRUE,1,1,FALSE,""
193,"Myotis nattereri","Myotis nattereri","109481","Myotis nattereri","Myotis nattereri","NCBI_exact",TRUE,1,1,FALSE,""
194,"Myotis nigricans","Myotis nigricans","153286","Myotis nigricans","Myotis nigricans","NCBI_exact",TRUE,2,2,TRUE,""
195,"Myotis nigricans ssp.","Myotis nigricans","153286","Myotis nigricans","Myotis nigricans","NCBI_exact",TRUE,2,2,TRUE,""
196,"Myotis siligorensis","Myotis siligorensis","258940","Myotis siligorensis","Myotis siligorensis","NCBI_exact",TRUE,1,1,FALSE,""
197,"Pipistrellus babu","Pipistrellus babu","867881","Pipistrellus javanicus babu","Pipistrellus javanicus babu","NCBI_exact",TRUE,1,1,FALSE,""
198,"Pipistrellus ceylonicus","Pipistrellus ceylonicus","1081694","Pipistrellus ceylonicus","Pipistrellus ceylonicus","NCBI_exact",TRUE,1,1,FALSE,""
199,"Pipistrellus circumdatus","Pipistrellus circumdatus",,,"Arielulus circumdatus","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
200,"Pipistrellus crassulus","Pipistrellus crassulus",,,"Nycticeinops crassulus","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
201,"Pipistrellus imbricatus","Pipistrellus imbricatus",,,"Hypsugo imbricatus","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
202,"Pipistrellus javanicus","Pipistrellus javanicus","258947","Pipistrellus javanicus","Pipistrellus javanicus","NCBI_exact",TRUE,1,1,FALSE,""
203,"Pipistrellus mimus","Pipistrellus mimus","2748932","Pipistrellus mimus","Pipistrellus mimus","NCBI_exact",TRUE,1,1,FALSE,""
