source_row,species,sex,catalogue_number,body_weight_g,brain_weight_fresh_mg,plane_of_sectioning,section_thickness_um,staining,distance_between_sections,collection_group
252,Tupaia glis,M,1640,160,3120,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
253,Tupaia glis,F,1641,131,3080,coronal,"20, 10, 6",Cresylviolet Heidenhain-Woelke Hematoxylin,10 20 incomplete,Scandentia
254,Tupaia glis,F,1642,154,3040,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
255,Tupaia glis,F,1643,160,3210,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
256,Tupaia glis,M,1644,212,3270,coronal,5,Hematoxylin,complete,Scandentia
257,Tupaia glis,M,1645,175,3210,coronal,"4, 10, 20",Cresylviolet Heidenhain-Woelke Hematoxylin,10 20 5,Scandentia
258,Tupaia glis,F,1646,175,3330,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
259,Tupaia glis,M,1647,211,3200,coronal,"4, 10, 20",Hematoxylin Heidenhain-Woelke,incomplete 20,Scandentia
260,Tupaia glis,F,1648,196,3340,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
261,Tupaia glis,F,1651,184,3120,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
262,Tupaia glis,F,1652,178,3160,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
263,Tupaia glis,M,1654,168,3470,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
264,Tupaia glis,F,1655,146,3430,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
265,Tupaia glis,F,1656,143,3260,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
266,Tupaia glis,F,1657,129,3060,coronal,"20, 10, 4",Cresylviolet Heidenhain-Woelke Hematoxylin,10 20 20,Scandentia
267,Tupaia glis,F,1681,161.1,3600,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
268,Tupaia glis,M,1682,177.5,3450,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
269,Tupaia glis,M,1683,180.3,3700,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
270,Tupaia glis,F,1684,160.7,3730,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
271,Tupaia glis,F,1689,176.4,3340,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
272,Tupaia glis,F,1692,180.2,3520,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
273,Tupaia glis,F,1693,165.5,3530,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
274,Tupaia glis,F,1696,159.1,3640,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
275,Tupaia glis,F,1698,137,3450,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
276,Tupaia glis,F,1699,176.9,3270,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
277,Tupaia glis,M,1701,192.7,3370,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
278,Tupaia glis,M,1706,91,2910,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
279,Tupaia glis,M,1709,180,3470,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
280,Tupaia glis,M,1713,67.09999999999999,2770,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
281,Tupaia glis,F,1715,1.14,1140,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Scandentia
282,Tupaia glis,M,1720,245,3170,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
283,Tupaia glis,F,1735,192,3500,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
284,Tupaia glis,M,1740,181.8,3650,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
285,Tupaia glis,F,1741,173,3390,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
286,Tupaia glis,M,1742,202.3,3490,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
287,Tupaia glis,F,1743,171.5,3230,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
288,Tupaia glis,M,1768,210.2,3390,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
289,Tupaia glis,F,1769,178.4,3330,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
290,Tupaia glis,F,1771,159.4,3400,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
291,Tupaia glis,F,1772,178.4,3270,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
292,Tupaia glis,M,1774,188.4,3540,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
293,Tupaia glis,F,1775,157.6,3340,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
294,Tupaia glis,F,1776,161.2,3270,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
295,Tupaia glis,F,1780,178.3,3290,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
296,Tupaia glis,M,1783,201.4,3700,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
297,Tupaia glis,F,1785,161.7,3360,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
298,Tupaia glis,M,1787,231,3520,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
299,Tupaia glis,F,1790,175.7,3510,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
300,Tupaia glis,F,1803,168.5,3600,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
301,Tupaia glis,F,1817,155.2,3200,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
302,Tupaia glis,F,1818,203.5,3360,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
303,Tupaia glis,M,1826,223.1,3470,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
304,Tupaia glis,M,1827,197.8,3280,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
305,Tupaia glis,F,1828,171.7,3170,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
306,Tupaia glis,F,1829,167.9,3390,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
307,Tupaia glis,M,1836,198.5,3650,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
308,Tupaia glis,F,1843,171.8,3230,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
309,Tupaia glis,M,1844,186,3290,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Scandentia
310,Tupaia glis,F,1851,203,3150,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
311,Tupaia glis,M,1852,227.6,3350,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
312,Tupaia glis,M,1853,212.2,3370,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
313,Tupaia glis,F,1854,181.1,3350,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
314,Tupaia glis,F,1855,224.3,3010,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
315,Tupaia glis,M,1901,206.3,3270,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
316,Tupaia glis,F,1907,183.8,3440,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
317,Tupaia glis,M,1908,216.6,3270,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
318,Tupaia glis,F,1909,169.4,3110,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
319,Tupaia glis,F,1910,157,3300,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
320,Tupaia glis,F,1911,174.4,3430,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
321,Tupaia glis,M,1915,189.5,3340,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
322,Tupaia glis,F,1916,171.1,3260,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
323,Tupaia glis,M,1917,206,3200,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
324,Tupaia glis,F,1918,164.7,3290,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
325,Tupaia glis,F,1919,175.1,3180,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
326,Tupaia glis,F,1925,214,3630,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
327,Tupaia glis,M,1926,231.4,3870,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
328,Tupaia glis,M,1927,195,3590,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
329,Tupaia glis,F,1953,162.8,3310,coronal,20,Gallocyanin Heidenhain-Woelke,10 20,Scandentia
330,Tupaia glis,M,1954,194.4,3420,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
331,Tupaia glis,,1959/19,,,coronal,8,Heidenhain-Woelke Azan Gabe Goldner Gomori Palmgren Perdrau,10 10 10 20 10 incomplete 10,Scandentia
332,Tupaia glis,M,1959/20,,,sagittal,8,Cresylviolet Heidenhain-Woelke Goldner Azan Gabe Gomori Bodian Palmgren,2 incomplete incomplete incomplete incomplete incomplete incomplete incomplete,Scandentia
333,Tupaia glis,M,1959/21,,,coronal,8,Goldner,20,Scandentia
334,Tupaia glis,F,1959/33,,,horizontal,12,Cresylviolet Eisenalaun Gomori Heidenhain-Woelke Azan Goldner Palmgren,10 10 10 incomplete incomplete incomplete incomplete,Scandentia
335,Tupaia glis,M,1960/77,,,coronal,15,Azan Gabe Gomori Bielschowsky,incomplete incomplete incomplete incomplete,Scandentia
336,Tupaia glis,M,1961/11,,,coronal,15,Azan Gabe Bielschowsky Klüver-Barrera,10 incomplete incomplete incomplete,Scandentia
337,Tupaia glis,M,1963/70,,,sagittal,12,Cresylviolet Heidenhain-Woelke Gomori,10 10 incomplete,Scandentia
338,Tupaia glis,F,1964/48,,,horizontal,10,Klüver-Barrera Heidenhain-Woelke Palmgren,10 5 incomplete,Scandentia
339,Tupaia glis,F,1985,171.8,3830,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
340,Tupaia glis,F,1986,189.6,3580,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
341,Tupaia glis,F,2049,172.2,3260,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
342,Tupaia glis,F,2165,147.2,3210,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
343,Tupaia glis,M,2273,227,3590,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
344,Tupaia glis,M,2589,205.8,3519,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
345,Tupaia glis,M,2597,184.7,3430,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
346,Tupaia glis,M,2966,207.9,3080,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
347,Tupaia glis,M,2967,204.1,3730,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
348,Tupaia glis,M,3168,198,3310,coronal,20,Cresylviolet Myelin Gallyas,10 20,Scandentia
349,Tupaia minor,M,1752,65,2615,coronal,20,Hematoxylin Heidenhain-Woelke,4 8,Scandentia
350,Tupaia minor,U,1770,70,2580,coronal,20,Hematoxylin Heidenhain-Woelke,4 8,Scandentia
351,Urogale everetti,M,1034,235,4400,sagittal,15,Cresylviolet Heidenhain-Woelke,4 8,Scandentia
352,Urogale everetti,M,1036,315.1,4160,coronal,15,Cresylviolet Heidenhain-Woelke,8 16,Scandentia
353,Eidolon helvum,M,2691,265,4553,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Chiroptera
354,Eidolon helvum,F,2694,251,4303,coronal,20,Gallocyanin,6,Chiroptera
355,Eidolon helvum,F,2695,230,4019,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Chiroptera
356,Rousettus aegyptiacus,F,2630,126,2194,coronal,20,Cresylviolet Heidenhain-Woelke,5 10,Chiroptera
357,Rousettus aegyptiacus,M,2631,168.9,2298,coronal,20,Cresylviolet Heidenhain-Woelke,5 10,Chiroptera
358,Rousettus amplexicaudatus,M,3196,65.3,1364,coronal,20,Gallocyanin,4,Chiroptera
359,Rousettus amplexicaudatus,F,3197,53.6,1356,coronal,20,Gallocyanin,4,Chiroptera
360,Rousettus amplexicaudatus,F,3199,46.7,1355,coronal,20,Gallocyanin,4,Chiroptera
361,Rousettus leschenaulti,M,3182,124,1679,coronal,20,Gallocyanin,4,Chiroptera
362,Rouserrus leschenaulti,M,3183,93.5,1742,coronal,20,Gallocyanin,5,Chiroptera
363,Rousettus leschenaulti,F,3184,78.8,1646,coronal,20,Gallocyanin,4,Chiroptera
364,Myonycteris torquata,M,3733,34.5,1101,coronal,20,Cresylviolet,3,Chiroptera
365,Myonycteris torquata,F,3734,32.9,1239,coronal,20,Cresylviolet,4,Chiroptera
366,Myonycteris torquata,M,3735,42.7,1221,coronal,20,Cresylviolet,4,Chiroptera
367,Pteropus alecto,F,1859,655,6990,coronal,20,Cresylviolet Heidenhain-Woelke,8 16,Chiroptera
368,Pteropus alecto,F,1860,595,6825,coronal,20,Cresylviolet Heidenhain-Woelke,8 16,Chiroptera
369,Pteropus conspicillatus,M,1858,750,8350,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Chiroptera
370,Peteropus gilliardi,M,3201,385,5302,coronal,20,Gallocyanin,6,Chiroptera
371,Pteropus lylei,M,1449,284,6100,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Chiroptera
372,Pteropus lylei,F,1453,324,6300,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Chiroptera
373,Pteropus lylei,M,1454,383.5,6410,sagittal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
374,Pteropus lylei,M,1455,322,6330,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Chiroptera
375,Pteropus lylei,F,1456,296,6190,coronal,20,Cresylviolet Heidenhain-Woelke,7 14,Chiroptera
376,Pteropus lylei,F,1461,307,5920,sagittal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
377,Pteropus lylei,M,1462,283.5,5650,horizontal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
378,Pteropus mahaganus,M,3203,460,5258,coronal,20,Gallocyanin,6,Chiroptera
379,Pteropus mahaganus,M,3204,470,5302,coronal,20,Gallocyanin,6,Chiroptera
380,Pteropus neohibernicus,F,3205,870,7933,coronal,20,Gallocyanin,8,Chiroptera
381,Pteropus neohibernicus,F,3206,810,10295,coronal,20,Gallocyanin,6,Chiroptera
382,Pteropus poliocephalus,M,1863,830,7527,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Chiroptera
383,Pteropus poliocephalus,F,1864,560,6932,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Chiroptera
384,Pteropus samoensis,M,3207,310,5792,coronal,20,Gallocyanin,4,Chiroptera
385,Pteropus scapulatus,M,1861,400,5820,coronal,20,Cresylviolet Heidenhain-Woelke,8 16,Chiroptera
386,Pteropus scapulatus,M,1862,390,5000,coronal,20,Cresylviolet Heidenhain-Woelke,8 16,Chiroptera
387,Pteropus temmincki,M,3208,224,4904,coronal,20,Gallocyanin,6,Chiroptera
388,Pteropus temmincki,F,3209,275,4875,coronal,20,Gallocyanin,6,Chiroptera
389,Pteropus tonganus,F,3213,345,6305,coronal,20,Gallocyanin,6,Chiroptera
390,Pteropus tonganus,M,3216,530,5885,coronal,20,Gallocyanin,6,Chiroptera
391,Pteropus tonganus,M,3219,384,5880,coronal,20,Gallocyanin,6,Chiroptera
392,Pteropus vampyrus,M,1856,1029,8900,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Chiroptera
393,Pteropus vampyrus,F,1857,898,7750,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Chiroptera
394,Dobsonia inermis,M,3222,180,2623,coronal,20,Cresylviolet,5,Chiroptera
395,Dobsonia inermis,M,3223,165,2734,coronal,20,Cresylviolet,4,Chiroptera
396,Dobsonia inermis,M,3225,133,2785,coronal,20,Gallocyanin,5,Chiroptera
397,Dobsonia moluccensis,M,3229,487,5353,coronal,20,Gallocyanin,7,Chiroptera
398,Dobsonia moluccensis,M,3232,482,5332,coronal,20,Cresylviolet,6,Chiroptera
399,Dobsonia spec?,F,3235,219.3,3842,coronal,20,Cresylviolet,5,Chiroptera
400,Dobsonia spec?,M,3237,234.5,4069,coronal,20,Cresylviolet,5,Chiroptera
401,Dobsonia spec?,F,3238,199.4,3762,coronal,20,Cresylviolet,5,Chiroptera
402,Dobsonia praedatrix,M,3243,237,2878,coronal,20,Cresylviolet,5,Chiroptera
403,Dobsonia praedatrix,F,3245,156,2927,coronal,20,Cresylviolet,5,Chiroptera
404,Dobsonia praedatrix,F,3246,172,2741,sagittal,20,Cresylviolet,5,Chiroptera
405,Dobsonia praedatrix,F,3248,177,3014,coronal,20,Cresylviolet,5,Chiroptera
406,Hypsignathus monstrosus,F,3736,253,3767,coronal,20,Cresylviolet,5,Chiroptera
407,Epomops franqueti,F,3739,94.8,2133,coronal,20,Cresylviolet,5,Chiroptera
408,Epomops franqueti,M,3742,151,2262,coronal,20,Cresylviolet,5,Chiroptera
409,Epomops franqueti,F,3748,112.3,2112,coronal,20,Cresylviolet,5,Chiroptera
410,Epomophorus labiatus,F,2645,62.7,1566,coronal,21.5,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
411,Epomophorus labiatus,M,2653,72.2,1591,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
412,Epomophorus labiatus,F,2656,60.6,1512,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
413,Micropteropus pusillus,F,2680,23.9,792,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
414,Micropteropus pusillus,M,2682,23.1,865,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
415,Micropteropus pusillus,M,2683,23,829,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
416,Scotonycteris zenkeri,M,3755,21.6,735,coronal,20,Cresylviolet,3,Chiroptera
417,Scotonycteris zenkeri,F,3757,20.2,707,coronal,20,Cresylviolet,3,Chiroptera
418,Casinycteris argynnis,F,3758,23.7,950,coronal,20,Cresylviolet,3,Chiroptera
419,Casinycteris argynnis,F,3761,30.5,917,coronal,20,Cresylviolet,3,Chiroptera
420,Casinycteris argynnis,M,3763,22.8,736,coronal,20,Cresylviolet,3,Chiroptera
421,Casinycteris argynnis,M,3764,25.1,772,coronal,20,Cresylviolet,3,Chiroptera
422,Cynopterus brachyotis,M,1889,36.8,1070,coronal,20,Hematoxylin Heidenhain-Woelke,3 6,Chiroptera
423,Cynopterus brachyotis,M,1890,39.9,1160,coronal,20,Gallocyanin Heidenhain-Woelke,4 8,Chiroptera
424,Cynopterus brachyotis,F,1891,35.6,980,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
425,Cynopterus horsfieldi,M,1892,54.4,1450,coronal,20,Cresylviolet,4,Chiroptera
426,Cynopterus horsfieldi,F,1893,58.3,1360,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
427,Cynopterus horsfieldi,F,1894,56.8,1350,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
428,Cynopterus sphinx sphinx,M,4459,63.2,1239,coronal,20,Gallocyanin,4,Chiroptera
429,Cynopterus sphinx sphinx,F,4460,54.2,1275,coronal,20,Gallocyanin,4,Chiroptera
430,Cynopterus sphinx sphinx,F,4461,48.6,1211,coronal,20,Gallocyanin,4,Chiroptera
431,Megaerops ecaudatus,M,1897,23.4,895,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
432,Megaerops ecaudatus,F,1898,24.8,870,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
433,Chironax melanocephalus,M,1895,17.4,625,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
434,Chironax melanocephalus,F,1896,18.2,605,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
435,Chironax melanocephalus,F,4474,17.6,606,coronal,20,Gallocyanin,3,Chiroptera
436,Sphaerias blanfordi,F,4480,26,842,coronal,20,Gallocyanin,3,Chiroptera
437,Sphaerias blanfordi,M,4834,30.3,837,,20,Gallocyanin,3,Chiroptera
438,Sphaerias blanfordi,M,4836,29,831,coronal,20,Gallocyanin,3,Chiroptera
439,Sphaerias blanfordi,F,4939,30.3,851,coronal,20,Gallocyanin,3,Chiroptera
440,Balionycteris maculata,F,1899,15.3,540,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
441,Balionycteris maculata,F,1900,13.7,480,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
442,Nyctimene albiventer,F,3250,29.8,739,coronal,20,Gallocyanin,3,Chiroptera
443,Nyctimene albiventer,M,3251,29.6,911,coronal,20,Gallocyanin,3,Chiroptera
444,Nyctimene major,M,3253,33.2,965,coronal,20,Gallocyanin,3,Chiroptera
445,Nyctimene major,F,3255,36.2,1047,coronal,20,Gallocyanin,4,Chiroptera
446,Nyctimene major,M,3257,34.2,1026,coronal,20,Gallocyanin,4,Chiroptera
447,Nyctimene robinsoni,F,1866,48.6,1280,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
448,Nyctimene robinsoni,M,1867,44.1,1110,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
449,Paranyctimene raptor,M,3258,26.5,739,coronal,20,Gallocyanin,3,Chiroptera
450,Paranyctimene raptor,M,3261,20.7,748,coronal,20,Gallocyanin,3,Chiroptera
451,Paranyctimene raptor,F,3264,26.7,701,coronal,20,Gallocyanin,3,Chiroptera
452,Eonycteris spelaea,U,P 86,,,coronal,10,Cresylviolet,2,Chiroptera
453,Eonycteris spelaea,M,1902,57.3,1280,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
454,Eonycteris spelaea,F,1903,57.6,1210,coronal,20,Hematoxylin Heidenhain-Woelke,3 6,Chiroptera
455,Eonycteris spelaea,F,1904,58.8,1280,coronal,20,Gallocyanin Heidenhain-Woelke,4 8,Chiroptera
456,Megaloglossus woermanni,F,3771,16.9,690,coronal,20,Cresylviolet,3,Chiroptera
457,Megaloglossus woermanni,F,3774,17.9,667,coronal,20,Cresylviolet,3,Chiroptera
458,Megaloglossus woermanni,F,3778,18.3,694,coronal,20,Cresylviolet,3,Chiroptera
459,Macroglossus minimus,F,3266,15.4,535,coronal,20,Gallocyanin,2,Chiroptera
460,Macroglossus minimus,F,3272,14,559,coronal,20,Gallocyanin,3,Chiroptera
461,Macroglossus minimus,M,3275,14.2,548,coronal,20,Cresylviolet,3,Chiroptera
462,Macroglossus sobrinus,M,1905,15.1,580,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
463,Macroglossus sobrinus,M,2031,22.8,700,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
464,Macroglossus sobrinus,M,2032,20.6,690,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
465,Macroglossus sobrinus,F,2042,22.3,720,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
466,Syconycteris australis,F,1865,14.7,570,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
467,Syconycteris crassa,M,3282,17.3,621,coronal,20,Gallocyanin,3,Chiroptera
468,Syconycteris crassa,F,3285,18.5,612,coronal,20,Gallocyanin,3,Chiroptera
469,Syconycteris crassa,F,3288,16.2,615,coronal,20,Gallocyanin,3,Chiroptera
470,Melonycteris melanops,F,3296,46.4,1305,coronal,20,Cresylviolet,4,Chiroptera
471,Melonycteris melanops,M,3302,49.3,1296,coronal,20,Gallocyanin,4,Chiroptera
472,Melonycteris melanops,M,3304,49,1316,coronal,20,Cresylviolet,4,Chiroptera
473,Nesonycteris woodfordi,F,3310,37.8,1037,coronal,20,Cresylviolet,3,Chiroptera
474,Nesonycteris woodfordi,F,3311,38.8,1028,coronal,20,Cresylviolet,3,Chiroptera
475,Nesonycteris woodfordi,F,3312,32,1049,coronal,20,Gallocyanin,3,Chiroptera
476,Notopteris macdonaldi,F,3313,71.2,1349,coronal,20,Gallocyanin,4,Chiroptera
477,Notopteris macdonaldi,F,3319,61.5,1440,coronal,20,Gallocyanin,4,Chiroptera
478,Notopteris macdonaldi,M,3320,81,1553,coronal,20,Cresylviolet,4,Chiroptera
479,Rhinopoma hardwickei I,F,4494,11.1,274,coronal,20,Gallocyanin,2,Chiroptera
480,Rhinopoma hardwickei I,F,4496,11.4,285,coronal,20,Gallocyanin,2,Chiroptera
481,Rhinopoma hardwickei II,M,4501,18.8,283,coronal,20,Gallocyanin,2,Chiroptera
482,Rhinopoma microphyllum I,F,1941,23,395,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
483,Rhinopoma microphyllum I,M,1944,27,470,coronal,20,Cresylviolet Heidenhain-Woelke,4 4,Chiroptera
484,Rhinopoma microphyllum II,F,4504,28.8,396,sagittal,20,Cell body Merker Cresylviolet,4 4,Chiroptera
485,Rhinopoma microphyllum II,M,4508,28.9,373,coronal,20,Gallocyanin,3,Chiroptera
486,Rhinopoma microphyllum II,F,4510,30.3,374,coronal,20,Gallocyanin,3,Chiroptera
487,Rhinopoma microphyllum II,F,4511,31.3,394,coronal,20,Gallocyanin,2,Chiroptera
488,Emballonura beccarii,F,3323,6,173,coronal,20,Gallocyanin,2,Chiroptera
489,Emballonura beccarii,M,3326,5.7,161,sagittal,10,Cell body Merker Cresylviolet,3 3,Chiroptera
490,Emballonura beccarii,M,3327,5.7,174,coronal,20,Gallocyanin,2,Chiroptera
491,Emballonura beccarii,M,3328,5.5,171,coronal,20,Gallocyanin,2,Chiroptera
492,Emballonura monticola,M,2053,5.4,170,coronal,20,Hematoxylin Heidenhain-Woelke,2 2,Chiroptera
493,Emballonura monticola,M,2054,5.6,165,coronal,20,Gallocyanin,2,Chiroptera
494,Emballonura monticola,F,2059,5.7,150,coronal,20,Gallocyanin,2,Chiroptera
495,Emballonura nigrescens,M,3329,2.5,123,coronal,20,Gallocyanin,2,Chiroptera
496,Emballonura nigrescens,F,3331,2.8,133,coronal,20,Gallocyanin,2,Chiroptera
497,Emballonura nigrescens,F,3332,2.9,135,coronal,20,Gallocyanin,2,Chiroptera
498,Emballonura semicaudata,F,3334,7.7,186,coronal,20,Gallocyanin,2,Chiroptera
499,Emballonura semicaudata,M,3335,6.2,195,coronal,20,Gallocyanin,2,Chiroptera
500,Emballonura semicaudata,F,3337,7.4,180,coronal,20,Gallocyanin,2,Chiroptera
501,Coleura afra,F,2702,12.7,261,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
502,Coleura afra,F,2706,11.4,258,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
503,Coleura afra,F,2708,12.1,258,coronal,20,Gallocyanin Myelin Gallyas,4 8,Chiroptera
504,Rhynchonycteris naso,M,K 288,3.9,120,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
505,Rhynchonycteris naso,M,K 289,3.7,116,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
506,Rhynchonycteris naso,M,K 292,3.6,127,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
