Organism,Genus,Species,Common name,VA,MT,SUBSTRATE,METHOD DETAILS,SECONDARY SOURCE,PRIMARY SOURCE 1,PRIMARY SOURCE 2,SPECIES IN PRIMARY REFERENCE,NOTE,PROCEDURE NOTE
Nyctophilus gouldi,Nyctophilus,gouldi,Gould’s long-eared bat ,0.60,A,,,Veilleaux and Kirk 2014,"Pettigrew et al., 1998",,,,
Odobenus rosmarus,Odobenus,rosmarus,Pacific walrus ,3.80,A,,,Veilleaux and Kirk 2014,29,,,,
Onychomys leucogaster,Onychomys,leucogaster,grasshopper mouse ,2.3,A,,ganglion cell density,Heffner and Heffner 1992,Heffner and Heffner 1992,,,From Heffner spreadsheet,
Ornithorhynchus anatinus,Omithorhynchus,anatinus,platypus,1.8,A,,ganglion cell density,Pettigrew 1998,Pettigrew 1998,,,Other,
Oryctolagus cuniculus,Oryctolagus,cuniculus,Old World rabbit,3.00,B,,,Veilleaux and Kirk 2014,67,,,,
Otolemur crassicaudatus,Otolemur,crassicaudatus,Thick-tailed greater galago,4.80,B,,,Veilleaux and Kirk 2014,92,,,,
Ovis aries,Ovis,aries,Domestic sheep,5.61,B,,,Veilleaux and Kirk 2014,15,,,,
Pan troglodytes,Pan,troglodytes,Chimpanzee,64.28,B,,,Veilleaux and Kirk 2014,85,,,,
Peromyscus maniculatus,Peromyscus,maniculatus,Deer mouse,0.56,B,,,Veilleaux and Kirk 2014,111,,,,
Phascolarctos cinereus,Phascolarctos,cinereus,Koala ,2.40,A,,,Veilleaux and Kirk 2014,60,,,,
Phoca vitulina,Phoca,vitulina,Harbour seal ,3.60,B,2.1 (air),,Kirk and Kay 2004,"Mass and Supin, 1986",,,Not included in Veilleaux and Kirk 2014,
Phoca vitulina,Phoca,vitulina,Harbour seal ,3.60,B,2.7 (water),,Kirk and Kay 2004,"Mass and Supin, 1986",,,Not included in Veilleaux and Kirk 2014,
Phocoena phocoena,Phocoena,phocoena,Harbor porpoise ,2.70,A,2.5–2.6 (water),,Kirk and Kay 2004,"Murayama et al., 1992, 1995",,,Not included in Veilleaux and Kirk 2014,
Phocoenoides dalli,Phocoenoides,dalli,Dall’s porpoise ,2.60,A,0.1–0.4,,Kirk and Kay 2004,"Suthers, 1966",,,Not included in Veilleaux and Kirk 2014,
Phyllostomus hastatus,Phyllostomus,hastatus,Greater spear-nosed bat ,0.17,B,,,Veilleaux and Kirk 2014,33,,,,
