Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Ardipithecus ramidus,hand_morphology,log10_pp3_mm,log10 mm,1.7160033436348,1.7160033436348,1,1,1,True,Baker,primary,1.7160033436348,1.7160033436348
Ardipithecus ramidus,hand_morphology,log10_pp4_mm,log10 mm,1.6730209071289,1.6730209071289,1,1,1,True,Baker,primary,1.6730209071289,1.6730209071289
Ateles ater,dexterity,Dexterity,1-7 scale,4,4,2,2,1,True,Heffner; Iwaniuk,primary; secondary,4,4
Ateles belzebuth,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Ateles belzebuth,locomotion,Locomotor_diversity_index,index,1.80198696987699,1.80198696987699,1,1,1,True,Granatosky,primary,1.80198696987699,1.80198696987699
Ateles belzebuth,manipulation,Tool_use,category,0,,1,1,0,False,Baker,secondary,,
Ateles belzebuth,hand_morphology,log10_ip2_mm,log10 mm,1.34093960203808,1.34093960203808,1,1,1,True,Baker,primary,1.34093960203808,1.34093960203808
Ateles belzebuth,hand_morphology,log10_ip3_mm,log10 mm,1.43219937875331,1.43219937875331,1,1,1,True,Baker,primary,1.43219937875331,1.43219937875331
Ateles belzebuth,hand_morphology,log10_ip4_mm,log10 mm,1.38444302405878,1.38444302405878,1,1,1,True,Baker,primary,1.38444302405878,1.38444302405878
Ateles belzebuth,hand_morphology,log10_mc1_mm,log10 mm,1.35766809304363,1.35766809304363,1,1,1,True,Baker,primary,1.35766809304363,1.35766809304363
Ateles belzebuth,hand_morphology,log10_mc2_mm,log10 mm,1.66679868366617,1.66679868366617,1,1,1,True,Baker,primary,1.66679868366617,1.66679868366617
Ateles belzebuth,hand_morphology,log10_mc3_mm,log10 mm,1.69823107544912,1.69823107544912,1,1,1,True,Baker,primary,1.69823107544912,1.69823107544912
Ateles belzebuth,hand_morphology,log10_mc4_mm,log10 mm,1.70466518545453,1.70466518545453,1,1,1,True,Baker,primary,1.70466518545453,1.70466518545453
Ateles belzebuth,hand_morphology,log10_mc5_mm,log10 mm,1.67096907469322,1.67096907469322,1,1,1,True,Baker,primary,1.67096907469322,1.67096907469322
Ateles belzebuth,hand_morphology,log10_pp2_mm,log10 mm,1.5315427791822,1.5315427791822,1,1,1,True,Baker,primary,1.5315427791822,1.5315427791822
