Species,species_as_published,canonical_structure,structure_as_published,mass_mg,mass_g,mass_se_mg,n,sex,unit_original,conversion_factor_to_mg,role,derivation,source,citation,mapping_gap
Fukomys mechowii,Fukomys mechowii,Cerebellum,Cerebellum,407.42499999999995,0.407425,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Cerebellum_p.C.Brain(0.1895) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,Tectum,Tectum,42.355,0.042355,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Tectum_p.C.Brain(0.0197) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,Tegmentum,Tegmentum,85.57000000000001,0.08557000000000001,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Tegmentum_p.C.Brain(0.0398) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,Medulla,Medulla oblongata,251.98,0.25198,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Medulla oblongata_p.C.Brain(0.1172) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,OlfactoryBulb,Olfactory bulbs,79.035,0.079035,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Olfactory bulbs_p.C.Brain(0.0479) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,OlfactoryCortices,Olfactory cortices,102.795,0.102795,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Olfactory cortices_p.C.Brain(0.0623) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Neocortex,Neocortex,425.865,0.425865,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Neocortex_p.C.Brain(0.2581) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,EntorhinalCortex,Entorhinal cortex,56.76,0.05676,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Entorhinal cortex_p.C.Brain(0.0344) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Hippocampus,Hippocampus,120.78,0.12078,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Hippocampus_p.C.Brain(0.0732) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Amygdala,Amygdala,30.195,0.030195,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Amygdala_p.C.Brain(0.0183) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Striatum,Striatum,131.01,0.13101,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Striatum_p.C.Brain(0.0794) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Septum,Septum,22.439999999999998,0.022439999999999998,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Septum_p.C.Brain(0.0136) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Thalamus,Thalamus,92.07,0.09207,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Thalamus_p.C.Brain(0.0558) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Hypothalamus,Hypothalamus,52.8,0.0528,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Hypothalamus_p.C.Brain(0.032) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Cerebellum,Cerebellum,264.495,0.264495,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Cerebellum_p.C.Brain(0.1603) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Tectum,Tectum,36.3,0.0363,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Tectum_p.C.Brain(0.022) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Tegmentum,Tegmentum,65.505,0.065505,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Tegmentum_p.C.Brain(0.0397) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Georychus capensis,Georychus capensis,Medulla,Medulla oblongata,160.545,0.160545,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Medulla oblongata_p.C.Brain(0.0973) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,OlfactoryBulb,Olfactory bulbs,64.18499999999999,0.06418499999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Olfactory bulbs_p.C.Brain(0.0389) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,OlfactoryCortices,Olfactory cortices,113.68499999999999,0.113685,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Olfactory cortices_p.C.Brain(0.0689) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Neocortex,Neocortex,486.74999999999994,0.48674999999999996,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Neocortex_p.C.Brain(0.295) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,EntorhinalCortex,Entorhinal cortex,59.73,0.05973,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Entorhinal cortex_p.C.Brain(0.0362) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Hippocampus,Hippocampus,122.09999999999998,0.12209999999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Hippocampus_p.C.Brain(0.074) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Amygdala,Amygdala,36.13499999999999,0.036134999999999994,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Amygdala_p.C.Brain(0.0219) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Striatum,Striatum,135.795,0.135795,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Striatum_p.C.Brain(0.0823) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Septum,Septum,19.139999999999997,0.019139999999999997,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Septum_p.C.Brain(0.0116) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Thalamus,Thalamus,95.36999999999999,0.09537,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Thalamus_p.C.Brain(0.0578) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Hypothalamus,Hypothalamus,44.879999999999995,0.044879999999999996,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Hypothalamus_p.C.Brain(0.0272) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Cerebellum,Cerebellum,228.525,0.228525,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Cerebellum_p.C.Brain(0.1385) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Tectum,Tectum,30.195,0.030195,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Tectum_p.C.Brain(0.0183) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Tegmentum,Tegmentum,59.894999999999996,0.059895,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Tegmentum_p.C.Brain(0.0363) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heliophobius argenteocinereus,Heliophobius argenteocinereus,Medulla,Medulla oblongata,128.04,0.12804,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.65) x Medulla oblongata_p.C.Brain(0.0776) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,OlfactoryBulb,Olfactory bulbs,21.648,0.021648,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Olfactory bulbs_p.C.Brain(0.0492) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,OlfactoryCortices,Olfactory cortices,41.36,0.04136,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Olfactory cortices_p.C.Brain(0.094) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Neocortex,Neocortex,106.30400000000002,0.10630400000000001,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Neocortex_p.C.Brain(0.2416) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,EntorhinalCortex,Entorhinal cortex,15.180000000000001,0.01518,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Entorhinal cortex_p.C.Brain(0.0345) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Hippocampus,Hippocampus,33.44,0.03344,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Hippocampus_p.C.Brain(0.076) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Amygdala,Amygdala,12.716,0.012716,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Amygdala_p.C.Brain(0.0289) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Striatum,Striatum,30.492,0.030492000000000002,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Striatum_p.C.Brain(0.0693) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Septum,Septum,4.312,0.004312,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Septum_p.C.Brain(0.0098) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Thalamus,Thalamus,24.904,0.024904,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Thalamus_p.C.Brain(0.0566) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Hypothalamus,Hypothalamus,17.776,0.017776,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Hypothalamus_p.C.Brain(0.0404) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Cerebellum,Cerebellum,51.172000000000004,0.051172,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Cerebellum_p.C.Brain(0.1163) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Tectum,Tectum,10.208,0.010208,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Tectum_p.C.Brain(0.0232) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Tegmentum,Tegmentum,20.328,0.020328,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Tegmentum_p.C.Brain(0.0462) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Heterocephalus glaber,Heterocephalus glaber,Medulla,Medulla oblongata,49.764,0.049764,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(0.44) x Medulla oblongata_p.C.Brain(0.1131) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
