"accepted_name","status","matched_tip","matched_via","candidate_source","family_expected","order_expected","n_auto_candidates","n_review_candidates","note"
"Mustela putorius furo","subspecies_of_matched_species","","","subspecies_parent","Mustelidae","Carnivora",2,0,"parent species tip is held by Mustela putorius; a species-level tree cannot separate them, so this row is excluded from PGLS rather than duplicating the tip"
"Mustela vison","matched_synonym","Neovison_vison","Neovison vison","verified_bridge","Mustelidae","Carnivora",2,0,"Neovison split from Mustela (Wozencraft 2005); bridge already documented in Wilman_etal_2014 README"
"Myosorex babaulti","matched_direct","Myosorex_babaulti","Myosorex babaulti","accepted_name","Soricidae","Eulipotyphla",1,0,""
"Myoxus glis","matched_synonym","Glis_glis","Glis glis","species_key_variant","Gliridae","Rodentia",2,0,"same epithet, generic reassignment (Glis <-> Myoxus)"
"Myrmecophaga tridactyla","matched_direct","Myrmecophaga_tridactyla","Myrmecophaga tridactyla","accepted_name","Myrmecophagidae","Pilosa",1,0,""
"Nasalis larvatus","matched_direct","Nasalis_larvatus","Nasalis larvatus","accepted_name","Cercopithecidae","Primates",1,0,""
"Nasua narica","matched_direct","Nasua_narica","Nasua narica","accepted_name","Procyonidae","Carnivora",1,0,""
"Neomys fodiens","matched_direct","Neomys_fodiens","Neomys fodiens","accepted_name","Soricidae","Eulipotyphla",1,0,""
"Nesogale dobsoni","matched_synonym","Microgale_dobsoni","Microgale dobsoni","species_key_variant","Tenrecidae","Afrosoricida",2,0,"same epithet, generic reassignment (Microgale <-> Nesogale)"
"Nesogale talazaci","matched_synonym","Microgale_talazaci","Microgale talazaci","species_key_variant","Tenrecidae","Afrosoricida",2,0,"same epithet, generic reassignment (Microgale <-> Nesogale)"
"Notamacropus parma","matched_synonym","Macropus_parma","Macropus parma","species_key_variant","Macropodidae","Diprotodontia",2,0,"same epithet, generic reassignment (Macropus <-> Notamacropus)"
"Notamacropus rufogriseus","matched_synonym","Macropus_rufogriseus","Macropus rufogriseus","species_key_variant","Macropodidae","Diprotodontia",2,0,"same epithet, generic reassignment (Macropus <-> Notamacropus)"
"Nycticebus coucang","matched_direct","Nycticebus_coucang","Nycticebus coucang","accepted_name","Lorisidae","Primates",1,0,""
"Odocoileus virginianus","matched_direct","Odocoileus_virginianus","Odocoileus virginianus","accepted_name","Cervidae","Artiodactyla",1,0,""
"Oryctolagus cuniculus","matched_direct","Oryctolagus_cuniculus","Oryctolagus cuniculus","accepted_name","Leporidae","Lagomorpha",1,0,""
"Oryzorictes hova","matched_direct","Oryzorictes_hova","Oryzorictes hova","accepted_name","Tenrecidae","Afrosoricida",1,1,""
"Osphranter rufus","matched_synonym","Macropus_rufus","Macropus rufus","verified_bridge","Macropodidae","Diprotodontia",2,0,"Osphranter raised from Macropus subgenus (Celik et al. 2019); Upham predates the split"
"Otolemur crassicaudatus","matched_direct","Otolemur_crassicaudatus","Otolemur crassicaudatus","accepted_name","Galagidae","Primates",2,0,""
"Otolemur garnettii","matched_direct","Otolemur_garnettii","Otolemur garnettii","accepted_name","Galagidae","Primates",1,0,""
"Pan paniscus","matched_direct","Pan_paniscus","Pan paniscus","accepted_name","Hominidae","Primates",1,0,""
"Pan troglodytes","matched_direct","Pan_troglodytes","Pan troglodytes","accepted_name","Hominidae","Primates",1,0,""
"Panthera leo","matched_direct","Panthera_leo","Panthera leo","accepted_name","Felidae","Carnivora",1,0,""
"Papio anubis","matched_direct","Papio_anubis","Papio anubis","accepted_name","Cercopithecidae","Primates",1,0,""
"Papio cynocephalus","matched_direct","Papio_cynocephalus","Papio cynocephalus","accepted_name","Cercopithecidae","Primates",1,0,""
