genus_species,tip_name,o_min,o_max,o_range,invertebrate,terrestrial
Limenitis_archippus,Limenitis_archippus_581024,514,545,31,Y,Y
Limenitis_lorquiini,Limenitis_lorquini_44256,530,530,0,Y,Y
Limenitis_weidemeyerii,Limenitis_weidemeyerii_44258,530,530,0,Y,Y
Papilio_xuthus,Papilio_xuthus_613073,360,575,215,Y,Y
Hemicordulia_tau,Hemicordulia_tau_269223,220,525,305,Y,Y
Sympetrum_,Sympetrum_569013,420,420,0,Y,Y
Ischnura_heterosticta,Ischnura_heterosticta_961661,360,525,165,Y,Y
Gryllus_bimaculatus,Gryllus_bimaculatus_1077624,348,511,163,Y,Y
Schistocerca_gregaria,Schistocerca_gregaria_330338,441,514,73,Y,Y
Procambarus_milleri,Procambarus_milleri_876594,522,522,0,Y,N
Engaeus_cunicularius,Engaeus_cunicularius_548591,526,526,0,Y,N
Cambarus_ludovicianus,Lacunicambarus_ludovicianus_876592,528,528,0,Y,N
Cambarellus_shufeldtii,Cambarellus_shufeldtii_876603,526,526,0,Y,N
Archaeomysis_grebnitzkii,Archaeomysis_grebnitzkii_744759,496,496,0,Y,N
Holmesimysis_costata,Holmesimysis_costata_108885,512,512,0,Y,N
Neomysis_americana,Neomysis_americana_523831,520,520,0,Y,N
Euphausia_superba,Euphausia_superba_411348,485,487,2,Y,N
Phronima_sedenteria,Phronima_sedentaria_903490,470,470,0,Y,N
Stylocheiron_maximum,Stylocheiron_maximum_446892,479,479,0,Y,N
Meganyctiphanes_norvegica,Meganyctiphanes_norvegica_151806,488,490,2,Y,N
Funchalia_villosa,Funchalia_villosa_845903,489,489,0,Y,N
Nematobrachion_sexspinosum,Nematobrachion_sexspinosum_1076007,478,478,0,Y,N
Nematobrachion_boopis,Nematobrachion_boopis_1079057,487,487,0,Y,N
Thysanopoda_orientalis,Thysanopoda_orientalis_148298,478,478,0,Y,N
Pasiphaea_multidentata,Pasiphaea_multidentata_977221,497,497,0,Y,N
Sergestes_arcticus,Eusergestes_arcticus_49364,495,495,0,Y,N
Sergestes_corniculum,,500,500,0,Y,N
Sergia_grandis,Sergia_grandis_2970934,500,500,0,Y,N
Gonodactylus_oerstedii,Neogonodactylus_oerstedii_311373,208,551,343,Y,N
Pseudosquilla_ciliata,Pseudosquilla_ciliata_122975,403.17,539.63,136.46,Y,N
Limulus_polyphemus,Limulus_polyphemus_511973,520,522.5,2.5,Y,N
Setonix_brachyurus,Setonix_brachyurus_733444,502,538,36,N,Y
Isoodon_obesulus,Isoodon_obesulus_775066,508,551,43,N,Y
Pseudopleuronectes_americanus,Pseudopleuronectes_americanus_261419,457,547,90,N,N
Nemichthys_scolopaceus,Nemichthys_scolopaceus_13845,490,490,0,N,N
Serrivomer_lanceolatoides,Serrivomer_lanceolatoides_136311,483,483,0,N,N
Alepocephalus_australis,Alepocephalus_australis_302327,475,475,0,N,N
Photostylus_,Photostylus_3642769,474,474,0,N,N
Rinocetes_nasutus,Rinoctes_nasutus_936120,489,489,0,N,N
Xenodermichthys_copei,Xenodermichthys_copei_410272,479,479,0,N,N
Gonostoma_elongatum,Gonostoma_elongatum_350304,483,483,0,N,N
Margrethia_obtusirostra,Margrethia_obtusirostra_875040,474,474,0,N,N
