Species,measure_class,Measure,Team,role,Value
Alouatta seniculus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Alouatta seniculus,gait,Duty_Factor,Wimberly,primary,68.32675986
Alouatta seniculus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Alouatta seniculus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Alouatta seniculus,gait,Foot_Posture,Wimberly,primary,plantigrade
Alouatta seniculus,gait,Gait,Wimberly,primary,DSDC
Alouatta seniculus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,4
Alouatta seniculus,behavioural_flexibility,Innovation_report_count,Reader,primary,4
Alouatta seniculus,locomotion,Intermembral_index,Granatosky,primary,97
Alouatta seniculus,research_effort,Journal_search_article_count,Reader,primary,28
Alouatta seniculus,locomotion,Locomotor_diversity_index,Granatosky,primary,0.600482908245825
Alouatta seniculus,gait,Phase,Wimberly,primary,56.89748148
Alouatta seniculus,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Alouatta seniculus,manipulation,Tool_Manufacture,Baker,primary,1
Alouatta seniculus,manipulation,Tool_use,Baker,secondary,1
Alouatta seniculus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,1
Alouatta seniculus,behavioural_flexibility,Tool_use_report_count,Reader,primary,1
Alouatta seniculus,manipulation,True_Tool_Use,Baker,primary,1
Alouatta seniculus,research_effort,Zoological_record_article_count,Reader,primary,82
Alouatta seniculus,hand_morphology,log10_dp1_mm,Baker,primary,1.11991541025799
Alouatta seniculus,hand_morphology,log10_dp2_mm,Baker,primary,1.03941411917614
Alouatta seniculus,hand_morphology,log10_ip2_mm,Baker,primary,1.27443077259293
Alouatta seniculus,hand_morphology,log10_ip3_mm,Baker,primary,1.33931891323648
Alouatta seniculus,hand_morphology,log10_ip4_mm,Baker,primary,1.3458244569982
Alouatta seniculus,hand_morphology,log10_mc1_mm,Baker,primary,1.33439091464906
Alouatta seniculus,hand_morphology,log10_mc2_mm,Baker,primary,1.48127908446486
Alouatta seniculus,hand_morphology,log10_mc3_mm,Baker,primary,1.52501662348241
Alouatta seniculus,hand_morphology,log10_mc4_mm,Baker,primary,1.50130248034113
Alouatta seniculus,hand_morphology,log10_mc5_mm,Baker,primary,1.44983724551267
Alouatta seniculus,hand_morphology,log10_pp1_mm,Baker,primary,1.30802343170697
Alouatta seniculus,hand_morphology,log10_pp2_mm,Baker,primary,1.46601787390354
Alouatta seniculus,hand_morphology,log10_pp3_mm,Baker,primary,1.51045564000733
Alouatta seniculus,hand_morphology,log10_pp4_mm,Baker,primary,1.50574672306446
Alouatta seniculus,hand_morphology,peak_workspace,Baker,primary,-1.53760200210104
Alouatta seniculus,hand_morphology,real_size,Baker,primary,1.06069784035361
Alouatta seniculus,hand_morphology,relative_size,Baker,primary,-1.09691001300806
Ammotragus lervia,gait,Duty_Factor,Wimberly,primary,71
Ammotragus lervia,gait,Foot_Posture,Wimberly,primary,unguligrade
Ammotragus lervia,gait,Gait,Wimberly,primary,LSDC
Ammotragus lervia,gait,Phase,Wimberly,primary,26
Antilocapra americana,gait,Duty_Factor,Wimberly,primary,62.01923077
Antilocapra americana,gait,Foot_Posture,Wimberly,primary,unguligrade
Antilocapra americana,gait,Gait,Wimberly,primary,LSLC
Antilocapra americana,gait,Phase,Wimberly,primary,17.94872
Aotus azarae,manipulation,Tool_use,Baker,secondary,0
Aotus azarae,hand_morphology,log10_ip2_mm,Baker,primary,0.974050902792877
Aotus azarae,hand_morphology,log10_ip3_mm,Baker,primary,0.992995098431341
Aotus azarae,hand_morphology,log10_ip4_mm,Baker,primary,1.04453976039241
Aotus azarae,hand_morphology,log10_mc1_mm,Baker,primary,1.02407498730743
Aotus azarae,hand_morphology,log10_mc2_mm,Baker,primary,1.25788616710497
Aotus azarae,hand_morphology,log10_mc3_mm,Baker,primary,1.29086578494364
Aotus azarae,hand_morphology,log10_mc4_mm,Baker,primary,1.25981943472062
Aotus azarae,hand_morphology,log10_mc5_mm,Baker,primary,1.14406801413637
Aotus azarae,hand_morphology,log10_pp1_mm,Baker,primary,0.976349979003273
Aotus azarae,hand_morphology,log10_pp2_mm,Baker,primary,1.14426277376199
Aotus azarae,hand_morphology,log10_pp3_mm,Baker,primary,1.18241465243455
Aotus azarae,hand_morphology,log10_pp4_mm,Baker,primary,1.18412335423967
Aotus azarai,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Aotus azarai,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Aotus azarai,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Aotus azarai,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Aotus azarai,research_effort,Journal_search_article_count,Reader,primary,2
Aotus azarai,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Aotus azarai,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Aotus azarai,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Aotus azarai,research_effort,Zoological_record_article_count,Reader,primary,22
Aotus brumbacki,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Aotus brumbacki,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Aotus brumbacki,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Aotus brumbacki,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Aotus brumbacki,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Aotus brumbacki,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Aotus brumbacki,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Aotus brumbacki,research_effort,Zoological_record_article_count,Reader,primary,0
Aotus hershkovitzi,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Aotus hershkovitzi,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Aotus hershkovitzi,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Aotus hershkovitzi,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Aotus hershkovitzi,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Aotus hershkovitzi,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Aotus hershkovitzi,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Aotus hershkovitzi,research_effort,Zoological_record_article_count,Reader,primary,0
Aotus infulatus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Aotus infulatus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Aotus infulatus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Aotus infulatus,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Aotus infulatus,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Aotus infulatus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Aotus infulatus,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Aotus infulatus,research_effort,Zoological_record_article_count,Reader,primary,6
Aotus lemurinus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Aotus lemurinus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Aotus lemurinus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Aotus lemurinus,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Aotus lemurinus,research_effort,Journal_search_article_count,Reader,primary,1
Aotus lemurinus,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Aotus lemurinus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Aotus lemurinus,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Aotus lemurinus,research_effort,Zoological_record_article_count,Reader,primary,16
Aotus miconax,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Aotus miconax,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Aotus miconax,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Aotus miconax,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Aotus miconax,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Aotus miconax,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Aotus miconax,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Aotus miconax,research_effort,Zoological_record_article_count,Reader,primary,2
Aotus nancymaae,gait,Duty_Factor,Wimberly,primary,59.59001804
Aotus nancymaae,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Aotus nancymaae,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Aotus nancymaae,gait,Foot_Posture,Wimberly,primary,plantigrade
Aotus nancymaae,gait,Gait,Wimberly,primary,DSDC
Aotus nancymaae,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Aotus nancymaae,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Aotus nancymaae,research_effort,Journal_search_article_count,Reader,primary,2
Aotus nancymaae,gait,Phase,Wimberly,primary,58.37598712
Aotus nancymaae,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Aotus nancymaae,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Aotus nancymaae,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Aotus nancymaae,research_effort,Zoological_record_article_count,Reader,primary,5
Aotus nigriceps,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Aotus nigriceps,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Aotus nigriceps,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Aotus nigriceps,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Aotus nigriceps,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Aotus nigriceps,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Aotus nigriceps,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Aotus nigriceps,research_effort,Zoological_record_article_count,Reader,primary,1
Aotus trivirgatus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Aotus trivirgatus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Aotus trivirgatus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Aotus trivirgatus,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Aotus trivirgatus,research_effort,Journal_search_article_count,Reader,primary,2
Aotus trivirgatus,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Aotus trivirgatus,manipulation,Tool_use,Baker,secondary,0
Aotus trivirgatus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Aotus trivirgatus,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
