Species,Duty_Factor,Foot_Posture,Gait,Phase,Locomotor_diversity_index,Tool_use,log10_dp3_mm,log10_ip3_mm,log10_mc1_mm,log10_mc2_mm,log10_mc3_mm,log10_mc4_mm,log10_mc5_mm,log10_pp3_mm,log10_pp1_mm,Extractive_foraging_reduced_report_count,Extractive_foraging_report_count,Innovation_reduced_report_count,Innovation_report_count,Social_learning_report_count,Tool_use_reduced_report_count,Tool_use_report_count,Zoological_record_article_count,Journal_search_article_count,log10_dp1_mm,log10_ip2_mm,log10_ip4_mm,log10_pp2_mm,log10_pp4_mm,Arboreal_terrestrial,Intermembral_index,VocalRepertoire,Tool_Manufacture,True_Tool_Use,log10_dp2_mm,peak_workspace,real_size,relative_size,Dexterity,Extractive_foraging,Handedness_index_mean,Handedness_strength_mean,Manipulation_complexity,log10_ip5_mm,log10_pp5_mm,log10_dp4_mm,log10_dp5_mm,CM_connection_inference,CST_termination_grade
Dasyurus maculatus,64.27399,digitigrade,LSDC,41.39767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daubentonia madagascariensis,57.36413584,plantigrade,DSDC,65.79056326,1.24022837119808,0,NA,NA,NA,NA,1.55509444857832,NA,1.32301993299933,1.62428209583567,NA,2,6,0,4,0,0,2,52,29,NA,NA,1.52288417392743,NA,NA,A,71,9,NA,NA,NA,-1.53760200210104,1,-1.09691001300806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrohyrax arboreus,55.55,NA,LSLC,22.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrolagus goodfellowi,68,plantigrade,LSLC,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodus rotundus,68.15073417000001,NA,LSDC,29.50951127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodus rufus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Didelphis virginiana,76.54000000000001,plantigrade,LSDC,34.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryomomys szalayi,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.621176281775035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eira barbara,NA,NA,NA,NA,1.31805406764601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ekembo heseloni,NA,NA,NA,NA,NA,0,NA,NA,1.39794000867204,1.55630250076729,NA,1.5854607295085,NA,NA,1.33445375115093,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05690485133647,NA,1.23044892137827,NA,1.47712125471966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elephas maximus,73,plantigrade,LSLC,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enhydra lutris,67.155,NA,LSDC,27.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equus asinus,73,unguligrade,LSLC,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equus burchelli,67,unguligrade,LSLC,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equus caballus,67,unguligrade,LSLC,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erethizon dorsatum,75,plantigrade,LSDC,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erinaceus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erinaceus europaeus,62.96,NA,LSDC,33.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrocebus patas,NA,NA,NA,NA,0.509101870244824,1,NA,1.13014197253649,1.33043438288614,1.56312496033804,1.57246498659219,1.54580175715928,1.51066019147352,1.30978956360938,1.00714455290443,1,1,1,1,2,0,0,33,24,NA,1.0040414688968,1.10151492781342,1.24061749602915,1.29336704941038,T,92,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur coronatus,NA,NA,NA,NA,1.32285696027778,0,NA,1.02530586526477,NA,NA,1.25285303097989,NA,NA,1.19865708695442,NA,0,0,0,0,0,0,0,11,2,NA,NA,NA,NA,NA,A,69,13,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1.6,NA,NA,NA,NA,NA,NA
Eulemur flavifrons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur fulvus,NA,NA,NA,NA,1.30441240377472,1,NA,NA,NA,NA,1.32221929473392,NA,1.28216877830464,1.26007138798507,NA,0,3,0,3,1,0,0,81,24,NA,NA,1.1091143090388,NA,NA,A,72,14,0,1,NA,-1.58502665202918,0.845098040014257,-1.04575749056068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur macaco,NA,NA,NA,NA,1.43123180445711,0,NA,NA,NA,NA,1.3384564936046,NA,1.30285021270231,1.28330122870355,NA,2,2,0,1,0,0,1,32,18,NA,NA,1.1483558264494,NA,NA,A,71,16,NA,NA,NA,-1.56863623584101,0.8750612633917,-1.04575749056068,NA,0,NA,NA,1.23,NA,NA,NA,NA,NA,NA
Eulemur mongoz,53.53277563,plantigrade,DSDC,62.43998388,1.43236716092924,0,NA,NA,NA,NA,1.28780172993023,NA,1.23975814551305,1.22788670461367,NA,0,1,0,1,0,0,0,13,6,NA,NA,1.08701196912244,NA,NA,A,72,15,NA,NA,NA,-1.56863623584101,0.812913356642856,-1.04575749056068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur rubriventer,NA,NA,NA,NA,0.969736905647942,0,NA,1.10720996964787,NA,NA,1.34439227368511,NA,NA,1.30102999566398,NA,0,0,0,0,0,0,0,13,4,NA,NA,NA,NA,NA,A,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euoticus elegantulus,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.04139268515823,NA,0.996730515435153,1.07918124604762,NA,0,0,0,0,0,0,0,1,1,NA,NA,0.949877704036875,NA,NA,NA,NA,6,NA,NA,NA,-1.50863830616573,0.6232492903979,-1.04575749056068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euoticus inustus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europolemur klatti,NA,NA,NA,NA,NA,0,0.633468455579587,1.16256440652302,0.998259338423699,1.15956719323362,1.18554215485438,1.18269990333604,1.14983469671578,1.3003780648707,1.07773117965239,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786751422145561,1.07040732174012,1.13924921757161,1.21906033244886,1.31407799177921,NA,NA,NA,NA,NA,0.582063362911709,NA,NA,NA,NA,NA,NA,NA,NA,1.02571538390134,1.23019337886905,NA,NA,NA,NA
Felis catus,63.8762843,digitigrade,LSLC,21.71555499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galago alleni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galago granti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galago matschiei,NA,NA,NA,NA,1.55376177629077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galago moholi,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.916980047320382,NA,0.798880735242388,0.912753303671323,NA,0,0,0,0,0,0,0,14,7,NA,NA,0.8115750058705929,NA,NA,NA,NA,NA,NA,NA,NA,-1.53760200210104,0.397940008672038,-1.09691001300806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galago senegalensis,NA,NA,NA,NA,1.03969242563174,1,NA,NA,NA,NA,0.919078092376074,NA,0.818005830532529,0.931457870689005,NA,0,0,0,0,0,0,0,20,3,NA,NA,0.823800153749878,NA,NA,A,52,18,0,0,NA,-1.55284196865778,0.397940008672038,-1.09691001300806,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galagoides demidoff,NA,NA,NA,NA,1.40614065804908,0,NA,NA,NA,NA,0.781755374652469,NA,0.6878632481960421,0.8115750058705929,NA,0,0,0,0,0,0,0,5,2,NA,NA,0.7371926427047369,NA,NA,A,68,8,NA,NA,NA,-1.50863830616573,0.322219294733919,-1.09691001300806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galagoides thomasi,NA,NA,NA,NA,1.53051572202163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,A,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galagoides zanzibaricus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeopterus variegatus,NA,NA,NA,NA,1.24539319229782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giraffa camelopardalis,68,unguligrade,LSLC,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glaucomys volans,NA,NA,NA,NA,1.41481405296438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla beringei,NA,NA,NA,NA,NA,0,NA,1.60159240107166,1.66889016900251,NA,NA,1.9086088300491,1.89756016128198,1.75836547332291,1.45002904523793,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29312568833966,NA,1.58910347436331,NA,1.74124166873999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla gorilla,61.54791155,plantigrade,LSDC,43.42752,0.188053654103712,0,NA,1.62525403673417,1.69319270456177,1.94939000664491,NA,1.94938230176612,1.93231166321417,1.77811603588991,1.49341157504866,2,12,6,25,13,3,21,517,112,1.32060781057734,1.51949985285954,1.6268094629253,1.71642073384655,1.77216447707712,T,116,17,1,1,1.24612912566344,-1.50863830616573,1.45788189673399,-1,NA,1,0.248,0.541,5,NA,NA,NA,NA,NA,NA
Hapalemur aureus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hapalemur griseus,61.92340311,plantigrade,DSDC,64.61677813999999,1.15600589287313,0,NA,NA,NA,NA,1.20411998265592,NA,1.17035951845401,1.16435285578444,NA,0,0,0,0,0,0,0,40,11,NA,NA,1.02160271602824,NA,NA,A,64,NA,NA,NA,NA,-1.53760200210104,0.707570176097936,-1.04575749056068,NA,0,NA,NA,1.78,NA,NA,NA,NA,NA,NA
Hapalemur simus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippopotamus amphibius,76,digitigrade,LSDC,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HispanopithecusHispanopithecus laietanus,NA,NA,NA,NA,NA,0,NA,1.60205999132796,NA,NA,NA,1.81624129999178,NA,1.77524625974024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6159500516564,NA,1.79726754083072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo naledi,NA,NA,NA,NA,NA,0,1.15836249209525,1.3541084391474,1.57287160220048,1.72997428569956,1.69019608002851,1.63042787502502,1.60959440922522,1.55509444857832,1.38916608436453,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18184358794477,1.25042000230889,1.34439227368511,1.50785587169583,1.51982799377572,NA,NA,NA,NA,NA,1.10380372095596,NA,NA,NA,NA,NA,NA,NA,NA,1.19312459835446,1.42324587393681,1.14921911265538,1.09342168516224,NA,NA
Homo neanderthalensis,NA,NA,NA,NA,NA,0,NA,1.43136376415899,1.63548374681491,1.83632411570675,1.7996850909091,1.75050839485135,1.71767050300226,1.60205999132796,1.45636603312904,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43136376415899,1.41329976408125,1.4432629874587,1.64048143697042,1.62541535215441,NA,NA,NA,NA,NA,1.33445375115093,-1.36653154442041,0.477121254719662,-1.09691001300806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,NA,NA,NA,NA,NA,1,NA,1.47084630440806,1.64841421544716,1.81354293163646,1.81249769272059,1.75930028085157,1.72706203877614,1.65607405264092,1.48527160486971,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34869419026554,1.38056039364046,1.4508551592226,1.60395927011482,1.62621675017005,NA,NA,NA,1,NA,1.23148043572734,-1.36653154442041,1,-1.09691001300806,7,1,0.761,0.9429999999999999,5.4,NA,NA,NA,NA,NA,NA
Hoolock hoolock,NA,NA,NA,NA,NA,1,NA,1.51454775266029,1.49288256080305,NA,NA,1.71802395138773,1.66138669778177,1.63826456376247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Horpyiocepalus leucogostra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrochoerus hydrochaeris,69.21052632,digitigrade,LSDC,28.15789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates agilis,NA,NA,NA,NA,1.46623688969866,0,NA,1.52330414546054,1.5229438845673,NA,NA,1.73117226593784,1.68584917961594,1.65991620006985,1.31386722036915,0,0,0,0,0,0,0,16,2,1.01283722470517,NA,1.43616264704076,NA,1.59439255037543,A,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates concolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,21,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates gabriellae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates hoolock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates klossii,NA,NA,NA,NA,NA,0,NA,1.43917473984347,1.4726687041948,NA,NA,1.66929828083241,1.60726196053894,1.58541560565975,NA,0,0,0,0,0,0,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates lar,NA,NA,NA,NA,1.08697816813994,1,NA,1.50449976780316,1.54251421628165,1.80951632399315,1.78322766245893,1.74718762816104,1.6969646324301,1.65087655571828,1.28478784911919,0,0,0,0,0,0,0,86,19,0.985426474083002,1.41445819234754,1.44771782135467,1.60157521252804,1.5995511260713,A,130,14,1,1,1.07261747654524,-1.56863623584101,1.34635297445064,-0.958607314841775,6,NA,-0.011,0.614,NA,NA,NA,NA,NA,NA,NA
Hylobates leucogenys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates moloch,NA,NA,NA,NA,NA,0,NA,NA,1.48995847942483,NA,NA,1.72754125702856,NA,NA,1.29446622616159,0,0,0,0,0,0,0,16,NA,1.01283722470517,NA,1.46389298898591,NA,1.61278385671974,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,-0.115,0.799,NA,NA,NA,NA,NA,NA,NA
Hylobates muelleri,NA,NA,NA,NA,NA,0,NA,1.51308436046514,1.51041094801018,NA,NA,1.70651864950169,1.66167073604036,1.63883854879553,1.28103336724773,0,0,0,0,0,0,0,5,1,1.04139268515823,NA,1.45939248775923,NA,1.58433122436753,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylobates pileatus,NA,NA,NA,NA,0.566784872290849,0,NA,NA,1.55022835305509,NA,NA,1.73878055848437,NA,NA,1.32633586092875,0,0,1,1,0,0,0,16,3,1.06818586174616,NA,1.46982201597816,NA,1.62013605497376,A,129.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2.14,NA,NA,NA,NA,NA,NA
Hylobates syndactylus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indri indri,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.71264970162721,NA,1.71076592368989,1.63346845557959,NA,0,0,0,0,0,0,0,8,2,NA,NA,1.4625726789352,NA,NA,NA,NA,NA,NA,NA,NA,-1.56863623584101,1.24797326636181,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isoodon macrourus,74.38809091,plantigrade,LSDC,41.78658333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kobus ellipsiprymnus,67.16,unguligrade,LSLC,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagothrix flavicauda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagothrix lagothricha,NA,NA,NA,NA,1.67997850986382,0,NA,1.31783359924359,1.34537373055909,1.50242711998443,1.52439612210384,1.51982799377572,1.48429983934679,1.50506854046951,NA,0,0,0,0,0,0,0,34,12,NA,NA,NA,NA,NA,A,98,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagothrix lagotricha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lama glama,72,digitigrade,LSLC,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lasiorhinus krefftii,73,plantigrade,LSLC,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemur catta,64.50073161,plantigrade,DSDC,65.24681400999999,1.35877626253505,0,NA,NA,NA,NA,1.32428245529769,NA,1.2724604801459,1.25285303097989,NA,0,2,0,2,4,0,0,103,43,NA,NA,1.11333045345588,NA,NA,T,70,22,0,1,NA,-1.58502665202918,0.8325089127062359,-1.04575749056068,5,0,NA,NA,1.48,NA,NA,NA,NA,NA,NA
Leontopithecus chrysomelas,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,46,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.151,0.514,1.63,NA,NA,NA,NA,NA,NA
Leontopithecus chrysopygus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,38,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,0.35,NA,NA,NA,NA,NA,NA,NA
Leontopithecus rosalia,65.77,plantigrade,DSDC,58.27,1.64214160038655,0,NA,1,NA,NA,1.33445375115093,NA,NA,1.17897694729317,NA,0,0,0,0,0,0,0,85,23,NA,NA,NA,NA,NA,A,89,20,0,1,NA,NA,NA,NA,NA,1,0.022,0.502,1.2,NA,NA,NA,NA,NA,NA
Leopardus pardalis,60.88318534,digitigrade,LSLC,19.12393178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
