"check_value_id","check_species","check_trait","check_value","status","figure_value","figure_id"
"SensoryData_r144_audible_freq_high_60dBSPL","Sciurus niger","audible_freq_high_60dBSPL","49","differs_from_digitisation","48.8708224513624","28"
"SensoryData_r144_interaural_distance_functional","Sciurus niger","interaural_distance_functional","157","differs_from_digitisation","157.315344365557","28"
"SensoryData_r147_audible_freq_high_60dBSPL","Sigmodon hispidus","audible_freq_high_60dBSPL","72","differs_from_digitisation","72.0905365060763","34"
"SensoryData_r147_interaural_distance_functional","Sigmodon hispidus","interaural_distance_functional","65","differs_from_digitisation","66.6102939742458","34"
"SensoryData_r151_audible_freq_high_60dBSPL","Spalax ehrenbergi","audible_freq_high_60dBSPL","5.9","differs_from_digitisation","5.85660655141258","31"
"SensoryData_r151_interaural_distance_functional","Spalax ehrenbergi","interaural_distance_functional","87","differs_from_digitisation","88.4733382883108","31"
"SensoryData_r154_interaural_distance_functional","Sus scrofa","interaural_distance_functional","498","differs_from_digitisation","500.058976498786","54"
"SensoryData_r155_interaural_distance_functional","Sylvilagus floridana","interaural_distance_functional","123.204223088872","agree_digitised","123.204223088872","23"
"SensoryData_r164_audible_freq_high_60dBSPL","Tupaia glis","audible_freq_high_60dBSPL","61","differs_from_digitisation","61.1421506948463","5"
"SensoryData_r164_interaural_distance_functional","Tupaia glis","interaural_distance_functional","136","differs_from_digitisation","136.706018645672","5"
