population,specimen_id,sex,structure_var,structure_label,volume_mm3,pct_of_pure_brain,total_brain_weight_g,total_brain_volume_mm3,rest_tissue_mm3,ventricle_mm3,pure_brain_tissue_mm3
guinea pig (Cavia aperea f. porcellus),18206,M,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,12.757,0.29,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,nucleus_cochlearis_mm3,Nucleus cochlearis,17.695,0.4,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18205,M,medulla_oblongata_mm3,Medulla oblongata,381.287,9.19,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,cerebellum_mm3,Cerebellum,557.211,13.44,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,mesencephalon_mm3,Mesencephalon,341.115,8.23,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,diencephalon_mm3,Diencephalon,403.625,9.73,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,telencephalon_mm3,Telencephalon,2464.166,59.41,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,neocortex_total_mm3,Neocortex (total),1507.137,36.34,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,corpus_striatum_mm3,Corpus striatum,208.651,5.03,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,allocortex_total_mm3,Allocortex (total),748.378,18.04,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,neocortex_grey_mm3,Neocortex (grey matter),1273.379,30.7,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,neocortex_white_mm3,Neocortex (white matter),233.758,5.64,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,olfactory_allocortex_mm3,Olfactory allocortex,325.362,7.84,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,bulbus_olfactorius_mm3,Bulbus olfactorius,61.298,1.48,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,regio_retrobulbaris_mm3,Regio retrobulbaris,11.774,0.28,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,tuberculum_olfactorium_mm3,Tuberculum olfactorium,31.515,0.76,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,regio_praepiriformis_mm3,Regio praepiriformis,104.759,2.53,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,nucleus_amygaloideus_mm3,Nucleus amygaloideus,90.214,2.17,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,basal_nuclei_mm3,Basal nuclei,25.802,0.62,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,non_olfactory_allocortex_mm3,Non-olfactory allocortex,423.016,10.2,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,septum_telencephali_mm3,Septum telencephali,48.657,1.17,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,hippocampus_mm3,Hippocampus,285.358,6.88,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,schizocortex_mm3,Schizocortex,89.001,2.15,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,tractus_opticus_mm3,Tractus opticus,14.719,0.35,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,13.679,0.33,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18205,M,nucleus_cochlearis_mm3,Nucleus cochlearis,18.008,0.43,4.47,4314.672,143.372,23.896,4147.404
guinea pig (Cavia aperea f. porcellus),18719,M,medulla_oblongata_mm3,Medulla oblongata,347.566,9.1,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,cerebellum_mm3,Cerebellum,553.579,14.49,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,mesencephalon_mm3,Mesencephalon,326.018,8.54,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,diencephalon_mm3,Diencephalon,364.844,9.55,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,telencephalon_mm3,Telencephalon,2227.321,58.32,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,neocortex_total_mm3,Neocortex (total),1352.926,35.42,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,corpus_striatum_mm3,Corpus striatum,182.793,4.79,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,allocortex_total_mm3,Allocortex (total),691.602,18.11,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,neocortex_grey_mm3,Neocortex (grey matter),1154.157,30.22,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,neocortex_white_mm3,Neocortex (white matter),198.769,5.2,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,olfactory_allocortex_mm3,Olfactory allocortex,307.998,8.07,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,bulbus_olfactorius_mm3,Bulbus olfactorius,60.373,1.58,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,regio_retrobulbaris_mm3,Regio retrobulbaris,10.774,0.28,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,tuberculum_olfactorium_mm3,Tuberculum olfactorium,33.438,0.88,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,regio_praepiriformis_mm3,Regio praepiriformis,102.727,2.69,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,nucleus_amygaloideus_mm3,Nucleus amygaloideus,78.95,2.07,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,basal_nuclei_mm3,Basal nuclei,21.736,0.57,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,non_olfactory_allocortex_mm3,Non-olfactory allocortex,383.604,10.04,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,septum_telencephali_mm3,Septum telencephali,42.354,1.11,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,hippocampus_mm3,Hippocampus,255.984,6.7,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,schizocortex_mm3,Schizocortex,85.266,2.23,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,tractus_opticus_mm3,Tractus opticus,14.49,0.38,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,12.447,0.33,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18719,M,nucleus_cochlearis_mm3,Nucleus cochlearis,15.605,0.41,4.09,3947.876,91.767,36.781,3819.328
guinea pig (Cavia aperea f. porcellus),18731,F,medulla_oblongata_mm3,Medulla oblongata,412.67,9.07,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,cerebellum_mm3,Cerebellum,604.602,13.29,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,mesencephalon_mm3,Mesencephalon,398.265,8.75,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,diencephalon_mm3,Diencephalon,418.844,9.21,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,telencephalon_mm3,Telencephalon,2714.906,59.68,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,neocortex_total_mm3,Neocortex (total),1688.282,37.11,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,corpus_striatum_mm3,Corpus striatum,223.733,4.92,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,allocortex_total_mm3,Allocortex (total),802.891,17.65,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,neocortex_grey_mm3,Neocortex (grey matter),1426.762,31.36,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,neocortex_white_mm3,Neocortex (white matter),261.52,5.75,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,olfactory_allocortex_mm3,Olfactory allocortex,348.318,7.66,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,bulbus_olfactorius_mm3,Bulbus olfactorius,57.99,1.27,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,regio_retrobulbaris_mm3,Regio retrobulbaris,13.282,0.29,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,tuberculum_olfactorium_mm3,Tuberculum olfactorium,34.795,0.77,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,regio_praepiriformis_mm3,Regio praepiriformis,118.413,2.6,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,nucleus_amygaloideus_mm3,Nucleus amygaloideus,93.534,2.06,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,basal_nuclei_mm3,Basal nuclei,30.304,0.67,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,non_olfactory_allocortex_mm3,Non-olfactory allocortex,454.573,9.99,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,septum_telencephali_mm3,Septum telencephali,47.515,1.04,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,hippocampus_mm3,Hippocampus,301.178,6.62,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,schizocortex_mm3,Schizocortex,105.88,2.33,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,tractus_opticus_mm3,Tractus opticus,15.714,0.35,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,13.469,0.3,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18731,F,nucleus_cochlearis_mm3,Nucleus cochlearis,17.584,0.39,4.84,4671.815,90.727,31.801,4549.287
guinea pig (Cavia aperea f. porcellus),18733,F,medulla_oblongata_mm3,Medulla oblongata,436.452,9.73,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,cerebellum_mm3,Cerebellum,618.083,13.78,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,mesencephalon_mm3,Mesencephalon,358.948,8,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,diencephalon_mm3,Diencephalon,452.818,10.1,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,telencephalon_mm3,Telencephalon,2619.077,58.39,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,neocortex_total_mm3,Neocortex (total),1613.815,35.98,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,corpus_striatum_mm3,Corpus striatum,198.175,4.42,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,allocortex_total_mm3,Allocortex (total),807.087,17.99,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,neocortex_grey_mm3,Neocortex (grey matter),1340.83,29.89,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,neocortex_white_mm3,Neocortex (white matter),272.985,6.09,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,olfactory_allocortex_mm3,Olfactory allocortex,353.01,7.87,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,bulbus_olfactorius_mm3,Bulbus olfactorius,68.695,1.53,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,regio_retrobulbaris_mm3,Regio retrobulbaris,7.373,0.16,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,tuberculum_olfactorium_mm3,Tuberculum olfactorium,34.528,0.77,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,regio_praepiriformis_mm3,Regio praepiriformis,120.487,2.69,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,nucleus_amygaloideus_mm3,Nucleus amygaloideus,87.398,1.95,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,basal_nuclei_mm3,Basal nuclei,34.529,0.77,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,non_olfactory_allocortex_mm3,Non-olfactory allocortex,454.077,10.12,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,septum_telencephali_mm3,Septum telencephali,51.433,1.15,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,hippocampus_mm3,Hippocampus,294.026,6.55,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,schizocortex_mm3,Schizocortex,108.618,2.42,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,tractus_opticus_mm3,Tractus opticus,17.444,0.39,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,14.387,0.32,4.77,4604.247,82.183,36.686,4485.378
guinea pig (Cavia aperea f. porcellus),18733,F,nucleus_cochlearis_mm3,Nucleus cochlearis,16.365,0.36,4.77,4604.247,82.183,36.686,4485.378
