"Species","resolution_status","merge_eligible","in_current_volume_merge"
"Nycteris nana","GBIF_frozen_legacy_map",TRUE,FALSE
"Nycteris thebaica","NCBI_exact",TRUE,FALSE
"Nycteris tragata","NCBI_exact",TRUE,FALSE
"Nycticeinops crassulus","GBIF_frozen_legacy_map",TRUE,FALSE
"Nycticeinops grandidieri","MANUAL_REVIEW",FALSE,FALSE
"Nyctimene albiventer","NCBI_exact",TRUE,FALSE
"Nyctimene robinsoni","NCBI_exact",TRUE,FALSE
"Nyctimene vizcaccia","NCBI_exact",TRUE,FALSE
"Nyctophilus geoffroyi","NCBI_exact",TRUE,FALSE
"Nyctophilus timoriensis","MANUAL_REVIEW",FALSE,FALSE
"Otomops martiensseni","NCBI_exact",TRUE,FALSE
"Paranyctimene raptor","NCBI_exact",TRUE,FALSE
"Perimyotis subflavus","NCBI_exact",TRUE,FALSE
"Peropteryx macrotis","NCBI_exact",TRUE,FALSE
"Peropteryx trinitatis","NCBI_exact",TRUE,FALSE
"Phoniscus atrox","GBIF_frozen_legacy_map",TRUE,FALSE
"Phylloderma stenops","NCBI_exact",TRUE,FALSE
"Phyllostomus discolor","NCBI_exact",TRUE,FALSE
"Phyllostomus elongatus","NCBI_exact",TRUE,FALSE
"Phyllostomus hastatus","NCBI_exact",TRUE,FALSE
"Pipistrellus ceylonicus","NCBI_exact",TRUE,FALSE
"Pipistrellus javanicus","NCBI_exact",TRUE,FALSE
"Pipistrellus javanicus babu","NCBI_exact",TRUE,FALSE
"Pipistrellus mimus","NCBI_exact",TRUE,FALSE
"Pipistrellus papuanus","GBIF_frozen_legacy_map",TRUE,FALSE
"Pipistrellus stenopterus","MANUAL_REVIEW",FALSE,FALSE
"Platyrrhinus brachycephalus","NCBI_exact",TRUE,FALSE
"Platyrrhinus helleri","NCBI_exact",TRUE,FALSE
"Platyrrhinus infuscus","NCBI_exact",TRUE,FALSE
"Platyrrhinus lineatus","GBIF_frozen_legacy_map",TRUE,FALSE
"Platyrrhinus vittatus","GBIF_frozen_legacy_map",TRUE,FALSE
"Pteronotus gymnonotus","NCBI_exact",TRUE,FALSE
"Pteronotus parnellii","GBIF_frozen_legacy_map",TRUE,FALSE
"Pteronotus personatus","NCBI_exact",TRUE,FALSE
"Pteropus alecto","NCBI_exact",TRUE,FALSE
"Pteropus conspicillatus","NCBI_exact",TRUE,FALSE
"Pteropus hypomelanus","NCBI_exact",TRUE,FALSE
"Pteropus lylei","NCBI_exact",TRUE,FALSE
"Pteropus mahaganus","NCBI_exact",TRUE,FALSE
"Pteropus neohibernicus","NCBI_exact",TRUE,FALSE
"Pteropus poliocephalus","NCBI_exact",TRUE,FALSE
"Pteropus samoensis","NCBI_exact",TRUE,FALSE
"Pteropus scapulatus","NCBI_exact",TRUE,FALSE
