Genus;Species;Location;Subject;Sex;Age;#insertions;Notes on insertions;#bouts;HI;AbsHI;z-score;Category;References;General notes;Clade
Ateles;geoffroyi;Universidad Veracruzana;Brutus;m;adult;100;NA;NA;0.98;0.98;9.7;right;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Ceijitas;m;adult;100;NA;NA;-1;1;-10.1;left;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Colin;m;adult;100;NA;NA;1;1;9.9;right;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Edgar;m;adult;100;NA;NA;-1;1;-10.1;left;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Lucas;m;adult;100;NA;NA;0.88;0.88;8.7;right;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Neri;m;adult;100;NA;NA;0.8;0.8;7.9;right;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Yayo;m;adult;100;NA;NA;-0.84;0.84;-8.5;left;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Basel;Bonita;f;adult;34;NA;8;-1;1;-5.830951895;left;this study;;Platyrrhini
Ateles;geoffroyi;Basel;Jetta;f;adult;32;NA;7;1;1;5.656854249;right;this study;;Platyrrhini
Ateles;geoffroyi;Basel;Quilimari;f;adult;44;NA;13;0.273;0.27;1.809068067;ambipreferent;this study;;Platyrrhini
Ateles;geoffroyi;Basel;Juanita;f;adult;83;NA;14;-1;1;-9.110433579;left;this study;;Platyrrhini
Ateles;geoffroyi;Basel;Orozco;m;juvenile;65;NA;29;1;1;8.062257748;right;this study;;Platyrrhini
Ateles;geoffroyi;Basel;Tica Tequila;f;adult;30;NA;11;1;1;5.477225575;right;this study;;Platyrrhini
Ateles;geoffroyi;Basel;Nestor;m;juvenile;42;NA;15;-0.952;0.95;-6.172133998;left;this study;;Platyrrhini
Ateles;geoffroyi;Karlsruhe;Asterix;m;adult;114;NA;30;-0.088;0.09;-0.936585812;ambipreferent;this study;;Platyrrhini
Ateles;geoffroyi;Karlsruhe;Hämpfeli;m;adult;100;NA;36;-0.24;0.24;-2.4;left;this study;;Platyrrhini
Ateles;hybridus;Doué la Fontaine;Gaby;f;adult;50;NA;13;-0.32;0.32;-2.2627417;left;this study;;Platyrrhini
Ateles;hybridus;Doué la Fontaine;Eliott;m;adult;38;NA;13;-1;1;-6.164414003;left;this study;;Platyrrhini
Ateles;hybridus;Doué la Fontaine;Pesy;f;adult;32;NA;7;-1;1;-5.656854249;left;this study;;Platyrrhini
Ateles;hybridus;Erfurt;Carlos;m;adult;35;NA;6;-1;1;-5.916079783;left;this study;;Platyrrhini
Ateles;hybridus;Erfurt;Salta;f;adult;36;NA;9;-1;1;-6;left;this study;;Platyrrhini
Ateles;hybridus;Erfurt;Isabo;f;adult;39;NA;23;-0.949;0.95;-5.924741691;left;this study;;Platyrrhini
