Species,measure_class,Measure,Units,Value,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,sex_scope,value_min,value_max
Dendrolagus matschiei,endocranial_volume,Endocranial_volume,mL,29.0,1,1,0,False,Seymour,secondary,unknown,29.0,29.0
Erythrocebus patas,endocranial_volume,Endocranial_volume,mL,97.73,1,1,1,True,Isler,primary,unknown,97.73,97.73
Eulemur albifrons,endocranial_volume,Endocranial_volume,mL,21.45,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,21.45,23.019
Eulemur albocollaris,endocranial_volume,Endocranial_volume,mL,22.1,1,1,1,True,Isler,primary,unknown,22.1,22.1
Eulemur collaris,endocranial_volume,Endocranial_volume,mL,22.885,1,1,0,False,Powell,secondary,both,22.885,22.885
Eulemur coronatus,endocranial_volume,Endocranial_volume,mL,20.65,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,19.784,20.65
Eulemur fulvus,endocranial_volume,Endocranial_volume,mL,25.77,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,24.658,25.77
Eulemur macaco,endocranial_volume,Endocranial_volume,mL,24.51,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,23.322,24.51
Eulemur mongoz,endocranial_volume,Endocranial_volume,mL,20.17,3,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,18.888,20.17
Eulemur rubriventer,endocranial_volume,Endocranial_volume,mL,26.23,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,23.913,26.23
Eulemur rufus,endocranial_volume,Endocranial_volume,mL,25.4,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,22.541,25.4
Eulemur sanfordi,endocranial_volume,Endocranial_volume,mL,21.667,1,1,0,False,Powell,secondary,both,21.667,21.667
Euoticus elegantulus,endocranial_volume,Endocranial_volume,mL,5.53,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,5.447,5.53
Euoticus pallidus,endocranial_volume,Endocranial_volume,mL,5.19,1,1,1,True,Isler,primary,unknown,5.19,5.19
Galago cameronensis,endocranial_volume,Endocranial_volume,mL,5.58,1,1,1,True,Isler,primary,unknown,5.58,5.58
Galago gabonensis,endocranial_volume,Endocranial_volume,mL,5.36,1,1,1,True,Isler,primary,unknown,5.36,5.36
Galago gallarum,endocranial_volume,Endocranial_volume,mL,4.32,1,1,0,False,Powell,secondary,both,4.32,4.32
Galago granti,endocranial_volume,Endocranial_volume,mL,4.07,1,1,1,True,Isler,primary,unknown,4.07,4.07
Galago matschiei,endocranial_volume,Endocranial_volume,mL,4.62,1,1,1,True,Isler,primary,unknown,4.62,4.62
Galago moholi,endocranial_volume,Endocranial_volume,mL,3.71,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,3.673,3.71
Galago orinus,endocranial_volume,Endocranial_volume,mL,2.64,1,1,1,True,Isler,primary,unknown,2.64,2.64
Galago senegalensis,endocranial_volume,Endocranial_volume,mL,3.96,3,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,3.952,5.0
Galago thomasi,endocranial_volume,Endocranial_volume,mL,3.12,1,1,1,True,Isler,primary,unknown,3.12,3.12
Galago zanzibaricus,endocranial_volume,Endocranial_volume,mL,3.51,1,1,1,True,Isler,primary,unknown,3.51,3.51
Galagoides demidoff,endocranial_volume,Endocranial_volume,mL,2.65,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,2.633,2.65
Galagoides granti,endocranial_volume,Endocranial_volume,mL,4.074,1,1,0,False,Powell,secondary,both,4.074,4.074
Galagoides thomasi,endocranial_volume,Endocranial_volume,mL,2.823,1,1,0,False,Powell,secondary,both,2.823,2.823
Galagoides zanzibaricus,endocranial_volume,Endocranial_volume,mL,4.129,1,1,0,False,Powell,secondary,both,4.129,4.129
Gorilla beringei,endocranial_volume,Endocranial_volume,mL,491.27,1,1,1,True,Isler,primary,unknown,491.27,491.27
Gorilla beringei,endocranial_volume,Endocranial_volume_female,mL,456.145,1,1,0,False,Powell,secondary,female,456.145,456.145
Gorilla gorilla,endocranial_volume,Endocranial_volume,mL,490.41,2,2,1,True,Isler; Seymour,primary; secondary,unknown,461.0,490.41
Gorilla gorilla,endocranial_volume,Endocranial_volume_female,mL,433.735,1,1,0,False,Powell,secondary,female,433.735,433.735
