Species,Species_printed,Measure,Units,Value,Source,first_author,Year,Team,role,source_of_value,upstream_team,reprint_of,sex_scope
Cercopithecus lhoesti,Cercopithecus_lhoesti,Endocranial_volume,mL,66.1272727272727,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus lowei,Cercopithecus lowei,Endocranial_volume,mL,55.64,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus mitis,Cercopithecus mitis,Endocranial_volume,mL,71.33,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus mitis,Cercopithecus_mitis,Endocranial_volume,mL,65.623209914992,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus mitis,Cercopithecus mitis,Endocranial_volume,mL,71.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Cercopithecus mona,Cercopithecus mona,Endocranial_volume,mL,61.84,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus mona,Cercopithecus_mona,Endocranial_volume,mL,56.5,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus neglectus,Cercopithecus neglectus,Endocranial_volume,mL,60.862,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Cercopithecus neglectus,Cercopithecus neglectus,Endocranial_volume,mL,65.97,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Pooled (this study and Verheyen 1962),,,unknown
Cercopithecus neglectus,Cercopithecus_neglectus,Endocranial_volume,mL,60.8617817271575,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Cercopithecus neglectus,Cercopithecus neglectus,Endocranial_volume,mL,65.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Cercopithecus nictitans,Cercopithecus nictitans,Endocranial_volume,mL,71.13,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus nictitans,Cercopithecus_nictitans,Endocranial_volume,mL,67.8298245614035,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus petaurista,Cercopithecus petaurista,Endocranial_volume,mL,55.08,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus petaurista,Cercopithecus petaurista,Endocranial_volume,mL,55.54,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus petaurista,Cercopithecus petaurista,Endocranial_volume,mL,53.93,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus petaurista,Cercopithecus_petaurista,Endocranial_volume,mL,52.7482902095439,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus pogonias,Cercopithecus pogonias,Endocranial_volume,mL,59.56,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus pogonias,Cercopithecus_pogonias,Endocranial_volume,mL,57.5936507936508,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus pogonias wolfi,Cercopithecus_pogonias_wolfi,Endocranial_volume,mL,53.5,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus preussi,Cercopithecus_preussi,Endocranial_volume,mL,62.8,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus wolfi,Cercopithecus wolfi,Endocranial_volume,mL,61.45,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Verheyen 1962,,,unknown
Cheirogaleus adipicaudatus,Cheirogaleus adipicaudatus,Endocranial_volume,mL,3.04,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cheirogaleus major,Cheirogaleus major,Endocranial_volume,mL,5.81,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cheirogaleus major,Cheirogaleus_major,Endocranial_volume,mL,5.64528416666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Cheirogaleus medius,Cheirogaleus medius,Endocranial_volume,mL,2.6,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cheirogaleus medius,Cheirogaleus_medius,Endocranial_volume,mL,2.54368421052632,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Cheirogaleus sibreei,Cheirogaleus sibreei,Endocranial_volume,mL,4.4,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Chiropotes albinasus,Chiropotes_albinasus,Endocranial_volume,mL,57.64,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Chiropotes chiropotes,Chiropotes chiropotes,Endocranial_volume,mL,57.04,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Chiropotes chiropotes,Chiropotes_chiropotes,Endocranial_volume,mL,54.8676963744485,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Chiropotes israelita,Chiropotes israelita,Endocranial_volume,mL,55.13,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Chiropotes satanas,Chiropotes satanas,Endocranial_volume,mL,48.33,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Chiropotes satanas,Chiropotes_satanas,Endocranial_volume,mL,49.4067838095238,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Chlorocebus aethiops,Chlorocebus aethiops,Endocranial_volume,mL,65.0,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,"Hopf and Claussen 1970 (fresh brain weights, wild animals from Eritrea)",,,unknown
Chlorocebus aethiops,Chlorocebus_aethiops,Endocranial_volume,mL,58.2469745350796,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Chlorocebus aethiops,Chlorocebus aethiops,Endocranial_volume,mL,67.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Chlorocebus pygerythrus,Chlorocebus pygerythrus,Endocranial_volume,mL,62.58,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Chlorocebus pygerythrus,Chlorocebus pygerythrus,Endocranial_volume,mL,63.69,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Chlorocebus pygerythrus,Chlorocebus pygerythrus,Endocranial_volume,mL,55.4,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Chlorocebus pygerythrus,Chlorocebus pygerythrus,Endocranial_volume,mL,64.64,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Chlorocebus pygerythrus,Chlorocebus pygerythrus,Endocranial_volume,mL,61.9,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Chlorocebus pygerythrus,Chlorocebus_pygerythrus,Endocranial_volume,mL,59.919952005599,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Chlorocebus sabaeus,Chlorocebus sabaeus,Endocranial_volume,mL,64.91,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Chlorocebus sabaeus,Chlorocebus_sabaeus,Endocranial_volume,mL,58.662812036859,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Colobus angolensis,Colobus angolensis,Endocranial_volume,mL,77.7,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Verheyen 1962,,,unknown
Colobus angolensis,Colobus_angolensis,Endocranial_volume,mL,72.3,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Colobus guereza,Colobus guereza,Endocranial_volume,mL,72.6,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Colobus guereza,Colobus guereza,Endocranial_volume,mL,74.39,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Colobus guereza,Colobus guereza,Endocranial_volume,mL,82.95,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Colobus guereza,Colobus guereza,Endocranial_volume,mL,74.44,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Colobus guereza,Colobus guereza,Endocranial_volume,mL,72.14,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Colobus guereza,Colobus_guereza,Endocranial_volume,mL,71.9998903387377,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Colobus polykomos,Colobus polykomos,Endocranial_volume,mL,73.83,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Colobus polykomos,Colobus_polykomos,Endocranial_volume,mL,70.9753035995873,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Colobus satanas,Colobus satanas,Endocranial_volume,mL,74.9,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Verheyen 1962,,,unknown
Colobus satanas,Colobus_satanas,Endocranial_volume,mL,71.8,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Colobus satanas,Colobus satanas,Endocranial_volume,mL,79.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Colobus vellerosus,Colobus vellerosus,Endocranial_volume,mL,73.07,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Colobus vellerosus,Colobus_vellerosus,Endocranial_volume,mL,70.6051957540316,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Daubentonia madagascariensis,Daubentonia madagascariensis,Endocranial_volume,mL,44.85,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Daubentonia madagascariensis,Daubentonia_madagascariensis,Endocranial_volume,mL,44.6996470540466,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,both
Dendrolagus dorianus,Dendrolagus dorianus,Endocranial_volume,mL,38.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Dendrolagus matschiei,Dendrolagus matschiei,Endocranial_volume,mL,29.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Erythrocebus patas,Erythrocebus patas,Endocranial_volume,mL,97.73,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Pooled (this study and Verheyen 1962),,,unknown
Erythrocebus patas,Erythrocebus_patas,Endocranial_volume,mL,87.5749442857143,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Eulemur albifrons,Eulemur albifrons,Endocranial_volume,mL,21.45,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Eulemur albifrons,Eulemur_albifrons,Endocranial_volume,mL,23.019452173913,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Eulemur albocollaris,Eulemur albocollaris,Endocranial_volume,mL,22.1,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Eulemur collaris,Eulemur_collaris,Endocranial_volume,mL,22.8852941176471,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Eulemur coronatus,Eulemur coronatus,Endocranial_volume,mL,19.2,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Eulemur coronatus,Eulemur coronatus,Endocranial_volume,mL,20.65,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Eulemur coronatus,Eulemur_coronatus,Endocranial_volume,mL,19.7837826666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Eulemur fulvus,Eulemur fulvus,Endocranial_volume,mL,25.77,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Eulemur fulvus,Eulemur_fulvus,Endocranial_volume,mL,24.6577336055855,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Eulemur macaco,Eulemur macaco,Endocranial_volume,mL,22.7,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Eulemur macaco,Eulemur macaco,Endocranial_volume,mL,24.51,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Eulemur macaco,Eulemur_macaco,Endocranial_volume,mL,23.3224391304348,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Eulemur mongoz,Eulemur mongoz,Endocranial_volume,mL,20.17,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Eulemur mongoz,Eulemur_mongoz,Endocranial_volume,mL,18.8878966666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Eulemur mongoz,Eulemur mongoz,Endocranial_volume,mL,20.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Eulemur rubriventer,Eulemur rubriventer,Endocranial_volume,mL,26.23,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Eulemur rubriventer,Eulemur_rubriventer,Endocranial_volume,mL,23.9129237560405,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Eulemur rufus,Eulemur rufus,Endocranial_volume,mL,25.4,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Eulemur rufus,Eulemur_rufus,Endocranial_volume,mL,22.5407023529412,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Eulemur sanfordi,Eulemur_sanfordi,Endocranial_volume,mL,21.6666666666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Euoticus elegantulus,Euoticus elegantulus,Endocranial_volume,mL,5.53,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Euoticus elegantulus,Euoticus_elegantulus,Endocranial_volume,mL,5.44724303703704,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Euoticus pallidus,Euoticus pallidus,Endocranial_volume,mL,5.19,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Euoticus pallidus,Euoticus_pallidus,Endocranial_volume,mL,5.18567511111111,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,both
Galago cameronensis,Galago cameronensis,Endocranial_volume,mL,5.58,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Galago gabonensis,Galago gabonensis,Endocranial_volume,mL,5.36,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Galago gallarum,Galago_gallarum,Endocranial_volume,mL,4.32,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Galago granti,Galago granti,Endocranial_volume,mL,4.07,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Galago matschiei,Galago matschiei,Endocranial_volume,mL,4.62,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Galago moholi,Galago moholi,Endocranial_volume,mL,3.71,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Galago moholi,Galago_moholi,Endocranial_volume,mL,3.67314438452334,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Galago orinus,Galago orinus,Endocranial_volume,mL,2.64,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Galago senegalensis,Galago senegalensis,Endocranial_volume,mL,3.96,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Galago senegalensis,Galago_senegalensis,Endocranial_volume,mL,3.95153820382861,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Galago senegalensis,Galago senegalensis,Endocranial_volume,mL,5.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Galago thomasi,Galago thomasi,Endocranial_volume,mL,3.12,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Galago zanzibaricus,Galago zanzibaricus,Endocranial_volume,mL,3.51,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Galagoides demidoff,Galago demidoff,Endocranial_volume,mL,2.65,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Galagoides demidoff,Galagoides_demidovii,Endocranial_volume,mL,2.63338838565995,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Galagoides granti,Galagoides_granti,Endocranial_volume,mL,4.073808,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Galagoides thomasi,Galagoides_thomasi,Endocranial_volume,mL,2.82251383333333,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Galagoides zanzibaricus,Galagoides_zanzibaricus,Endocranial_volume,mL,4.1287945,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Gorilla beringei,Gorilla beringei,Endocranial_volume,mL,491.27,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Gorilla beringei,Gorilla_beringei,Endocranial_volume,mL,456.14506,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Gorilla gorilla,Gorilla gorilla,Endocranial_volume,mL,433.735,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Gorilla gorilla,Gorilla gorilla,Endocranial_volume,mL,434.4,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Gorilla gorilla,Gorilla gorilla,Endocranial_volume,mL,490.41,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Gorilla gorilla,Gorilla_gorilla,Endocranial_volume,mL,433.735294117647,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Gorilla gorilla,Gorilla gorilla,Endocranial_volume,mL,461.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Hapalemur alaotrensis,Hapalemur alaotrensis,Endocranial_volume,mL,13.8,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Hapalemur alaotrensis,Hapalemur_alaotrensis,Endocranial_volume,mL,14.5,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Hapalemur griseus,Hapalemur griseus,Endocranial_volume,mL,13.7,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Hapalemur griseus,Hapalemur griseus,Endocranial_volume,mL,14.09,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Hapalemur griseus,Hapalemur_griseus,Endocranial_volume,mL,13.7754512195122,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Hapalemur occidentalis,Hapalemur occidentalis,Endocranial_volume,mL,14.2,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Hapalemur occidentalis,Hapalemur_occidentalis,Endocranial_volume,mL,13.75,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Hemibelideus lemuroides,Hemibelideus lemuroides,Endocranial_volume,mL,3.35,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Homo sapiens,Homo sapiens,Endocranial_volume,mL,1253.3,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Bienvenu, T., Guy, F., Coudyzer, W., Gilissen, E., Roualdès, G., Vignaud, P., & Brunet, M. (2011). Assessing endocranial variations in great apes and humans using 3D data from virtual endocasts. American journal of physical anthropology, 145(2), 231-246.",,,female
Homo sapiens,Homo sapiens,Endocranial_volume,mL,1212.7,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,,Isler; Powell,female
Homo sapiens,Homo sapiens,Endocranial_volume,mL,1186.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Hoolock hoolock,Hoolock_hoolock,Endocranial_volume,mL,108.316400827117,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Hylobates agilis,Hylobates agilis,Endocranial_volume,mL,91.16,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Pooled (this study and Hrdlicka 1925),,,unknown
Hylobates agilis,Hylobates_agilis,Endocranial_volume,mL,95.9407407407408,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Hylobates agilis,Hylobates agilis,Endocranial_volume,mL,115.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Hylobates albibarbis,Hylobates_albibarbis,Endocranial_volume,mL,84.35,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Hylobates klossii,Hylobates klossii,Endocranial_volume,mL,87.99,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Hylobates klossii,Hylobates_klossii,Endocranial_volume,mL,87.5534865,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Hylobates lar,Hylobates lar,Endocranial_volume,mL,101.378,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Hylobates lar,Hylobates lar,Endocranial_volume,mL,101.87,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Hylobates lar,Hylobates lar,Endocranial_volume,mL,101.87,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Hylobates lar,Hylobates lar,Endocranial_volume,mL,103.32,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Hylobates lar,Hylobates_lar,Endocranial_volume,mL,101.377598667329,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Hylobates lar,Hylobates lar,Endocranial_volume,mL,102.5,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Hylobates moloch,Hylobates moloch,Endocranial_volume,mL,93.469,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Hylobates moloch,Hylobates_moloch,Endocranial_volume,mL,93.4692307692308,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Hylobates muelleri,Hylobates muelleri,Endocranial_volume,mL,85.13,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Hylobates muelleri,Hylobates_muelleri,Endocranial_volume,mL,95.3568023903405,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Hylobates pileatus,Hylobates pileatus,Endocranial_volume,mL,90.5,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Hylobates pileatus,Hylobates pileatus,Endocranial_volume,mL,84.69,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
