Species,Brain_Mass_excl_olfactory_bulb.g,Brain_Mass_mass_or_volume.g,Brain_Mass_measured.g,Brain_size_sum_of_structures.g
Bettongia penicillata,,9.9042,9.6,
Bettongia tropica,,8.92,,
Bison bison,,458.0,,
Blarina brevicauda,0.347,0.3144,0.39,
Bos grunniens,,334.0,,
Bos taurus,,486.0,498.0,
Bos taurus indicus,,,462.0,
Boselaphus tragocamelus,,271.75,,
Brachyphylla cavernarum,,1.278,1.1795,
Brachyteles arachnoides,,119.4,,
Bradypus tridactylus,,24.9,,
Bradypus variegatus,,16.0333,,
Bunopithecus hoolock,,110.6804,,
Burramys parvus,,1.0,,
Cabassous unicinctus,,23.68,,
Cacajao calvus,,74.3,,
Cacajao melanocephalus,,64.9,,
Cacatua galerita,,,10.1307,
Cacatua goffini,,,8.2749,
Caenolestes fuliginosus,,0.68,,
Caenolestes obscurus,,,0.979,
Callicebus caligatus,,17.25,,
Callicebus cupreus,,17.1,,
Callicebus discolor,,17.5288,,
Callicebus lugens,,18.9725,,
Callicebus medemi,,19.4359,,
Callicebus moloch,,19.0,17.25,
Callicebus regulus,,23.0,,
Callicebus torquatus,,19.1,,
Callimico goeldii,,11.2,11.0,
Callithrix argentata,,8.0,,
Callithrix aurita,,7.2,,
Callithrix geoffroyi,,19.9,,
Callithrix humeralifera,,8.2,,
Callithrix jacchus,7.78,7.7318,7.1899,
Callithrix penicillata,,7.65,,
Callithrix pygmaea,,4.64,4.2471,
Callithrix sp.,,7.78,7.5,
Callorhinus ursinus,,334.8333,328.6,
Callosciurus caniceps,,6.02,,
Callosciurus nigrovittatus,,4.44,,
Callosciurus notatus,,4.91,,
Callosciurus prevostii,,6.52,,
Caluromys derbianus,,3.5224,,
Caluromys lanatus,,3.1,4.6967,
Caluromys philander,,3.626,,
Camelus bactrianus,,575.0,,
Camelus dromedarius,,762.0,762.0,
Canis adustus,,50.8,,
Canis aureus,,72.2,,
Canis latrans,,84.5,86.235,
Canis lupus,,130.0,111.5267,
Canis lupus familiaris,,,58.6839,
Canis mesomelas,,54.8,,
Capra hircus,,115.0,105.0,
Capra hircus domestica,,,106.0,
Capreolus capreolus,,92.7,,
Caracal caracal,,51.9,55.3,
Cardioderma cor,,0.6725,0.6768,
Carollia castanea,,0.4485,0.4436,
Carollia perspicillata,,0.47,0.52,
Casinycteris argynnis,,0.92,0.8438,
Castor canadensis,,52.21,41.1683,
Castor fiber,,44.978,,
Catopuma temminckii,,68.03,,
Cavia aperea,,4.035,,
Cavia cobaya f.d.,,,3.78,
Cavia porcellus,3.656,4.2447,4.0,
Cebus albifrons,,62.95,75.0333,
Cebus capucinus,,70.135,,
Cebus libidinosus,,64.6854,,
Cebus nigritus,,59.858,,
Cebus olivaceus,,72.5,,
Cebus xanthosternos,,66.0874,,
Cephalophus dorsalis,,92.897,,
Cephalophus leucogaster,,93.0,,
Cephalophus natalensis,,84.1,,
Cephalophus nigrifrons,,85.0,,
Cephalophus silvicultor,,170.0,,
Cephalophus zebra,,83.0,,
Cephalorhynchus commersonii,,725.0,,
Cephalorhynchus heavisidii,,763.0,,
Ceratotherium simum,,643.0,,
Cercartetus caudatus,,0.71,,
Cercartetus concinnus,,0.3108,,
Cercartetus lepidus,,0.373,,
