Species,Brain_Mass_excl_olfactory_bulb.g,Brain_Mass_mass_or_volume.g,Brain_Mass_measured.g,Brain_size_sum_of_structures.g
Chlorotalpa leucorhina,,,0.52,
Choeroniscus godmani,,0.34,0.34,
Choeroniscus minor,,0.389,0.389,
Choloepus didactylus,,28.2,36.0,
Choloepus hoffmanni,,24.535,,
Chrotopterus auritus,,1.74,,
Chrysochloris asiatica,,0.7,0.7,
Chrysochloris stuhlmanni,,1.055,0.74,
Chrysocyon brachyurus,,120.3,,
Civettictis civetta,,37.0,,
Clethrionomys gapperi,,0.56,,
Clethrionomys glareolus,,0.52,0.54,
Clethrionomys rufocanus,,0.61,,
Clethrionomys rutilus,,0.56,,
Clyomys laticeps,,3.52,,
Coendou prehensilis,,16.73,,
Coendou rothschildi,,20.85,,
Coleura afra,,0.2585,0.259,
Colobus angolensis,,74.4,74.4,
Colobus guereza,,83.9,,
Colobus polykomos,,70.2,,
Colobus satanas,,74.9,,
Colobus sp.,,81.2,,
Colobus vellerosus,,73.0708,,
Colomys goslingi,,,1.351,
Columba livia,,,2.0951,
Condylura cristata,0.802,1.086,1.077,
Conepatus chinga,,18.7,,
Conepatus humboldtii,,12.6,,
Conepatus leuconotus,,14.4,,
Connochaetes taurinus,,443.0,,
Cormura brevirostris,,0.219,0.2193,
Corvus corax,,,14.1351,
Corvus frugilegus,,,8.3571,
Corvus mondeula,,,6.0233,
Craseonycteris thonglongyai,,0.087,0.0855,
Cratogeomys fumosus,,4.19,,
Cremnomys cutchicus,,1.67,,
Cricetomys gambianus,,6.57,,
Cricetulus barabensis,,0.6699,,
Cricetus cricetus,,2.2,,
Crocidura attenuata,,,0.209,
Crocidura flavescens,,,0.44,
Crocidura fuscomurina,,0.13,,
Crocidura hildegardeae,,,0.215,
Crocidura jacksoni,,,0.25,
Crocidura russala,,,0.19,
Crocidura russula,,0.19,0.19,
Crocidura suaveolens,,,0.189,
Crocuta crocuta,,175.0,153.2675,
Crossarchus obscurus,,9.99,,
Cryptomys hottentotus,,1.17,,0.85
Cryptomys hottentotus natalensis,,,,1.24
Cryptomys hottentotus pretoriae,,,,1.35
Cryptoprocta ferox,,32.1,,
Cryptotis parva,,0.12,0.165,
Cuniculus paca,,35.22,,
Cuon alpinus,,94.6,,
Cyanopica cyanus,,,3.3927,
Cyclopes didactylus,,4.29,,
Cynictis penicillata,,10.5,12.51,
Cynocephalus sp.,,120.6667,,
Cynocephalus volans,,,6.2,
Cynocephlus sp.,,130.0,,
Cynogale bennettii,,29.96,,
Cynomops abrasus,,0.418,,
Cynomops greenhalli,,0.3,,
Cynomops planirostris,,0.185,,
Cynomys gunnisoni,,5.16,,
Cynomys leucurus,,5.69,,
Cynomys ludovicianus,,6.01,,
Cynomys mexicanus,,5.525,,
Cynomys parvidens,,5.58,,
Cynomys sp.,5.321,,,
Cynopterus brachyotis,,0.88,1.07,
Cynopterus horsfieldi,,1.23,1.3867,
Cynopterus horsfieldii,,1.3495,,
Cynopterus sphinx,,1.061,,
Cynopterus sphinx sphinx,,,1.2417,
Cystophora cristata,,455.0,,
Cyttarops alecto,,0.175,0.175,
Dactylopsila palpator,,6.91,,
Dactylopsila tatei,,4.45,,
Dactylopsila trivirgata,,6.0399,,
Dama dama,,224.5,,
Damaliscus lunatus,,290.6,,
Damaliscus pygargus,,254.6,,
Damaliscus pygargus phillipsi,154.805,,,
Dasycercus byrnei,,1.554,,
Dasycercus cristicauda,,1.24,,
Dasykaluta rosamondae,,0.54,,
Dasyprocta leporina,,21.26,17.2,
Dasyprocta prymnolopha,17.628,,,
Dasyprocta punctata,,18.34,,
Dasypus novemcinctus,,8.5,9.77,
Dasypus sp.,,,19.0,
Dasyuroides byrnei,,1.5,,
Dasyurus albopunctatus,,3.79,,
Dasyurus geoffroii,,5.17,,
Dasyurus hallucatus,,3.5017,4.666,
Dasyurus maculatus,,9.41,,
Dasyurus quoll,,,6.9267,
Dasyurus spartacus,,5.3,,
Dasyurus viverrinus,,5.33,,
Daubentonia madagascariensis,,45.15,45.15,
Delphinapterus leucas,,1921.0,2083.0,
Delphinus delphis,,797.2609,873.0,
Dendrohyrax arboreus,,12.3,18.42,
Dendrohyrax dorsalis,12.8,,,
Dendrohyrax sp.,,3.328,,
Dendrolagus bennettianus,,18.5,,
Dendrolagus dorianus,,33.4628,,
