"Species","n_bases","Brain_Mass_excl_olfactory_bulb","Brain_Mass_from_volume_or_ecv","Brain_Mass_mass_or_volume","Brain_Mass_measured","Brain_size_sum_of_structures","ratio_max_over_min","flag"
"Rhinolophus hipposideros",2,"","","0.1923","0.135","",1.424,""
"Rhinolophus landeri",2,"","","0.276","0.27","",1.022,""
"Rhinolophus lepidus",2,"","","0.1883","0.182","",1.035,""
"Rhinolophus luctus",2,"","","0.5905","0.6207","",1.051,""
"Rhinolophus macrotis",2,"","","0.208","0.2095","",1.007,""
"Rhinolophus malayanus",2,"","","0.202","0.202","",1,""
"Rhinolophus megaphyllus",2,"","","0.2605","0.261","",1.002,""
"Rhinolophus paradoxolophus",2,"","","0.267","0.267","",1,""
"Rhinolophus pusillus",2,"","","0.164","0.1637","",1.002,""
"Rhinolophus trifoliatus",2,"","","0.351","0.355","",1.011,""
"Rhinolophus yunanensis",2,"","","0.439","0.4385","",1.001,""
"Rhinophylla pumilio",2,"","","0.356","0.3343","",1.065,""
"Rhogeessa parvula",2,"","","0.111","0.1173","",1.057,""
"Rhynchocyon cirnei",2,"","","5.9","6.1","",1.034,""
"Rhynchonycteris naso",2,"","","0.11","0.121","",1.1,""
"Rousettus aegyptiacus",2,"","","2.2608","2.246","",1.007,""
"Rousettus amplexicaudatus",2,"","","1.6273","1.3583","",1.198,""
"Saccopteryx bilineata",2,"","","0.2226","0.2325","",1.044,""
"Saccopteryx canescens",2,"","","0.13","0.13","",1,""
"Saccopteryx leptura",2,"","","0.1605","0.1607","",1.001,""
"Saguinus geoffroyi",2,"","","15.0251","10.5","",1.431,""
"Saguinus midas",2,"","","10.042","10.3","",1.026,""
"Saguinus mystax",2,"","","11.1","10.1","",1.099,""
"Saguinus oedipus",2,"","","9.6419","9.7463","",1.011,""
"Saimiri boliviensis",2,"","","24.0733","25.5","",1.059,""
"Saimiri sciureus",3,"30.216","","30.216","22.2173","",1.36,""
"Sapajus apella",2,"52.208","","52.508","","",1.006,""
"Sarcophilus harrisii",2,"","","16.09","15.29","",1.052,""
"Scalopus aquaticus",3,"0.999","","0.999","0.57","",1.753,""
"Sciurus carolinensis",3,"5.548","","7.41","5.817","",1.336,""
"Sciurus vulgaris",2,"","","5.9275","5.65","",1.049,""
"Scotomanes ornatus",2,"","","0.384","0.384","",1,""
