"Species","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Philander opossum",3,1,3.83,NA,"","Burger2019(Burger,secondary)=3.83 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Philantomba maxwellii",3,1,38,NA,"","Burger2019(Burger,secondary)=38 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Philantomba monticola",3,1,48,NA,"","Burger2019(Burger,secondary)=48 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Phoca largha",3,1,253.75,NA,"","Burger2019(Burger,secondary)=253.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Phoca sp.",3,1,187,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Brodmann1913(Brodmann,primary)=187"
"Phocarctos hookeri",3,1,393.75,NA,"","Burger2019(Burger,secondary)=393.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Phocoena spinipinnis",3,1,597,NA,"","Burger2019(Burger,secondary)=597 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Phocoenoides dalli",3,1,833.67,NA,"","Burger2019(Burger,secondary)=833.67 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Phoniscus atrox",3,1,0.188,NA,"","Burger2019(Burger,secondary)=0.19 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Phylloderma stenops",3,1,1.338,NA,"","Burger2019(Burger,secondary)=1.34 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Phyllostomus discolor",3,1,1.1013,NA,"","Burger2019(Burger,secondary)=1.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Phyllostomus elongatus",3,1,0.885,NA,"","Burger2019(Burger,secondary)=0.88 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Phyllostomus hastatus",3,1,1.5317,NA,"","Burger2019(Burger,secondary)=1.53 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Physeter catodon",3,1,8183,NA,"","Burger2019(Burger,secondary)=8183 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pica pica",3,1,5.4253,NA,"","Olkowicz2016(Olkowicz,primary)=5.43 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Piliocolobus kirkii",3,1,57.25,NA,"","Burger2019(Burger,secondary)=57.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Piliocolobus tephrosceles",3,1,70.9519,NA,"","Burger2019(Burger,secondary)=70.95 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pipistrellus ceylonicus",3,1,0.182,NA,"","Burger2019(Burger,secondary)=0.18 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pipistrellus coromandra",3,1,0.105,NA,"","Burger2019(Burger,secondary)=0.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pipistrellus javanicus",3,1,0.119,NA,"","Burger2019(Burger,secondary)=0.12 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pipistrellus kuhlii",3,1,0.166,NA,"","Burger2019(Burger,secondary)=0.17 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pipistrellus papuanus",3,1,0.11,NA,"","Burger2019(Burger,secondary)=0.11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pipistrellus subflavus",3,1,0.125,NA,"","Burger2019(Burger,secondary)=0.12 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pipistrellus tenuis",3,1,0.113,NA,"","Burger2019(Burger,secondary)=0.11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pith VIII /Sangiran 17",3,1,949.01,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=949.01"
"Pithecia irrorata",3,1,39.5,NA,"","Burger2019(Burger,secondary)=39.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Planigale gilesi",3,1,0.17,NA,"","Burger2019(Burger,secondary)=0.17 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Planigale ingrami",3,1,0.15,NA,"","Burger2019(Burger,secondary)=0.15 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Planigale maculata",3,1,0.2,NA,"","Burger2019(Burger,secondary)=0.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Planigale novaeguineae",3,1,0.27,NA,"","Burger2019(Burger,secondary)=0.27 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Planigale tenuirostris",3,1,0.14,NA,"","Burger2019(Burger,secondary)=0.14 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Platanista gangetica",3,1,290.5,NA,"","Burger2019(Burger,secondary)=290.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Platycercus eximius",3,1,2.7159,NA,"","Olkowicz2016(Olkowicz,primary)=2.72 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Platyrrhinus brachycephalus",3,1,0.583,NA,"","Burger2019(Burger,secondary)=0.58 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Platyrrhinus helleri",3,1,0.4897,NA,"","Burger2019(Burger,secondary)=0.49 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Platyrrhinus infuscus",3,1,1.11,NA,"","Burger2019(Burger,secondary)=1.11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Platyrrhinus lineatus",3,1,0.741,NA,"","Burger2019(Burger,secondary)=0.74 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Platyrrhinus vittatus",3,1,1.175,NA,"","Burger2019(Burger,secondary)=1.18 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Plecotus auritus",3,1,0.238,NA,"","Burger2019(Burger,secondary)=0.24 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Podomys floridanus",3,1,0.94,NA,"","Burger2019(Burger,secondary)=0.94 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Poecilogale albinucha",3,1,4.5,NA,"","Burger2019(Burger,secondary)=4.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pogonomys macrourus",3,1,1.43,NA,"","Burger2019(Burger,secondary)=1.43 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pogonomys sylvestris",3,1,1.13,NA,"","Burger2019(Burger,secondary)=1.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pongo",3,1,433.13,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | Weaver2001(Weaver,primary)=433.13"
"Potamochoerus porcus",3,1,138,NA,"","Burger2019(Burger,secondary)=138 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Potorous platyops",3,1,6.3,NA,"","Burger2019(Burger,secondary)=6.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Potorous tridactylus",3,1,9.53,NA,"","Burger2019(Burger,secondary)=9.53 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Potos flavus",3,1,33.08,NA,"","Burger2019(Burger,secondary)=33.08 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Praomys daltoni",3,1,0.68,NA,"","Burger2019(Burger,secondary)=0.68 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Praomys morio",3,1,0.84,NA,"","Burger2019(Burger,secondary)=0.84 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Praomys tullbergi",3,1,0.86,NA,"","Burger2019(Burger,secondary)=0.86 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis chrysomelas",3,1,72.1121,NA,"","Burger2019(Burger,secondary)=72.11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis comata",3,1,80.3,NA,"","Burger2019(Burger,secondary)=80.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis femoralis",3,1,73.7357,NA,"","Burger2019(Burger,secondary)=73.74 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis frontata",3,1,81.0169,NA,"","Burger2019(Burger,secondary)=81.02 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis hosei",3,1,60,NA,"","Burger2019(Burger,secondary)=60 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis melalophos",3,1,59.2,NA,"","Burger2019(Burger,secondary)=59.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis natunae",3,1,57.19,NA,"","Burger2019(Burger,secondary)=57.19 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis potenziani",3,1,57,NA,"","Burger2019(Burger,secondary)=57 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis rubicunda",3,1,71.0151,NA,"","Burger2019(Burger,secondary)=71.02 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis siamensis",3,1,60.9421,NA,"","Burger2019(Burger,secondary)=60.94 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Presbytis thomasi",3,1,72.9324,NA,"","Burger2019(Burger,secondary)=72.93 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Priodontes maximus",3,1,81,NA,"","Burger2019(Burger,secondary)=81 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Prionailurus bengalensis",3,1,29.37,NA,"","Burger2019(Burger,secondary)=29.37 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Prionailurus planiceps",3,1,21.98,NA,"","Burger2019(Burger,secondary)=21.98 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Prionailurus rubiginosus",3,1,18.92,NA,"","Burger2019(Burger,secondary)=18.92 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Prionailurus viverrinus",3,1,46.53,NA,"","Burger2019(Burger,secondary)=46.53 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Prionodon linsang",3,1,8.5,NA,"","Burger2019(Burger,secondary)=8.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Prionodon pardicolor",3,1,9.03,NA,"","Burger2019(Burger,secondary)=9.03 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Procavia sp.",3,1,4.317,NA,"","HerculanoHouzel2015(HerculanoHouzel,secondary)=4.32 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Procolobus verus",3,1,52.6004,NA,"","Burger2019(Burger,secondary)=52.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Procyon cancrivorus",3,1,61.56,NA,"","Burger2019(Burger,secondary)=61.56 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Proechimys brevicauda",3,1,2.95,NA,"","Burger2019(Burger,secondary)=2.95 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Proechimys guyannensis",3,1,2.078,NA,"","HerculanoHouzel2015(HerculanoHouzel,secondary)=2.08 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Proechimys semispinosus",3,1,6.87,NA,"","Burger2019(Burger,secondary)=6.87 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Profelis aurata",3,1,57.97,NA,"","Burger2019(Burger,secondary)=57.97 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Prolemur simus",3,1,27.1449,NA,"","Burger2019(Burger,secondary)=27.14 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Propithecus coquereli",3,1,30.1941,NA,"","Burger2019(Burger,secondary)=30.19 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Propithecus deckenii",3,1,30.1512,NA,"","Burger2019(Burger,secondary)=30.15 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Propithecus diadema",3,1,39.7993,NA,"","Burger2019(Burger,secondary)=39.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Propithecus edwardsi",3,1,39.5,NA,"","Burger2019(Burger,secondary)=39.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Proteles cristata",3,1,35.2,NA,"","Burger2019(Burger,secondary)=35.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Protoxerus stangeri",3,1,11.33,NA,"","Burger2019(Burger,secondary)=11.33 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Psammomys obesus",3,1,1.3,NA,"","Burger2019(Burger,secondary)=1.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudantechinus bilarni",3,1,0.65,NA,"","Burger2019(Burger,secondary)=0.65 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudantechinus macdonnellensis",3,1,0.49,NA,"","Burger2019(Burger,secondary)=0.49 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudantechinus roryi",3,1,0.42,NA,"","Burger2019(Burger,secondary)=0.42 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudocheirus peregrinus",3,1,4.52,NA,"","Burger2019(Burger,secondary)=4.52 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirops albertisii",3,1,4.68,NA,"","Burger2019(Burger,secondary)=4.68 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirops archeri",3,1,5.87,NA,"","Burger2019(Burger,secondary)=5.87 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirops corinnae",3,1,5.36,NA,"","Burger2019(Burger,secondary)=5.36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirops coronatus",3,1,5.13,NA,"","Burger2019(Burger,secondary)=5.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirops cupreus",3,1,7.54,NA,"","Burger2019(Burger,secondary)=7.54 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirulus canescens",3,1,1.8,NA,"","Burger2019(Burger,secondary)=1.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirulus caroli",3,1,3.2,NA,"","Burger2019(Burger,secondary)=3.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirulus forbesi",3,1,3.36,NA,"","Burger2019(Burger,secondary)=3.36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirulus herbertensis",3,1,4.32,NA,"","Burger2019(Burger,secondary)=4.32 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirulus mayeri",3,1,2.01,NA,"","Burger2019(Burger,secondary)=2.01 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudochirulus schlegeli",3,1,2.8,NA,"","Burger2019(Burger,secondary)=2.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudomys australis",3,1,1.16,NA,"","Burger2019(Burger,secondary)=1.16 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pseudomys hermannsburgensis",3,1,1.08,NA,"","Burger2019(Burger,secondary)=1.08 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Psittacula eupatria",3,1,5.6994,NA,"","Olkowicz2016(Olkowicz,primary)=5.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Psittacus erithacus",3,1,8.8273,NA,"","Olkowicz2016(Olkowicz,primary)=8.83 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteromyscus pulverulentus",3,1,3.55,NA,"","Burger2019(Burger,secondary)=3.55 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteronotus davyi",3,1,0.32,NA,"","Burger2019(Burger,secondary)=0.32 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteronotus gymnonotus",3,1,0.343,NA,"","Burger2019(Burger,secondary)=0.34 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteronotus parnellii",3,1,0.5315,NA,"","Burger2019(Burger,secondary)=0.53 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteronotus personatus",3,1,0.234,NA,"","Burger2019(Burger,secondary)=0.23 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteronura brasiliensis",3,1,85.6,NA,"","Burger2019(Burger,secondary)=85.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus alecto",3,1,7.0397,NA,"","Burger2019(Burger,secondary)=7.04 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus conspicillatus",3,1,8.35,NA,"","Burger2019(Burger,secondary)=8.35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus hypomelanus",3,1,5.302,NA,"","Burger2019(Burger,secondary)=5.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus lylei",3,1,6.1297,NA,"","Burger2019(Burger,secondary)=6.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus macrotis",3,1,6.1297,NA,"","Burger2019(Burger,secondary)=6.13 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus mahaganus",3,1,5.28,NA,"","Burger2019(Burger,secondary)=5.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus melanotus",3,1,10.6,NA,"","Burger2019(Burger,secondary)=10.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus neohibernicus",3,1,9.114,NA,"","Burger2019(Burger,secondary)=9.11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus rufus",3,1,7.25,NA,"","Burger2019(Burger,secondary)=7.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus samoensis",3,1,5.792,NA,"","Burger2019(Burger,secondary)=5.79 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus scapulatus",3,1,5.36,NA,"","Burger2019(Burger,secondary)=5.36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus temminckii",3,1,4.89,NA,"","Burger2019(Burger,secondary)=4.89 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus tonganus",3,1,6.075,NA,"","Burger2019(Burger,secondary)=6.08 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pteropus vampyrus",3,1,9.654,NA,"","Burger2019(Burger,secondary)=9.65 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Puma concolor",3,1,154,NA,"","Burger2019(Burger,secondary)=154 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Puma yagouaroundi",3,1,40.9,NA,"","Burger2019(Burger,secondary)=40.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pusa caspica",3,1,162.5,NA,"","Burger2019(Burger,secondary)=162.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pusa hispida",3,1,196.25,NA,"","Burger2019(Burger,secondary)=196.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pusa sibirica",3,1,187.5,NA,"","Burger2019(Burger,secondary)=187.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Pygathrix nigripes",3,1,82.7476,NA,"","Burger2019(Burger,secondary)=82.75 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Raphicerus campestris",3,1,51.3,NA,"","Burger2019(Burger,secondary)=51.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Raphicerus melanotis",3,1,55,NA,"","Burger2019(Burger,secondary)=55 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rattus exulans",3,1,0.89,NA,"","Burger2019(Burger,secondary)=0.89 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rattus fuscipes",3,1,1.69,NA,"","Burger2019(Burger,secondary)=1.69 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rattus lutreolus",3,1,1.64,NA,"","Burger2019(Burger,secondary)=1.64 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rattus morotaiensis",3,1,1.92,NA,"","Burger2019(Burger,secondary)=1.92 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rattus niobe",3,1,1.1,NA,"","Burger2019(Burger,secondary)=1.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rattus nitidus",3,1,1.7,NA,"","Burger2019(Burger,secondary)=1.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rattus sordidus",3,1,1.7,NA,"","Burger2019(Burger,secondary)=1.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rattus sp.",3,1,1.79,NA,"","Finlay2006(Finlay,primary)=1.79 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rattus tunneyi",3,1,1.41,NA,"","Burger2019(Burger,secondary)=1.41 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rattus verecundus",3,1,1.48,NA,"","Burger2019(Burger,secondary)=1.48 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ratufa affinis",3,1,9.85,NA,"","Burger2019(Burger,secondary)=9.85 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ratufa bicolor",3,1,11.01,NA,"","Burger2019(Burger,secondary)=11.01 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ratufa indica",3,1,11.4,NA,"","Burger2019(Burger,secondary)=11.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Redunca arundinum",3,1,136.8,NA,"","Burger2019(Burger,secondary)=136.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Redunca fulvorufula",3,1,109,NA,"","Burger2019(Burger,secondary)=109 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Redunca redunca",3,1,123,NA,"","Burger2019(Burger,secondary)=123 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Regulus regulus",3,1,0.3566,NA,"","Olkowicz2016(Olkowicz,primary)=0.36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Reithrodontomys megalotis",3,1,0.4,NA,"","Burger2019(Burger,secondary)=0.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhabdomys pumilio",3,1,0.69,NA,"","Burger2019(Burger,secondary)=0.69 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinoceros unicornis",3,1,786,NA,"","Burger2019(Burger,secondary)=786 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus acuminatus",3,1,0.302,NA,"","Burger2019(Burger,secondary)=0.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus affinis",3,1,0.3475,NA,"","Burger2019(Burger,secondary)=0.35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus capensis",3,1,0.256,NA,"","Burger2019(Burger,secondary)=0.26 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus clivosus",3,1,0.242,NA,"","Burger2019(Burger,secondary)=0.24 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus coelophyllus",3,1,0.259,NA,"","Burger2019(Burger,secondary)=0.26 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus cornutus",3,1,0.194,NA,"","Burger2019(Burger,secondary)=0.19 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus eloquens",3,1,0.4045,NA,"","Burger2019(Burger,secondary)=0.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus ferrumequinum",3,1,0.35,NA,"","Burger2019(Burger,secondary)=0.35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus hildebrandtii",3,1,0.63,NA,"","Burger2019(Burger,secondary)=0.63 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus hipposideros",3,1,0.1495,NA,"","Burger2019(Burger,secondary)=0.15 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus landeri",3,1,0.276,NA,"","Burger2019(Burger,secondary)=0.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus lepidus",3,1,0.1883,NA,"","Burger2019(Burger,secondary)=0.19 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus luctus",3,1,0.5905,NA,"","Burger2019(Burger,secondary)=0.59 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus macrotis",3,1,0.208,NA,"","Burger2019(Burger,secondary)=0.21 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus malayanus",3,1,0.202,NA,"","Burger2019(Burger,secondary)=0.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus megaphyllus",3,1,0.2605,NA,"","Burger2019(Burger,secondary)=0.26 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus mehelyi",3,1,0.31,NA,"","Burger2019(Burger,secondary)=0.31 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus paradoxolophus",3,1,0.267,NA,"","Burger2019(Burger,secondary)=0.27 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus pearsonii",3,1,0.332,NA,"","Burger2019(Burger,secondary)=0.33 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus pusillus",3,1,0.164,NA,"","Burger2019(Burger,secondary)=0.16 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus robinsoni",3,1,0.2785,NA,"","Burger2019(Burger,secondary)=0.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus stheno",3,1,0.285,NA,"","Burger2019(Burger,secondary)=0.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus thomasi",3,1,0.233,NA,"","Burger2019(Burger,secondary)=0.23 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus trifoliatus",3,1,0.351,NA,"","Burger2019(Burger,secondary)=0.35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinolophus yunanensis",3,1,0.439,NA,"","Burger2019(Burger,secondary)=0.44 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinonicteris aurantia",3,1,0.249,NA,"","Burger2019(Burger,secondary)=0.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinophylla pumilio",3,1,0.356,NA,"","Burger2019(Burger,secondary)=0.36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinopithecus roxellana",3,1,117.757,NA,"","Burger2019(Burger,secondary)=117.76 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinopoma hardwickii",3,1,0.275,NA,"","Burger2019(Burger,secondary)=0.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinopoma microphyllum",3,1,0.4035,NA,"","Burger2019(Burger,secondary)=0.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhinosciurus laticaudatus",3,1,4.28,NA,"","Burger2019(Burger,secondary)=4.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhogeessa parvula",3,1,0.111,NA,"","Burger2019(Burger,secondary)=0.11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhogeessa tumida",3,1,0.1055,NA,"","Burger2019(Burger,secondary)=0.11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhynchocyon petersi",3,1,5.4,NA,"","Burger2019(Burger,secondary)=5.4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhynchogale melleri",3,1,16.95,NA,"","Burger2019(Burger,secondary)=16.95 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhyncholestes raphanurus",3,1,0.65,NA,"","Burger2019(Burger,secondary)=0.65 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Rhynchomeles prattorum",3,1,4.9,NA,"","Burger2019(Burger,secondary)=4.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
