"source_row","parvorder_printed","family_printed","Species_Navarrete2016","Species_Isler2008","Species_Reader2011","innovator","technical_innovation_count","nontechnical_innovation_count","technical_innovation_plus_extractive_foraging_count","nontechnical_innovation_excluding_extractive_foraging_count","foraging_innovation_count","technical_foraging_innovation_count","nontechnical_foraging_innovation_count","technical_foraging_plus_extractive_foraging_count","nontechnical_foraging_excluding_extractive_foraging_count","life_history_composite"
142,"Catarrhini","Cercopithecidae","Procolobus verus","Procolobus verus","Procolobus verus","No",0,0,0,0,0,0,0,0,0,
143,"Catarrhini","Cercopithecidae","Pygathrix nemaeus","Pygathrix nemaeus","Pygathrix nemaeus","No",0,0,0,0,0,0,0,0,0,
144,"Catarrhini","Cercopithecidae","Rhinopithecus roxellana","Rhinopithecus roxellana","Pygathrix roxellana","Yes",0,1,1,0,0,0,0,0,0,
145,"Catarrhini","Cercopithecidae","Semnopithecus entellus","Semnopithecus entellus","Semnopithecus entellus","Yes",0,7,3,4,4,0,4,3,1,45.58705821
146,"Catarrhini","Cercopithecidae","Theropithecus gelada","Theropithecus gelada","Theropithecus gelada","No",0,0,0,0,0,0,0,0,0,26.54174209
147,"Catarrhini","Cercopithecidae","Trachypithecus auratus","Trachypithecus auratus","Trachypithecus auratus","No",0,0,0,0,0,0,0,0,0,
148,"Catarrhini","Cercopithecidae","Trachypithecus cristatus","Trachypithecus cristatus","Trachypithecus cristatus","No",0,0,0,0,0,0,0,0,0,
149,"Catarrhini","Cercopithecidae","Trachypithecus geei","Trachypithecus geei","Presbytis geei","No",0,0,0,0,0,0,0,0,0,
150,"Catarrhini","Cercopithecidae","Trachypithecus johnii","Trachypithecus johnii","Trachypithecus johnii","No",0,0,0,0,0,0,0,0,0,
151,"Catarrhini","Cercopithecidae","Trachypithecus obscurus","Trachypithecus obscurus","Trachypithecus obscurus","No",0,0,0,0,0,0,0,0,0,
152,"Catarrhini","Cercopithecidae","Trachypithecus phayrei","Trachypithecus phayrei","Trachypithecus phayrei","No",0,0,0,0,0,0,0,0,0,
153,"Catarrhini","Cercopithecidae","Trachypithecus pileatus","Trachypithecus pileatus","Trachypithecus pileatus","No",0,0,0,0,0,0,0,0,0,
154,"Catarrhini","Cercopithecidae","Trachypithecus vetulus","Trachypithecus vetulus","Presbytis vetulus","No",0,0,0,0,0,0,0,0,0,52.60018846
155,"Catarrhini","Hylobatidae","Bunopithecus hoolock","Bunopithecus hoolock","Hylobates hoolock","No",0,0,0,0,0,0,0,0,0,
156,"Catarrhini","Hylobatidae","Hylobates agilis","Hylobates agilis","Hylobates agilis","No",0,0,0,0,0,0,0,0,0,
157,"Catarrhini","Hylobatidae","Hylobates klossii","Hylobates klossii","Hylobates klossii","No",0,0,0,0,0,0,0,0,0,
