Source,Cited_as,Registry_item,Citation,First_author,Other_authors,Year,Publication,Table,DOI_or_ISBN,URL,Registry_team,Registry_collection,Cited_via
Bush_Allman_2004_b_TABLE1,Bush & Allman (2004) TABLE 1,Bush_Allman_2004_b_TABLE1,"Bush, E. C., & Allman, J. M. (2004). Three-dimensional structure and evolution of primate primary visual cortex. Anat Rec (Hoboken), 281(1), 1088-1094. https://doi.org/10.1002/ar.a.20114",Bush,Allman,2004,Bush_Allman_2004_b,TABLE 1,10.1002/ar.a.20114,https://doi.org/10.1002/ar.a.20114,Allman,AFIP,NA
deSousa_etal_2010_Table1,deSousa et al. (2010) Table 1,deSousa_etal_2010_Table1,"de Sousa, A. A., Sherwood, C. C., Mohlberg, H., Amunts, K., Schleicher, A., MacLeod, C. E., Hof, P. R., Frahm, H., & Zilles, K. (2010). Hominoid visual brain structure volumes and the position of the lunate sulcus. J Hum Evol, 58(4), 281-292. https://doi.org/10.1016/j.jhevol.2009.11.011",deSousa,etal,2010,deSousa_etal_2010,Table 1,10.1016/j.jhevol.2009.11.011,https://doi.org/10.1016/j.jhevol.2009.11.011,"Stephan, Zilles","Stephan, Zilles, AFIP, Sherwood, Hof",NA
deSousa_etal_2013_Table1,deSousa et al. (2013) Table 1,deSousa_etal_2013_Table1,"de Sousa, A. A., Sherwood, C. C., Hof, P. R., & Zilles, K. (2013). Lamination of the lateral geniculate nucleus of catarrhine primates. Brain Behav Evol, 81(2), 93-108. https://doi.org/10.1159/000346495",deSousa,etal,2013,deSousa_etal_2013,Table 1,10.1159/000346495,https://doi.org/10.1159/000346495,"Stephan, Zilles","Stephan, Zilles, AFIP, Sherwood, Hof",NA
Frahm_etal_1982_Table2,Frahm et al. (1982) Table 2,Frahm_etal_1982_Table2,"Frahm, H. D., Stephan, H., & Stephan, M. (1982). Comparison of brain structure volumes in Insectivora and Primates. I. Neocortex. J Hirnforsch, 23(4), 375-389. https://www.ncbi.nlm.nih.gov/pubmed/7161477",Frahm,etal,1982,Frahm_etal_1982,Table 2,PMID:7161477,https://doi.org/PMID:7161477,Stephan,Stephan,NA
Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,Frahm_etal_1984_Table1,"Frahm, H. D., Stephan, H., & Baron, G. (1984). Comparison of brain structure volumes in insectivora and primates. V. Area striata (AS). J Hirnforsch, 25(5), 537-557. https://www.ncbi.nlm.nih.gov/pubmed/6501869",Frahm,etal,1984,Frahm_etal_1984,Table 1,PMID:6501869,https://doi.org/PMID:6501869,Stephan,Stephan,NA
Frahm_etal_1997_Table1,Frahm et al. (1997) Table 1,Frahm_etal_1997_Table1,"Frahm, H. D., Rehkamper, G., & Nevo, E. (1997). Brain structure volumes in the mole rat, Spalax ehrenbergi (Spalacidae, Rodentia) in comparison to the rat and subterrestrial insectivores. J Hirnforsch, 38(2), 209-222. https://www.ncbi.nlm.nih.gov/pubmed/9176733",Frahm,etal,1997,Frahm_etal_1997,Table 1,PMID:9176733,https://doi.org/PMID:9176733,Stephan,Stephan,NA
Frahm_etal_1998_Table1,Frahm et al. (1998) Table 1,Frahm_etal_1998_Table1,"Frahm, H. D., Zilles, K., Schleicher, A., & Stephan, H. (1998). The size of the middle temporal area in primates. J Hirnforsch, 39(1), 45-54. https://www.ncbi.nlm.nih.gov/pubmed/9672110",Frahm,etal,1998,Frahm_etal_1998,Table 1,PMID:9672110,https://doi.org/PMID:9672110,Stephan,Stephan,NA
Frahm_Zilles_1994_Table1,Frahm & Zilles (1994) Table 1,Frahm_Zilles_1994_Table1,"Frahm, H. D., & Zilles, K. (1994). Volumetric comparison of hippocampal regions in 44 primate species. J Hirnforsch, 35(3), 343-354. https://www.ncbi.nlm.nih.gov/pubmed/7983368",Frahm,Zilles,1994,Frahm_Zilles_1994,Table 1,PMID:7983368,https://doi.org/PMID:7983368,Stephan,Stephan,NA
Kverkova_etal_2018_TableS1,Kverkova et al. (2018) Table S1,Kverkova_etal_2018_TableS1,"Kverkova, K., Belikova, T., Olkowicz, S., Pavelkova, Z., O'Riain, M. J., Sumbera, R., Burda, H., Bennett, N. C., & Nemec, P. (2018). Sociality does not drive the evolution of large brains in eusocial African mole-rats. Sci Rep, 8(1), 9203. https://doi.org/10.1038/s41598-018-26062-8",Kverkova,etal,2018,Kverkova_etal_2018,Table S1,10.1038/s41598-018-26062-8,https://doi.org/10.1038/s41598-018-26062-8,Kverkova,Kverkova,NA
MacLeod_etal_2003_Table1,MacLeod et al. (2003) Table 1,MacLeod_etal_2003_Table1,"MacLeod, C. E., Zilles, K., Schleicher, A., Rilling, J. K., & Gibson, K. R. (2003). Expansion of the neocerebellum in Hominoidea. J Hum Evol, 44(4), 401-429. https://doi.org/10.1016/s0047-2484(03)00028-9",MacLeod,etal,2003,MacLeod_etal_2003,Table 1,10.1016/s0047-2484(03)00028-9,https://doi.org/10.1016/s0047-2484(03)00028-9,Rilling,Rilling,NA
MacLeod_etal_2003_Table2,MacLeod et al. (2003) Table 2,MacLeod_etal_2003_Table2,"MacLeod, C. E., Zilles, K., Schleicher, A., Rilling, J. K., & Gibson, K. R. (2003). Expansion of the neocerebellum in Hominoidea. J Hum Evol, 44(4), 401-429. https://doi.org/10.1016/s0047-2484(03)00028-9",MacLeod,etal,2003,MacLeod_etal_2003,Table 2,10.1016/s0047-2484(03)00028-9,https://doi.org/10.1016/s0047-2484(03)00028-9,"Stephan, Zilles","Stephan, Zilles",NA
Matano__1986_TableI,Matano (1986) Table I,Matano__1986_TableI,"Matano, S. (1986). A volumetric comparison of the vestibular nuclei in primates. Folia Primatol (Basel), 47(4), 189-203. https://doi.org/10.1159/000156277",Matano,NA,1986,Matano__1986,Table I,10.1159/000156277,https://doi.org/10.1159/000156277,NA,NA,NA
Matano__1992_Tables1to4,Matano (1992) Tables1to4,Matano__1992_Tables1to4,"Matano, S. (1992). A Comparative Neuroprimatological Study on the Inferior Olivary Nuclei (from the Stephan Collection). J Anthropol Soc Nip, 100(1), 69-82. https://doi.org/10.1537/ase1911.100.69",Matano,NA,1992,Matano__1992,Tables1to4,10.1537/ase1911.100.69,https://doi.org/10.1537/ase1911.100.69,NA,NA,NA
Matano_etal_1985_a_Table1,Matano et al. (1985) Table 1,Matano_etal_1985_a_Table1,"Matano, S., Baron, G., Stephan, H., & Frahm, H. D. (1985). Volume comparisons in the cerebellar complex of primates. II. Cerebellar nuclei. Folia Primatol (Basel), 44(3-4), 182-203. https://doi.org/10.1159/000156212",Matano,etal,1985,Matano_etal_1985_a,Table 1,10.1159/000156212,https://doi.org/10.1159/000156212,Stephan,Stephan,NA
Matano_etal_1985_b_Table1,Matano et al. (1985) Table 1,Matano_etal_1985_b_Table1,"Matano, S., Stephan, H., & Baron, G. (1985). Volume comparisons in the cerebellar complex of primates. I. Ventral pons. Folia Primatol (Basel), 44(3-4), 171-181. https://doi.org/10.1159/000156211",Matano,etal,1985,Matano_etal_1985_b,Table 1,10.1159/000156211,https://doi.org/10.1159/000156211,Stephan,Stephan,NA
Reep_etal_2007_Table1,Reep et al. (2007) Table 1,Reep_etal_2007_Table1,"Reep, R. L., Finlay, B. L., & Darlington, R. B. (2007). The limbic system in mammalian brain evolution. Brain Behav Evol, 70(1), 57-70. https://doi.org/10.1159/000101491",Reep,etal,2007,Reep_etal_2007,Table 1,10.1159/000101491,https://doi.org/10.1159/000101491,Reep/Finlay,University of Wisconsin Comparative Mammalian Brain Collection,NA
Semendeferi_etal_1998_Table2,Semendeferi et al. (1998) TABLE 2,Semendeferi_etal_1998_TABLE2,"Semendeferi, K., Armstrong, E., Schleicher, A., Zilles, K., & Van Hoesen, G. W. (1998). Limbic frontal cortex in hominoids: a comparative study of area 13. Am J Phys Anthropol, 106(2), 129-155. https://doi.org/10.1002/(SICI)1096-8644(199806)106:2<129::AID-AJPA3>3.0.CO;2-L",Semendeferi,etal,1998,Semendeferi_etal_1998,TABLE 2,10.1002/(SICI)1096-8644(199806)106:2<129::AID-AJPA3>3.0.CO;2-L,https://doi.org/10.1002/(SICI)1096-8644(199806)106:2<129::AID-AJPA3>3.0.CO;2-L,Zilles,NA,NA
