Species,Variable,Source,Cited_as,DOI_or_ISBN,Team,Year,source_Value,merged_Value,pct_diff_from_merged,role,n_rows_in_source,Teams,n_teams,n_sources,Year_used
Tarsius sp.,Nucleus_vestibularis_superior_Vol.mm3,NA,NA,NA,NA,NA,NA,1.518,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Stephan_collection,1,NA,NA
Tarsius sp.,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Stephan_etal_1981_TableXIII,Stephan et al. (1981) Table XIII,10.1159/000155963,Stephan_collection,1981,0.759,0.759,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Palaeocortex_Vol.mm3,Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,10.1159/000155963,Stephan_collection,1981,39.1,39.1,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Pallidum_Vol.mm3,Stephan_etal_1981_TableVIII,Stephan et al. (1981) Table VIII,10.1159/000155963,Stephan_collection,1981,16.1,16.1,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Schizo_cortex_Vol.mm3,Stephan_etal_1981_TableV,Stephan et al. (1981) Table V,10.1159/000155963,Stephan_collection,1981,69,69,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Septum_Vol.mm3,Stephan_etal_1981_TableV,Stephan et al. (1981) Table V,10.1159/000155963,Stephan_collection,1981,23.3,23.3,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Striatum_Vol.mm3,Stephan_etal_1981_TableV,Stephan et al. (1981) Table V,10.1159/000155963,Stephan_collection,1981,133,133,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Subthalamus_Vol.mm3,Stephan_etal_1981_TableVIII,Stephan et al. (1981) Table VIII,10.1159/000155963,Stephan_collection,1981,17.1,17.1,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Telencephalon_Vol.mm3,Stephan_etal_1981_TableII,Stephan et al. (1981) Table II,10.1159/000155963,Stephan_collection,1981,2258,2258,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Thalamus_Vol.mm3,Stephan_etal_1981_TableVIII,Stephan et al. (1981) Table VIII,10.1159/000155963,Stephan_collection,1981,175,175,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Total_brain_net_volume_Vol.mm3,Bush_Allman_2004_a_Table2,Bush & Allman (2004) Table 2,10.1073/pnas.0305760101,Bush,2004,3060,3226.5,-5.16,averaged into the merged value,1,Bush; Stephan_collection,2,2,2004
Tarsius sp.,Total_brain_net_volume_Vol.mm3,Stephan_etal_1981_TableII,Stephan et al. (1981) Table II,10.1159/000155963,Stephan_collection,1981,3393,3226.5,5.16,averaged into the merged value,1,Bush; Stephan_collection,2,2,2004
Tarsius sp.,Tractus_opticus_Vol.mm3,Stephan_etal_1981_TableVIII,Stephan et al. (1981) Table VIII,10.1159/000155963,Stephan_collection,1981,15.5,15.5,0,sole source,1,Stephan_collection,1,1,1981
Tarsius sp.,Trigeminal_motor_nucleus_Vol.mm3,NA,NA,NA,NA,NA,NA,0.72,NA,"derived both-hemisphere value (step 7: left+right, or 2x a one-side measurement); cite this source for the one-side figure",NA,Sherwood,1,NA,NA
Tarsius sp.,Trigeminal_motor_nucleus_left_Vol.mm3,Sherwood_etal_2005_Table1,Sherwood et al. (2005) Table 1,10.1016/j.jhevol.2004.10.003,Sherwood,2005,0.36,0.36,0,sole source,1,Sherwood,1,1,2005
