Species,species_as_published,area_as_published,layer,areal_proportion_pct,n_specimens,source,source_location,data_role
Saimiri sciureus,Saimiri sciureus,area30_posterior_cingulate,outer_main,52,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Saimiri sciureus,Saimiri sciureus,area30_posterior_cingulate,inner_main,35,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Saimiri sciureus,Saimiri sciureus,area23_posterior_cingulate,molecular,13,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Saimiri sciureus,Saimiri sciureus,area23_posterior_cingulate,outer_main,42,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Saimiri sciureus,Saimiri sciureus,area23_posterior_cingulate,granular,14,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Saimiri sciureus,Saimiri sciureus,area23_posterior_cingulate,inner_main,31,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Saimiri sciureus,Saimiri sciureus,area31_posterior_cingulate,molecular,9,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Saimiri sciureus,Saimiri sciureus,area31_posterior_cingulate,outer_main,44,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Saimiri sciureus,Saimiri sciureus,area31_posterior_cingulate,granular,13,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Saimiri sciureus,Saimiri sciureus,area31_posterior_cingulate,inner_main,34,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cebus albifrons,Cebus albifrons,area29_posterior_cingulate,molecular,21,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Cebus albifrons,Cebus albifrons,area29_posterior_cingulate,outer_main,42,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Cebus albifrons,Cebus albifrons,area29_posterior_cingulate,inner_main,37,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Cebus albifrons,Cebus albifrons,area30_posterior_cingulate,molecular,13,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Cebus albifrons,Cebus albifrons,area30_posterior_cingulate,outer_main,45,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Cebus albifrons,Cebus albifrons,area30_posterior_cingulate,inner_main,42,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Cebus albifrons,Cebus albifrons,area23_posterior_cingulate,molecular,14,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cebus albifrons,Cebus albifrons,area23_posterior_cingulate,outer_main,45,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cebus albifrons,Cebus albifrons,area23_posterior_cingulate,granular,9,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cebus albifrons,Cebus albifrons,area23_posterior_cingulate,inner_main,32,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cebus albifrons,Cebus albifrons,area31_posterior_cingulate,molecular,11,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cebus albifrons,Cebus albifrons,area31_posterior_cingulate,outer_main,45,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cebus albifrons,Cebus albifrons,area31_posterior_cingulate,granular,13,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cebus albifrons,Cebus albifrons,area31_posterior_cingulate,inner_main,31,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cercopithecus mitis,Cercopithecus mitis,area29_posterior_cingulate,molecular,19,3,Zilles_etal_1986_Table1,"Table 1, area29",primary
