source,Species,Species_printed,Standardized_Term,Value,species_confidence
Ruf_Geiser_2015_Table1,Myotis adversus,Myotis adversus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Myotis lucifugus,Myotis lucifugus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Myotis myotis,Myotis myotis,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Myotis nattereri,Myotis nattereri,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Myotis velifer,Myotis velifer,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Nyctalus noctula,Nyctalus noctula,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Nycteris thebaica,Nycteris thebaica,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Nyctimene albiventer,Nyctimene albiventer,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Nyctophilus bifax,Nyctophilus bifax,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Nyctophilus geoffroyi,Nyctophilus geoffroyi,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Nyctophilus gouldi,Nyctophilus gouldi,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Pipistrellus pipistrellus,Pipistrellus pipistrellus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Pipistrellus subflavus,Pipistrellus subflavus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Plecotus auritus,Plecotus auritus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Rhinolophus hipposideros,Rhinolophus hipposideros,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Rhinopoma microphyllum,Rhinopoma microphyllum,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Scotophilus dinganii,Scotophilus dinganii,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Scotophilus mhlanganii,Scotophilus mhlanganii,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Sturnira lilium,Sturnira lilium,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Syconycteris australis,Syconycteris australis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Tadarida aegyptiaca,Tadarida aegyptiaca,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Tadarida brasiliensis,Tadarida brasiliensis,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Tadarida teniotis,Tadarida teniotis,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Vespadelus vulturnus,Vespadelus vulturnus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Atelerix algirus,Atelerix algirus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Atelerix frontalis,Atelerix frontalis,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Crocidura flavescens,Crocidura flavescens,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Crocidura leucodon,Crocidura leucodon,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Crocidura russula,Crocidura russula,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Crocidura suaveolens,Crocidura suaveolens,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Erinaceus europaeus,Erinaceus europaeus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Notiosorex crawfordi,Notiosorex crawfordi,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Sorex sinuosus,Sorex sinuosus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Suncus etruscus,Suncus etruscus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Zaedyus pichiy,Zaedyus pichiy,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Amblysomus hottentotus,Amblysomus hottentotus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Echinops telfairi,Echinops telfairi,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Geogale aurita,Geogale aurita,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Microgale dobsoni,Microgale dobsoni,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Setifer setosus,Setifer setosus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Tenrec ecaudatus,Tenrec ecaudatus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Elephantulus edwardii,Elephantulus edwardii,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Elephantulus myurus,Elephantulus myurus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Elephantulus rozeti,Elephantulus rozeti,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Elephantulus rupestris,Elephantulus rupestris,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Macroscelides proboscideus,Macroscelides proboscideus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Acrobates pygmaeus,Acrobates pygmaeus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Burramys parvus,Burramys parvus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Cercartetus concinnus,Cercartetus concinnus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Cercartetus lepidus,Cercartetus lepidus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Cercartetus nanus,Cercartetus nanus,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Petaurus breviceps,Petaurus breviceps,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Tarsipes rostratus,Tarsipes rostratus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Dromiciops gliroides,Dromiciops gliroides,Torpor_type,HIB,high
Ruf_Geiser_2015_Table1,Antechinomys laniger,Antechinomys laniger,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Antechinus flavipes,Antechinus flavipes,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Antechinus stuartii,Antechinus stuartii,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Dasykaluta rosamondae,Dasykaluta rosamondae,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Dasyuroides byrnei,Dasyuroides byrnei,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Dasyurus geoffroii,Dasyurus geoffroii,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Dasyurus hallucatus,Dasyurus hallucatus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Dasyurus viverrinus,Dasyurus viverrinus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Myrmecobius fasciatus,Myrmecobius fasciatus,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Ningaui yvonnae,Ningaui yvonnae,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Planigale gilesi,Planigale gilesi,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Planigale ingrami,Planigale ingrami,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Planigale maculata,Planigale maculata,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Planigale tenuirostris,Planigale tenuirostris,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Pseudantechinus macdonnellensis,Pseudantechinus macdonnellensis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Sminthopsis crassicaudata,Sminthopsis crassicaudata,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Sminthopsis douglasi,Sminthopsis douglasi,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Sminthopsis macroura,Sminthopsis macroura,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Sminthopsis murina,Sminthopsis murina,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Sminthopsis ooldea,Sminthopsis ooldea,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Gracilinanus agilis,Gracilinanus agilis,Torpor_type,DT,high
Ruf_Geiser_2015_Table1,Marmosa microtarsus,Marmosa microtarsus,Torpor_type,DT,high
