population,specimen_id,structure_var,structure_label,volume_mm3,brain_weight_g,total_brain_volume_mm3,note
domestic,Sd19,amygdaloid_centromedial_mm3,Amygdaloid complex a) centromedial group,463,112.0,108108,
domestic,Sd19,amygdaloid_basolateral_mm3,Amygdaloid complex b) basolateral group,754,112.0,108108,
domestic,Sd19,tuberculum_olfactorium_mm3,Tuberculum olfactorium,1103,112.0,108108,
domestic,Sd19,nuclei_basalis_mm3,Nuclei basalis,836,112.0,108108,
domestic,Sd19,palaeocortex_amygdaloid_mm3,Palaeocortex + Amygdaloid complex,7051,112.0,108108,
domestic,Sd19,septum_mm3,Septum,864,112.0,108108,
domestic,Sd19,hippocampus_mm3,Hippocampus,3372,112.0,108108,
domestic,Sd19,schizocortex_mm3,Schizocortex,1177,112.0,108108,
domestic,Sd19,limbic_structures_mm3,limbic structures,5413,112.0,108108,
domestic,Sd17,medulla_oblongata_mm3,Medulla oblongata,6927,119.0,114865,
domestic,Sd17,cerebellum_mm3,Cerebellum,13322,119.0,114865,
domestic,Sd17,mesencephalon_mm3,Mesencephalon,4733,119.0,114865,
domestic,Sd17,diencephalon_mm3,Diencephalon,7187,119.0,114865,
domestic,Sd17,telencephalon_mm3,Telencephalon,77356,119.0,114865,
domestic,Sd17,neocortex_mm3,Neocortex,60449,119.0,114865,
domestic,Sd17,corpus_striatum_mm3,Corpus striatum,3930,119.0,114865,
domestic,Sd17,allocortex_mm3,Allocortex,12977,119.0,114865,
domestic,Sd17,bulbus_olfactorius_mm3,Bulbus olfactorius,1408,119.0,114865,
domestic,Sd17,regio_retrobulbaris_mm3,Regio retrobulbaris,430,119.0,114865,
domestic,Sd17,regio_praepiriformis_mm3,Regio praepiriformis,2935,119.0,114865,
domestic,Sd17,amygdaloid_complex_mm3,Amygdaloid complex,1154,119.0,114865,
domestic,Sd17,amygdaloid_centromedial_mm3,Amygdaloid complex a) centromedial group,441,119.0,114865,
domestic,Sd17,amygdaloid_basolateral_mm3,Amygdaloid complex b) basolateral group,713,119.0,114865,
domestic,Sd17,tuberculum_olfactorium_mm3,Tuberculum olfactorium,961,119.0,114865,
domestic,Sd17,nuclei_basalis_mm3,Nuclei basalis,763,119.0,114865,
domestic,Sd17,palaeocortex_amygdaloid_mm3,Palaeocortex + Amygdaloid complex,6242,119.0,114865,
domestic,Sd17,septum_mm3,Septum,808,119.0,114865,
domestic,Sd17,hippocampus_mm3,Hippocampus,3353,119.0,114865,
domestic,Sd17,schizocortex_mm3,Schizocortex,1164,119.0,114865,
domestic,Sd17,limbic_structures_mm3,limbic structures,5326,119.0,114865,
domestic,Sd12,medulla_oblongata_mm3,Medulla oblongata,7158,125.0,120656,
domestic,Sd12,cerebellum_mm3,Cerebellum,14203,125.0,120656,
domestic,Sd12,mesencephalon_mm3,Mesencephalon,5175,125.0,120656,
domestic,Sd12,diencephalon_mm3,Diencephalon,7694,125.0,120656,
domestic,Sd12,telencephalon_mm3,Telencephalon,82386,125.0,120656,
domestic,Sd12,neocortex_mm3,Neocortex,64205,125.0,120656,
domestic,Sd12,corpus_striatum_mm3,Corpus striatum,4573,125.0,120656,
domestic,Sd12,allocortex_mm3,Allocortex,13608,125.0,120656,
domestic,Sd12,bulbus_olfactorius_mm3,Bulbus olfactorius,1214,125.0,120656,damaged olfactory bulb (footnote a)
domestic,Sd12,regio_retrobulbaris_mm3,Regio retrobulbaris,405,125.0,120656,
domestic,Sd12,regio_praepiriformis_mm3,Regio praepiriformis,3252,125.0,120656,
domestic,Sd12,amygdaloid_complex_mm3,Amygdaloid complex,1322,125.0,120656,
domestic,Sd12,amygdaloid_centromedial_mm3,Amygdaloid complex a) centromedial group,552,125.0,120656,
domestic,Sd12,amygdaloid_basolateral_mm3,Amygdaloid complex b) basolateral group,770,125.0,120656,
domestic,Sd12,tuberculum_olfactorium_mm3,Tuberculum olfactorium,1280,125.0,120656,
domestic,Sd12,nuclei_basalis_mm3,Nuclei basalis,750,125.0,120656,
domestic,Sd12,palaeocortex_amygdaloid_mm3,Palaeocortex + Amygdaloid complex,7009,125.0,120656,
domestic,Sd12,septum_mm3,Septum,952,125.0,120656,
domestic,Sd12,hippocampus_mm3,Hippocampus,3257,125.0,120656,
domestic,Sd12,schizocortex_mm3,Schizocortex,1173,125.0,120656,
domestic,Sd12,limbic_structures_mm3,limbic structures,5383,125.0,120656,
