Species,Amygdala_p.C.Brain,Amygdala_Vol.mm3,Amygdala_Vol.mm3_SD,Body_Mass.g,Body_Mass.g_SD,Body_Mass.kg,Cerebellum_I.p.mg,Cerebellum_Mass.g,Cerebellum_Mass.g_SD,Cerebellum_N.n,Cerebellum_N.n_SD,Cerebellum_N.p.mg,Cerebellum_N.p.mg_SD,Cerebellum_O.n,Cerebellum_O.n_SD,Cerebellum_O.p.mg,Cerebellum_O.p.mg_SD,Cerebellum_O.p.N,Cerebellum_O.p.N_SD,Cerebellum_p.C.Brain,Cerebellum_S.n,Cerebellum_Vol.mm3,Cerebellum_Vol.mm3_SD,CerebralCortex_I.p.mg,CerebralCortex_Mass.g,CerebralCortex_Mass.g_SD,CerebralCortex_N.n,CerebralCortex_N.n_SD,CerebralCortex_N.p.mg,CerebralCortex_N.p.mg_SD,CerebralCortex_O.n,CerebralCortex_O.n_SD,CerebralCortex_O.p.mg,CerebralCortex_O.p.mg_SD,CerebralCortex_O.p.N,CerebralCortex_O.p.N_SD,CerebralCortex_S.n,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,CerebralCortexNoHippocampus_I.p.mg,CerebralCortexNoHippocampus_S.n,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,EntorhinalCortex_p.C.Brain,EntorhinalCortex_Vol.mm3,EntorhinalCortex_Vol.mm3_SD,Hippocampus_I.p.mg,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,Hippocampus_p.C.Brain,Hippocampus_S.n,Hippocampus_Vol.mm3,Hippocampus_Vol.mm3_SD,Hypothalamus_p.C.Brain,Hypothalamus_Vol.mm3,Hypothalamus_Vol.mm3_SD,Medulla_p.C.Brain,Medulla_Vol.mm3,Medulla_Vol.mm3_SD,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,MesencephalonMedulla_N.n,MesencephalonMedulla_N.n_SD,Neocortex_p.C.Brain,Neocortex_Vol.mm3,Neocortex_Vol.mm3_SD,OlfactoryBulb_Mass.g,OlfactoryBulb_Mass.g_SD,OlfactoryBulb_n,OlfactoryBulb_N.n,OlfactoryBulb_N.n_SD,OlfactoryBulb_N.p.mg,OlfactoryBulb_N.p.mg_SD,OlfactoryBulb_O.n,OlfactoryBulb_O.n_SD,OlfactoryBulb_O.p.mg,OlfactoryBulb_O.p.mg_SD,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.N_SD,OlfactoryBulb_p.C.Brain,OlfactoryBulb_Vol.mm3,OlfactoryBulb_Vol.mm3_SD,OlfactoryCortices_p.C.Brain,OlfactoryCortices_Vol.mm3,OlfactoryCortices_Vol.mm3_SD,PonsMedulla_I.p.mg,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,PonsMedulla_S.n,RoB_I.p.mg,RoB_Mass.g,RoB_Mass.g_SD,RoB_N.n,RoB_N.n_SD,RoB_N.p.mg,RoB_N.p.mg_SD,RoB_O.n,RoB_O.n_SD,RoB_O.p.mg,RoB_O.p.mg_SD,RoB_O.p.N,RoB_O.p.N_SD,RoB_S.n,Septum_p.C.Brain,Septum_Vol.mm3,Septum_Vol.mm3_SD,Striatum_p.C.Brain,Striatum_Vol.mm3,Striatum_Vol.mm3_SD,SubcorticalForebrain_N.n,SubcorticalForebrain_N.n_SD,Tectum_p.C.Brain,Tectum_Vol.mm3,Tectum_Vol.mm3_SD,Tegmentum_p.C.Brain,Tegmentum_Vol.mm3,Tegmentum_Vol.mm3_SD,Thalamus_p.C.Brain,Thalamus_Vol.mm3,Thalamus_Vol.mm3_SD,WholeBrain_I.p.mg,WholeBrain_Mass.g,WholeBrain_Mass.g_SD,WholeBrain_n,WholeBrain_N.n,WholeBrain_N.n_SD,WholeBrain_O.n,WholeBrain_O.n_SD,WholeBrain_O.p.N,WholeBrain_p.C.N,WholeBrain_p.C.N_SD,WholeBrain_S.n,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_Mass.g_SD,WholeBrainOlfactoryBulb_N.n,WholeBrainOlfactoryBulb_N.n_SD
Oryctolagus cuniculus,NA,NA,NA,4600,NA,NA,NA,1.412,NA,396671250,NA,280929,NA,124578750,NA,88229,NA,1.222,NA,NA,NA,NA,NA,NA,4.448,NA,71448750,NA,16063,NA,254801250,NA,57284,NA,3.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,NA,1,18765000,NA,120288,NA,22935000,NA,147019,NA,1.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.272,NA,26085000,NA,7972,NA,251415000,NA,76838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.132,NA,1,494205000,NA,630795000,NA,NA,43.9,NA,NA,NA,NA,NA,NA
Osphranter rufus,NA,NA,NA,13154,NA,NA,6525,4.786,NA,1530000000,NA,320282,NA,NA,NA,NA,NA,0.278,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6196,2.886,19340000,6700,10.765,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otolemur garnettii,NA,NA,NA,946.7,102.6,NA,NA,1.196,0.105,743500000,52450000,623080,45720,65960000,20290000,54460,11890,0.089,NA,NA,NA,NA,NA,8294,6.29,0.863,226090000,87570000,37820,20500,402070000,74790000,63610,3400,1.778,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.016,11,30237060,9645480,149219,47590,34244000,7155556,170505,39463,1.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.131,0.021,20800000,12280000,9730,5920,147440000,64500000,69040,NA,7.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.15,0.06,3,9.36e+08,115360000,666590000,63500000,NA,58.4,NA,NA,NA,NA,NA,NA
Panthera leo,NA,NA,NA,NA,NA,180,4989,24.882,NA,4049750000,NA,162758,NA,3.044e+09,NA,NA,NA,0.752,NA,NA,1,NA,NA,5686,139.902,NA,545240000,NA,3897,NA,7260970000,NA,NA,NA,13.317,NA,107,NA,NA,NA,5757,106,NA,NA,NA,NA,NA,NA,NA,2984,3.648,13540000,3711,177110000,13.083,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6169,34.162,NA,72040000,NA,2109,NA,2093860000,NA,NA,NA,29.063,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5679,198.946,NA,NA,4667030000,NA,12398840000,NA,2.657,NA,NA,110,NA,NA,NA,NA
Papio cynocephalus,NA,NA,NA,8000,NA,NA,NA,13.745,NA,7794907300,NA,567109,NA,525977700,NA,38267,NA,0.067,NA,NA,NA,NA,NA,2773,120.214,NA,2875028372,NA,23916,NA,7569751628,NA,62969,NA,2.633,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.235,NA,278150760,NA,16136,NA,1079809236,NA,62656,NA,3.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.194,NA,2,10948086440,NA,9175538564,NA,NA,54.4,NA,NA,NA,NA,NA,NA
Parascalops breweri,NA,NA,NA,42.7,9.1,NA,NA,0.102,0.005,100780000,13850000,997370,173030,7010000,1100000,68795,7910,0.07,NA,NA,NA,NA,NA,NA,0.429,0.019,15690000,2611000,36727,7359,39870000,4884000,93185,14583,2.581,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,0.008,3,16750000,6370000,333590,81590,10910000,3400000,217440,41370,0.651,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228,0.009,7130000,920000,31276,3180,31380000,1500000,137960,7180,4.401,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.759,0.024,3,123600000,12470000,78260000,6095000,NA,61.2,4.1,NA,NA,NA,NA,NA
Petrodromus tetradactylus,NA,NA,NA,132.5,NA,NA,4206,0.304,NA,110653150,14948000,362537,15780,34657851,15801000,110153,41831,0.299,0.102,NA,2,NA,NA,3019,1.239,0.059,33947000,5840000,27236,3416,40486000,1104000,32550,2661,1.202,0.053,4,NA,NA,NA,3018,2,NA,NA,NA,NA,NA,NA,NA,3032,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159,0.009,2,12828365,380000,80805,3084,14775635,NA,91369,NA,1.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1845,0.894,0.022,12231811,188000,13696,547,28204189,5408000,31716,6830,2.3,0.407,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2743,2.44,0.109,2,156830795,20600000,103349000,15610000,NA,NA,NA,8,NA,NA,NA,NA
Pongo pygmaeus,NA,NA,NA,NA,NA,NA,NA,35.06,4.34,2.63e+10,2.47e+09,750143,NA,2.2e+09,NA,62750,NA,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procavia capensis,NA,NA,NA,2517,NA,NA,3801,2.058,NA,488373000,42322000,242415,46950,91005000,30180000,46365,19711,0.182,0.046,NA,2,NA,NA,3637,10.478,0.646,197933000,29082000,19134,3955,366620000,13520000,35203,3461,1.883,0.208,6,NA,NA,NA,3604,4,NA,NA,NA,NA,NA,NA,NA,3860,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286,NA,1,20909490,NA,73110,NA,14790510,NA,51715,NA,0.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2594,4.317,0.625,69358240,762000,16436,2556,162984760,6105000,38353,4138,2.351,0.114,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3389,16.853,1.495,2,755653000,72145000,620622000,37616000,NA,NA,NA,12,NA,NA,NA,NA
Procyon lotor,NA,NA,NA,NA,NA,6.2,NA,3.338,NA,1646180000,NA,493162,NA,241320000,NA,NA,NA,0.147,NA,NA,NA,NA,NA,NA,24.491,NA,437940000,NA,18510,NA,1766670000,NA,NA,NA,3.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477,15340000,16076,70000000,4.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,55990000,NA,119119,NA,79760000,NA,NA,NA,1.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.357,NA,48570000,NA,7640,NA,3.92e+08,NA,NA,NA,8.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.186,NA,NA,2148070000,NA,2399990000,NA,1.117,NA,NA,NA,NA,NA,NA,NA
Proechimys guyannensis,NA,NA,NA,223.485,16.6,NA,NA,0.33,0.026,162512050,3553848,494338,28466,36372950,5094068,110122,6716,0.224,0.026,NA,NA,NA,NA,NA,0.924,0.05,26086024,2155723,28321,3870,71833039,6712722,78011,11497,2.752,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132,NA,1,9141540,NA,69254,NA,21128460,NA,160064,NA,2.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.824,0.006,13492039,1533120,16381,1973,73068898,2691449,88667,2658,5.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.078,0.071,2,202090113,2931245,181274887,4310103,NA,52.7,1,NA,NA,NA,NA,NA
Rattus norvegicus,NA,NA,NA,315.1,102.9,NA,NA,0.272,0.038,139171882,11185675,522688,108847,29005617,6282204,108555,29355,0.209,0.047,NA,NA,NA,NA,NA,0.769,0.113,31017192,3034654,41092,7999,45687808,5678958,60426,12477,1.497,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074,0.022,5,11103272,3202766,152373,26913,9238728,2250728,126210,8033,0.848,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683,0.153,18678758,4243909,27813,6171,47221243,5979982,71760,18475,2.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.724,0.292,4,188867832,12622383,121914668,7106729,NA,60.7,2.4,NA,NA,NA,NA,NA
Rousettus aegyptiacus,NA,NA,NA,120,NA,NA,NA,NA,NA,132436158,NA,602896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28859259,NA,29287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10936630,NA,19962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.778,NA,2 (1 female) (1H each),172232047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus midas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saimiri sciureus,NA,NA,NA,859,NA,NA,NA,4.3,NA,1.82e+09,NA,424000,NA,133020000,NA,30940,NA,0.073,NA,NA,NA,NA,NA,NA,20.652,0.368,1.34e+09,2e+07,64930,7420,1.61e+09,4e+07,77840,790,1.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.004,NA,65530000,NA,13090,NA,302590000,NA,60470,NA,4.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.216,NA,2,3246430000,NA,2073030000,NA,NA,61,NA,NA,NA,NA,NA,NA
Sapajus apella,NA,NA,NA,3340,NA,NA,NA,4.6,NA,2.49e+09,NA,540310,NA,245810000,NA,53440,NA,0.099,NA,NA,NA,NA,NA,1991,39.178,NA,1.14e+09,NA,29180,NA,2.55e+09,NA,64980,NA,2.237,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.43,NA,61850000,NA,7340,NA,506110000,NA,60040,NA,8.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.208,NA,1,3690520000,NA,3297740000,NA,NA,52.8,NA,NA,NA,NA,NA,NA
Sarcophilus harrisii,NA,NA,NA,8200,NA,NA,5385,1.434,NA,601070000,NA,419158,NA,NA,NA,NA,NA,0.224,NA,NA,1,NA,NA,1826,5.228,NA,71660000,NA,13706,NA,NA,NA,NA,NA,5.112,NA,26,50950000,14759,3.727,1578,25,1.348,6180000,4587,18.96,NA,NA,NA,3588,0.634,12640000,19940,NA,4.537,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.652,8220000,12613,6.675,2,14410000,7203,11.948,NA,NA,NA,NA,NA,1.004,NA,NA,100320000,NA,99919,NA,NA,NA,NA,NA,1.004,NA,NA,NA,NA,NA,NA,NA,NA,1.14,6560000,5754,12.755,NA,1780,3.14,NA,20970000,NA,6677,NA,NA,NA,NA,NA,12.2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2337,9.802,NA,NA,693690000,NA,NA,NA,1.09,NA,NA,30,NA,NA,NA,NA
Scalopus aquaticus,NA,NA,NA,95.3,9.8,NA,NA,0.153,0.008,158550000,13630000,1037390,63570,17510000,3160000,114660,20790,0.11,NA,NA,NA,NA,NA,NA,0.476,0.032,26680000,5113000,60461,12249,38540000,5567000,80745,6407,1.383,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,0.005,3,34610000,5960000,423520,94950,17780000,2060000,215230,14600,0.514,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.042,16560000,2990000,44620,4900,45690000,4820000,123600,2550,2.759,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999,0.08,3,203520000,14587000,101740000,11823000,NA,66.7,1.4,NA,NA,NA,NA,NA
Sciurus carolinensis,NA,NA,NA,500,NA,NA,NA,0.874,0.069,342832180,71181798,392363,74294,110797820,9070639,127682,19212,0.336,0.09,NA,NA,NA,NA,NA,2.73,0.178,77334617,2634444,28384,1487,209654717,13003170,76877,3859,2.709,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212,0.022,9,28845724,7903412,137532,38236,39015942,12812316,185359,58050,1.478,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.943,0.156,33493401,17128790,17616,9989,210023933,3415060,108482,7808,7.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.548,0.306,3,453660197,59752698,530476469,5605837,NA,46,3,NA,NA,NA,NA,NA
Scotonycteris zenkeri,NA,NA,NA,16.1,NA,NA,NA,NA,NA,47217961,NA,549046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12847119,NA,39652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5529891,NA,31067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588,NA,2 (1H each),65594971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex fumeus,NA,NA,NA,7.8,0.1,NA,NA,0.02,0.002,20870000,4660000,1038666,214440,5290000,2120000,258073,85510,0.253,NA,NA,NA,NA,NA,NA,0.084,0.009,9730000,352000,116727,9387,9290000,1112000,111754,18566,0.958,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,0.002,3,3330000,1050000,289806,124350,2760000,130000,235249,44620,0.829,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,0.01,5560000,1490000,75941,11870,8280000,1440000,114880,17860,1.489,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176,0.007,3,36460000,4567000,22860000,3956000,NA,61.3,1.4,NA,NA,NA,NA,NA
Sus scrofa domesticus,NA,NA,NA,1e+05,NA,NA,10536,8.128,NA,1858320313,NA,228632,NA,348710938,NA,42902,NA,0.188,NA,NA,1,NA,NA,9048,42.404,NA,307082404,NA,7276,NA,3250251354,NA,77016,NA,10.585,NA,24,NA,NA,NA,8932,23,NA,NA,NA,NA,NA,NA,NA,11480,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822,NA,1,9195500,NA,11187,NA,77554500,NA,94348,NA,8.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9386,13.85,NA,58709836,NA,4238,NA,1096821414,NA,79192,NA,18.682,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9310,64.18,NA,1,2224112553,NA,4695783705,NA,NA,32.1,NA,28,NA,NA,NA,NA
Tragelaphus strepsiceros,NA,NA,NA,218000,NA,NA,3041,31.776,NA,4042494141,NA,127218,NA,1266099609,NA,39845,NA,0.313,NA,NA,1,NA,NA,3718,213.37,NA,762567178,NA,3574,NA,12302304448,NA,57657,NA,16.133,NA,37,NA,NA,NA,3772,36,NA,NA,NA,NA,NA,NA,NA,4710,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.546,NA,1,38331562,NA,6912,NA,362731438,NA,58913,NA,8.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4485,61.716,NA,106590230,NA,1727,NA,3408779523,NA,55233,NA,31.98,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3800,306.86,NA,1,4911651549,NA,16977183580,NA,NA,22.4,NA,43,NA,NA,NA,NA
Triaenops persicus,NA,NA,NA,13.7,NA,NA,NA,NA,NA,59651487,NA,820968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6039272,NA,64765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4072165,NA,47981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251,NA,2 (1H each),69762924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
