"Original_Term","Reference","Standard_old","DosSantos2017_old","JardimMessender2017_old","Standardized_Term"
"Family","HerculanoHouzel_etal_2020_Table1",NA,NA,NA,"Family"
"Family","HerculanoHouzel_etal_2020_Table2",NA,NA,NA,"Family"
"Hippocampus Mass, g",NA,"Hippocampus_Mass_g","MHP","MHP.g","Hippocampus_Mass,g"
"Hippocampus N, n",NA,"Hippocampus_N_n","NHP","NHP","Hippocampus_N,n"
"Hippocampus N/mg",NA,"Hippocampus_Nmg","DNHP","DNHP","Hippocampus_N/mg"
"Hippocampus O, n",NA,"Hippocampus_O_n","","OHP","Hippocampus_O,n"
"Hippocampus O/N",NA,"Hippocampus_ON","O/NHP","O/NHP","Hippocampus_O/N"
"Hippocampus_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Hippocampus_FractionofBrain"
"Hippocampus_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Hippocampus_Vol,mm3"
"Hippocampus_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Hippocampus_Vol,mm3"
"Hp_C","DosSantos_etal_2020_Table1",NA,NA,NA,"Hippocampus_C,n"
"Hp_I","DosSantos_etal_2020_Table1",NA,NA,NA,"Hippocampus_I,n"
"Hp_I/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"Hippocampus_I/mg"
"Hp_I/N","DosSantos_etal_2020_Table1",NA,NA,NA,"Hippocampus_I/N"
"Hp_N","DosSantos_etal_2020_Table1",NA,NA,NA,"Hippocampus_N,n"
"Hp_N/mg","DosSantos_etal_2020_Table1",NA,NA,NA,"Hippocampus_N/mg"
"Hp_No. of samples","DosSantos_etal_2020_Table1",NA,NA,NA,"Hippocampus_n"
"Hp_Structure mass (g)","DosSantos_etal_2020_Table1",NA,NA,NA,"Hippocampus_Mass,g"
"Hypothalamus_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Hypothalamus_FractionofBrain"
"Hypothalamus_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Hypothalamus_Vol,mm3"
"Hypothalamus_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Hypothalamus_Vol,mm3"
"MBD","DosSantos_etal_2017_TableS1",NA,NA,NA,"Body_Mass,g"
"MBD.kg","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Body_Mass,kg"
"MBODY, g","HerculanoHouzel_etal_2020_Table1",NA,NA,NA,"Body_Mass,g"
"MBR","DosSantos_etal_2017_TableS1",NA,NA,NA,"WholeBrain_Mass,g"
"MBR.g","JardimMesseder_etal_2017_Table1",NA,NA,NA,"WholeBrain_Mass,g"
"MBRAIN, g","HerculanoHouzel_etal_2020_Table1",NA,NA,NA,"WholeBrain_Mass,g"
"MCB","DosSantos_etal_2017_TableS1",NA,NA,NA,"Cerebellum_Mass,g"
"MCB.g","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Cerebellum_Mass,g"
"MCX","DosSantos_etal_2017_TableS1",NA,NA,NA,"CerebralCortex_Mass,g"
"MCxT.g","JardimMesseder_etal_2017_Table1",NA,NA,NA,"CerebralCortex_Mass,g"
"MD+S","DosSantos_etal_2017_TableS1",NA,NA,NA,"DiencephalonStriatum_Mass,g"
"Medulla oblongata_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Medulla_FractionofBrain"
"Medulla oblongata_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Medulla_Vol,mm3"
"Medulla oblongata_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Medulla_Vol,mm3"
"Mesencephalon Mass, g",NA,"Mesencephalon_Mass_g","MMES",NA,"Mesencephalon_Mass,g"
