species_as_printed,block,item_index,data_item,ref_numbers,citations,alignment
Lama glama,37,3,"Neonatal brain size (164.45 g), neonatal body mass (12000 g), maternal body mass (103000 g), gestation length (334.1 days), precocial",11; 23; 24,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",block_level
Lama glama,37,4,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",11; 23; 24,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",block_level
Lemur catta,38,1,"Body weight, group size (female dominated 6-24 individuals, average 11-16)",51,Axel AC & Maurer BA (2011) Lemurs in a Complex Landscape: Mapping Species Density in Subtropical Dry Forests of Southwestern Madagascar Using Data at Multiple Levels. Am J Primatol 73(1):38-52,one_to_one
Lemur catta,38,2,"Body weight (2233 g), litter size (1.3), weaning period (135 days), inter-litter interval (511 days), sexual maturity (550 days)",44,"Roberts M (1994) Growth, Development, and Parental Care in the Western Tarsier (Tarsius-Bancanus) in Captivity - Evidence for a Slow Life-History and Nonmonogamous Mating System. Int J Primatol 15(1):1-28",one_to_one
Lemur catta,38,3,"Adult body (2100 g) and brain (22 g) weight, neonate body (78 g) and brain (8.780 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Lemur catta,38,4,Resting metabolic rate,28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Lemur catta,38,5,Weight at weaning (1080 g),22,"Godfrey LR, Samonds KE, Jungers WL, Sutherland MR, & Irwin MT (2004) Ontogenetic correlates of diet in Malagasy lemurs. Am. J. Phys. Anthropol. 123(3):250-276",one_to_one
Lemur catta,38,6,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Lemur fulvus,39,1,"Sexual maturity (548 days), maximum longevity (36 years)",41,"Nowak RM, Mittermeier RA, Rylands AB, & Konstant WR (1999) Walker's Primates of the World (Johns Hopkins University Press).",one_to_one
Lemur fulvus,39,2,Weight at weaning (1350 g),22,"Godfrey LR, Samonds KE, Jungers WL, Sutherland MR, & Irwin MT (2004) Ontogenetic correlates of diet in Malagasy lemurs. Am. J. Phys. Anthropol. 123(3):250-276",one_to_one
Lepilemur mustelinus,40,1,"Home range (1-3 ha), female and male mass",52,"Rasoloharijaona S, Randrianambinina B, & Zimmermann E (2008) Sleeping site ecology in a rain-forest dwelling nocturnal lemur (Lepilemur mustelinus): implications for sociality and conservation. Am J Primatol 70(3):247-253",one_to_one
Lepilemur ruficaudatus,41,1,"Gestation length (176 days), body weight, activity, diet, group size, litter size (1), home range (1 ha), inter-litter interval (365 days)",53,"Hilgartner R, Zinner D, & Kappeler PM (2008) Life history traits and parental care in Lepilemur ruficaudatus. Am J Primatol 70(1):2-11",one_to_one
Lepilemur ruficaudatus,41,2,"Weight at birth (27 g), weight at weaning (250 g)",22,"Godfrey LR, Samonds KE, Jungers WL, Sutherland MR, & Irwin MT (2004) Ontogenetic correlates of diet in Malagasy lemurs. Am. J. Phys. Anthropol. 123(3):250-276",one_to_one
Loris tardigradus,42,1,Resting metabolic rate,28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Loxodonta africana,43,1,Brain weights (4000-9000),54,"Shoshani J, Kupsky WJ, & Marchant GH (2006) Elephant brain. Part I: gross morphology, functions, comparative anatomy, and evolution. Brain Res Bull 70(2):124-157",one_to_one
Loxodonta africana,43,2,"Adult body (2750000 g) and brain (4480 g) weight, neonate body (120000 g) and brain (1650 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Loxodonta africana,43,3,Neocortex volume (- corpus callosum),55,"Hakeem AY, et al. (2005) Brain of the African elephant (Loxodonta africana): neuroanatomy from magnetic resonance images. Anat. Rec. A Discov. Mol. Cell. Evol. Biol. 287(1):1117-1127",one_to_one
Loxodonta africana,43,4,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Loxodonta africana,43,5,Carpus callosum,30,"Manger PR, Hemingway J, Haagensen M, & Gilissen E (2010) Cross-sectional area of the elephant corpus callosum: comparison to other eutherian mammals. Neuroscience 167(3):815-824",one_to_one
Macaca mulatta,44,1,"Adult body (5980 g) and brain (84.60 g) weight, neonate body (540 g) and brain (58 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Macaca mulatta,44,2,Neurogenic period (60.5 days),56,"Clancy B, Teague-Ross TJ, & Nagarajan R (2009) Cross-species analyses of the cortical GABAergic and subplate neural populations. Front. Neuroanat. 3:20",one_to_one
Macaca mulatta,44,3,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Macaca mulatta,44,4,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Macropus eugenii,45,1,Brain weight (23.7 g),38,"Weisbecker V & Goswami A (2010) Brain size, life history, and metabolism at the marsupial/placental dichotomy. Proc. Natl. Acad. Sci. U. S. A. 107(37):16216-16221",one_to_one
Macropus fuliginosus,46,1,Body length,57,Miller D (2002) Macropus fuliginosus (On-line). in Animal Diversity Web).,one_to_one
Macropus fuliginosus,46,2,"Brain weight (64.80 g), body weight (31000 g)",58,Byers JA (1999) The distribution of play behaviour among Australian marsupials. J Zool 247:349-356,one_to_one
Macropus rufogriseus,47,1,"Brain weight (37.80 g), body weight (15200 g)",58,Byers JA (1999) The distribution of play behaviour among Australian marsupials. J Zool 247:349-356,one_to_one
Mandrillus sphinx,48,1,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Mesocricetus auratus,49,1,"Adult body (125 g) and brain (1.12 g) weight, neonate body (1.80 g) and brain (0.060 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Mesocricetus auratus,49,2,"Social system (multi-male), age at eye opening (13 d)",59,Champagne A (2006) Mesocricetus auratus (On-line). in Animal Diversity Web).,one_to_one
Mesocricetus auratus,49,3,Neurogenic period (9 days),43,"Clancy B, Darlington RB, & Finlay BL (2001) Translating developmental time across mammalian species. Neuroscience 105(1):7-17.",one_to_one
Monodelphis virgiana,50,1,Brain (0.12 g) and neocortex (0.01 g) weight,61,"Seelke AM, Dooley JC, & Krubitzer LA (2014) The cellular composition of the marsupial neocortex. J. Comp. Neurol. 522(10):2286-2298",block_level
Monodelphis virgiana,50,2,"Neurogenic period (10 d) (60),",61,"Seelke AM, Dooley JC, & Krubitzer LA (2014) The cellular composition of the marsupial neocortex. J. Comp. Neurol. 522(10):2286-2298",block_level
Microcebus murinus,51,1,Body weight (84 g),44,"Roberts M (1994) Growth, Development, and Parental Care in the Western Tarsier (Tarsius-Bancanus) in Captivity - Evidence for a Slow Life-History and Nonmonogamous Mating System. Int J Primatol 15(1):1-28",one_to_one
Microcebus murinus,51,2,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Mus musculus,52,1,"Adult body (24 g) and brain (0.45 g) weight, neonate body (1.50 g) and brain (0.090 g) weight",64,"Kowalczyk T, et al. (2009) Intermediate neuronal progenitors (basal progenitors) produce pyramidal-projection neurons for all layers of cerebral cortex. Cereb. Cortex 19(10):2439-2450",block_level
Mus musculus,52,2,"Body length, age at eye opening (14 d)",64,"Kowalczyk T, et al. (2009) Intermediate neuronal progenitors (basal progenitors) produce pyramidal-projection neurons for all layers of cerebral cortex. Cereb. Cortex 19(10):2439-2450",block_level
Mus musculus,52,3,"Neurogenic period (9 days) (11) (62) (63),",64,"Kowalczyk T, et al. (2009) Intermediate neuronal progenitors (basal progenitors) produce pyramidal-projection neurons for all layers of cerebral cortex. Cereb. Cortex 19(10):2439-2450",block_level
Mustela putorius,53,1,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Neomys fodiens,54,1,Brain weight (0.32 g),12,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29",one_to_one
Neomys fodiens,54,2,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Nycticebus coucang,55,1,"Adult body (1230 g) and brain (12.80 g) weight, neonate body (30.50 g) and brain (4 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Nycticebus coucang,55,2,Resting metabolic rate,28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Nycticebus coucang,55,3,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Odocoileus virginianus,56,1,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Odocoileus virginianus,56,2,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
Oryctolagus cuniculus,57,1,Brain weight (3.4 g),,,no_reference_printed
Oryctolagus cuniculus,57,2,"Adult body (2200 g) and brain weight (9.60 g), neonate body (38 g) and brain weight (1.290 g)",,,no_reference_printed
Oryctolagus cuniculus,57,3,Social system (polygynandrous = multi-male),,,no_reference_printed
Oryctolagus cuniculus,57,4,"Neurogenic period (13 days) (65) (11) (66) (43); Kelava and Huttner, in preparation)",,,no_reference_printed
Otolemur crassicaudatus,58,1,"Adult body (700 g) and brain weight (9.90 g), neonate body (40 g) and brain weight (4 g)",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Otolemur crassicaudatus,58,2,Resting metabolic rate,28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Otolemur crassicaudatus,58,3,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Ovis aries,59,1,"Adult body and brain weight, neonate body",11; 23; 67; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Ebinger P (1975) Quantitative investigations of visual brain structures in wild and domestic sheep. Anatomy and embryology 146(3):313-323 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Ovis aries,59,2,and brain weight,11; 23; 67; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Ebinger P (1975) Quantitative investigations of visual brain structures in wild and domestic sheep. Anatomy and embryology 146(3):313-323 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Ovis aries,59,3,"Neonatal brain size (43.65 g), neonatal body mass (2412.5 g), maternal body mass (33100 g), gestation length (151.31 days, precocial",11; 23; 67; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Ebinger P (1975) Quantitative investigations of visual brain structures in wild and domestic sheep. Anatomy and embryology 146(3):313-323 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Ovis aries,59,4,"Neocortex, striatum, corpus geniculatum laterale volume",11; 23; 67; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Ebinger P (1975) Quantitative investigations of visual brain structures in wild and domestic sheep. Anatomy and embryology 146(3):313-323 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Ovis aries,59,5,Cortical thickness,11; 23; 67; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Ebinger P (1975) Quantitative investigations of visual brain structures in wild and domestic sheep. Anatomy and embryology 146(3):313-323 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Pan troglodytes,60,1,"Adult body (45000 g) and brain (360 g) weight, neonate body (1560 g) and brain (128 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Pan troglodytes,60,2,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Panthera leo,61,1,"Adult body (1750000 g) and brain (260 g) weight, neonate body (1300 g) and brain (49.500 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Panthera leo,61,2,"Neonatal brain size (49.5 g), neonatal body mass (1383.9 g), maternal body mass (135500 g), litter size (2), altrici",23,"Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98",one_to_one
Panthera leo,61,3,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
Papio hamadryas,62,1,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Perodicticus poto,63,1,Resting metabolic rate,28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Perodicticus poto,63,2,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Phoca vitulina,64,1,Brain weight (273.75 g),68,Bininda-Emonds ORP (2000) Pinniped brain sizes. Marine Mammal Science 16(2):469-481,one_to_one
Phoca vitulina,64,2,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
Phocoena phocoena,65,1,"Adult body (55500 g) and brain (537 g) weight, neonate body (6750 g) and brain (199 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Phocoena phocoena,65,2,Weight at weaning (30000 g),69,Marino L (1999) Brain growth in the harbor porpoise and Pacific white-sided dolphin. J Mammal 80(4):1353-1360,one_to_one
Phocoena phocoena,65,3,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Pongo pygmaeus,66,1,"Adult body (36900 g) and brain (343 g) weight, neonate body (1500 g) and brain (129 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Potamogale velox,67,1,Brain weight (4.160 g),12,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29",one_to_one
Procavia capensis,68,1,"Body weight (4300 g), group size (80), activity timing (diurnal), weight at birth (202 g)",70,Olds N & Shoshani J (1982) Procavia capensis. Mammalian Species (171):1-7.,one_to_one
Procavia capensis,68,2,"Body weight (1800 g, 3600 g), brain weight (19 g, 18 g)",29,"Sherwood CC, et al. (2009) Neocortical neuron types in Xenarthra and Afrotheria: implications for brain evolution in mammals. Brain Struct. Funct. 213(3):301-328",one_to_one
Procavia capensis,68,3,"Adult body (3800 g) and brain weight (20.50g), neonate body (200 g) and brain weight (7.750 g)",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Procavia capensis,68,4,Social system (harem),71,Linderman E (2011) Procavia capensis (On-line). in Animal Diversity Web).,one_to_one
Procavia capensis,68,5,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Procyon lotor,69,1,Adult body (5175 g) and brain (40 g) weight,26,Crile G & Quiring DP (1940) A Record of the Body Weight and Certain Organ and Gland Weights of 3690 Animals (Ohio Journal of Science).,one_to_one
Procyon lotor,69,2,"Neonatal brain size (4.8 g), neonatal body mass (97.5 g), maternal body mass (6320 g), gestation length (64.025 days), litter size (2.89), altricial",23,"Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98",one_to_one
Procyon lotor,69,3,Neocortex volume,72,Dunbar RIM & Bever J (1998) Neocortex size predicts group size in carnivores and some insectivores. Ethology 104(8):695-708,one_to_one
Propithecus verreauxi,70,1,Resting metabolic rate,28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Propithecus verreauxi,70,2,Weight at weaning (1000 g),22,"Godfrey LR, Samonds KE, Jungers WL, Sutherland MR, & Irwin MT (2004) Ontogenetic correlates of diet in Malagasy lemurs. Am. J. Phys. Anthropol. 123(3):250-276",one_to_one
Propithecus verreauxi,71,1,"Body size, group size (2-14), folivorous",51,Axel AC & Maurer BA (2011) Lemurs in a Complex Landscape: Mapping Species Density in Subtropical Dry Forests of Southwestern Madagascar Using Data at Multiple Levels. Am J Primatol 73(1):38-52,one_to_one
Pseudorca crassidens,72,1,Brain weight (4444.50 g),73,"Manger PR, Prowse M, Haagensen M, & Hemingway J (2012) Quantitative analysis of neocortical gyrencephaly in African elephants (Loxodonta africana) and six species of cetaceans: comparison with other mammals. J. Comp. Neurol. 520(11):2430-2439",one_to_one
Pteropus giganteus,73,1,"Social system (polygynandrous = multi-male), body length (230 mm)",74,Silbernagel E (2005) Pteropus giganteus (On-line). in Animal Diversity Web).,one_to_one
Pteropus giganteus,74,1,Brain weight (9.0 g),75,Jurgens KD & Prothero J (1987) Scaling of maximal lifespan in bats. Comp Biochem Physiol A Comp Physiol 88(2):361-317,one_to_one
Pteropus giganteus,74,2,"Body weight (875 g, 1084 g)",76,Marshall AJ (1947) The breeding cycle of an equatorial bat (Pteropus giganteus of Ceylon). Proceedings of the Linnean Society of London 159(2):103-111.,one_to_one
Pteropus giganteus,74,3,"Body weight (1021 g), group size (900)",77,Hosken DJ (1998) Testes mass in megachiropteran bats varies in accordance with sperm competition theory. Behav Ecol Sociobiol 44(3):169-177,one_to_one
Rattus norvegicus,75,1,"Adult body (339 g) and brain (2.38 g) weight, neonate body (4.92 g) and brain (0.280 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Rattus norvegicus,75,2,"Body length (399 mm), social system (polygynandrous = multi male), activity timing (nocturnal and crepuscular), age at eye opening (15.5 days)",78,Armitage D (2004) Rattus norvegicus (On-line). in Animal Diversity Web).,one_to_one
Rattus norvegicus,75,3,Neurogenic period (10 days),43,"Clancy B, Darlington RB, & Finlay BL (2001) Translating developmental time across mammalian species. Neuroscience 105(1):7-17.",one_to_one
Rattus norvegicus,75,4,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Saimiri sciureus,76,1,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Saimiri sciureus,76,2,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Sorex araneus,77,1,Brain weight (0.20 g),12,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29",one_to_one
Sorex araneus,77,2,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Sorex minutus,78,1,Brain weight (0.11 g),12,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29",one_to_one
Sorex minutus,78,2,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Sus scrofa domestica,79,1,"Adult body and brain weight, neonate body",11; 23; 79; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Kruska D & Rohrs M (1974) Comparative--quantitative investigations on brains of feral pigs from the Galapagos Islands and of European domestic pigs. Z. Anat. Entwicklungsgesch. 144(1):61-73 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Sus scrofa domestica,79,2,and brain weight,11; 23; 79; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Kruska D & Rohrs M (1974) Comparative--quantitative investigations on brains of feral pigs from the Galapagos Islands and of European domestic pigs. Z. Anat. Entwicklungsgesch. 144(1):61-73 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Sus scrofa domestica,79,3,"Neonatal brain size (26.6 g), neonatal body mass (1030 g), maternal body mass (75200 g), gestation length (118.29 days), litter size (5.375, precocial",11; 23; 79; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Kruska D & Rohrs M (1974) Comparative--quantitative investigations on brains of feral pigs from the Galapagos Islands and of European domestic pigs. Z. Anat. Entwicklungsgesch. 144(1):61-73 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Sus scrofa domestica,79,4,Brain parts volumes,11; 23; 79; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Kruska D & Rohrs M (1974) Comparative--quantitative investigations on brains of feral pigs from the Galapagos Islands and of European domestic pigs. Z. Anat. Entwicklungsgesch. 144(1):61-73 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Sus scrofa domestica,79,5,Cortical thickness,11; 23; 79; 19,"Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98 | Kruska D & Rohrs M (1974) Comparative--quantitative investigations on brains of feral pigs from the Galapagos Islands and of European domestic pigs. Z. Anat. Entwicklungsgesch. 144(1):61-73 | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Tachyglossus aculeatus,80,1,"Brain weight (27.5 g), body weight (4720 g)",,,no_reference_printed
Talpa europaea,81,1,"Mating system (solitary), age of eye opening (22 days)",80,Sondergaard E (2006) Talpa europaea (On-line). in Animal Diversity Web).,one_to_one
