"Row_ID"	"Order"	"Specie"	"Source_name"
23	"Proboscidea"	"Loxodonta africana"	NA
24	"Primates"	"Microcebus murinus"	"Schmidt M. (2005). Hind limb proportions and kinematics: are small primates different from other small mammals?. The Journal of experimental biology, 208(Pt 17), 3367–3383. https://doi.org/10.1242/jeb.01781"
25	"Primates"	"Eulemur fulvus"	NA
26	"Primates"	"Saguinus oedipus"	NA
27	"Primates"	"Saimiri sciureus"	NA
28	"Pilosa"	"Choloepus didactylus"	"Nyakatura, J. A. (2010). On the functional morphology and locomotion of the two-toed sloth (Choloepus didactylus, Xenarthra) [Doctoral dissertation]. Universität Jena."
29	"Pilosa"	"Choloepus didactylus"	NA
30	"Pilosa"	"Choloepus didactylus"	NA
31	"Primates"	"Pongo spp"	"Finestone, E. M., Brown, M. H., Ross, S. R., & Pontzer, H. (2018). Great ape walking kinematics: Implications for hominoid evolution. American journal of physical anthropology, 166(1), 43–55. https://doi.org/10.1002/ajpa.23397"
32	"Primates"	"Pongo spp"	NA
33	"Primates"	"Pongo spp"	NA
34	"Primates"	"Pan paniscus"	NA
35	"Primates"	"Pan paniscus"	NA
36	"Primates"	"Pan paniscus"	NA
37	"Primates"	"Gorilla gorilla"	NA
38	"Primates"	"Gorilla gorilla"	NA
39	"Primates"	"Gorilla gorilla"	NA
40	"Primates"	"Saimiri sciureus"	"Schmidt M. (2005). Quadrupedal locomotion in squirrel monkeys (Cebidae: Saimiri sciureus): a cineradiographic study of limb kinematics and related substrate reaction forces. American journal of physical anthropology, 128(2), 359–370. https://doi.org/10.1002/ajpa.20089"
41	"Primates"	"Saimiri sciureus"	NA
42	"Primates"	"Saimiri sciureus"	NA
43	"Carnivora"	"Canis lupus familiaris"	"Lorke, M., Willen, M., Lucas, K., Beyerbach, M., Wefstaedt, P., Murua Escobar, H., & Nolte, I. (2017). Comparative kinematic gait analysis in young and old Beagle dogs. Journal of veterinary science, 18(4), 521–530. https://doi.org/10.4142/jvs.2017.18.4.521"
44	"Carnivora"	"Canis lupus familiaris"	NA
45	"Carnivora"	"Canis lupus familiaris"	NA
46	"Carnivora"	"Canis lupus familiaris"	NA
47	"Carnivora"	"Canis lupus familiaris"	NA
48	"Carnivora"	"Canis lupus familiaris"	NA
49	"Rodentia"	"Dinomys branickii"	"Osbahr, K., & Azumendi, J. L. (2009). Comparación de la cinemática de los miembros de dos especies de roedores histricognatos (Cuniculus taczanowskii y Dinomys branickii). Revista UDCA Actualidad & Divulgación Científica, 12(2), 39–50."
50	"Rodentia"	"Cuniculus taczanowskii"	NA
51	"Artiodactyla"	"Capra aegagrus hircus"	"Arnold, A. S., Lee, D. V., & Biewener, A. A. (2013). Modulation of joint moments and work in the goat hindlimb with locomotor speed and surface grade. The Journal of experimental biology, 216(Pt 12), 2201–2212. https://doi.org/10.1242/jeb.082495"
52	"Artiodactyla"	"Capra aegagrus hircus"	NA
53	"Artiodactyla"	"Capra aegagrus hircus"	NA
54	"Artiodactyla"	"Capra aegagrus hircus"	NA
55	"Artiodactyla"	"Capra aegagrus hircus"	NA
56	"Artiodactyla"	"Capra aegagrus hircus"	NA
57	"Artiodactyla"	"Capra aegagrus hircus"	NA
58	"Artiodactyla"	"Capra aegagrus hircus"	NA
59	"Artiodactyla"	"Capra aegagrus hircus"	NA
60	"Artiodactyla"	"Capra aegagrus hircus"	NA
61	"Artiodactyla"	"Capra aegagrus hircus"	NA
62	"Artiodactyla"	"Capra aegagrus hircus"	NA
63	"Perissodactyla"	"Equus ferus caballus"	"Morales, J. L., Manchado, M., Vivo, J., Galisteo, A. M., Agüera, E., & Miró, F. (1998). Angular kinematic patterns of limbs in elite and riding horses at trot. Equine veterinary journal, 30(6), 528–533. https://doi.org/10.1111/j.2042-3306.1998.tb04529.x"
64	"Perissodactyla"	"Equus ferus caballus"	NA
65	"Perissodactyla"	"Equus ferus caballus"	NA
66	"Perissodactyla"	"Equus ferus caballus"	NA
67	"Perissodactyla"	"Equus ferus caballus"	NA
68	"Perissodactyla"	"Equus ferus caballus"	NA
69	"Carnivora"	"Canis lupus familiaris"	"DeCamp C. E. (1997). Kinetic and kinematic gait analysis and the assessment of lameness in the dog. The Veterinary clinics of North America. Small animal practice, 27(4), 825–840. https://doi.org/10.1016/s0195-5616(97)50082-9"
70	"Carnivora"	"Canis lupus familiaris"	NA
71	"Carnivora"	"Canis lupus familiaris"	NA
72	"Carnivora"	"Canis lupus familiaris"	NA
73	"Carnivora"	"Canis lupus familiaris"	NA
74	"Carnivora"	"Canis lupus familiaris"	NA
75	"Perissodactyla"	"Equus ferus caballus"	"Escobar, A., & Tadich, T. (2006). Caracterización biocinemática, al paso guiado a la mano, del caballo fino chilote. Archivos De Medicina Veterinaria, 38(1), 53–61. https://doi.org/10.4067/S0301-732X2006000100008"
76	"Perissodactyla"	"Equus ferus caballus"	NA
77	"Perissodactyla"	"Equus ferus caballus"	NA
78	"Perissodactyla"	"Equus ferus caballus"	"Cano, M. R., Vivo, J., Miró, F., Morales, J. L., & Galisteo, A. M. (2001). Kinematic characteristics of Andalusian, Arabian and Anglo-Arabian horses: a comparative study. Research in veterinary science, 71(2), 147–153. https://doi.org/10.1053/rvsc.2001.0504"
79	"Perissodactyla"	"Equus ferus caballus"	NA
80	"Perissodactyla"	"Equus ferus caballus"	NA
81	"Carnivora"	"Felis silvestris catus"	"Goslow, G. E., Jr, Reinking, R. M., & Stuart, D. G. (1973). The cat step cycle: hind limb joint angles and muscle lengths during unrestrained locomotion. Journal of morphology, 141(1), 1–41. https://doi.org/10.1002/jmor.1051410102"
82	"Carnivora"	"Felis silvestris catus"	NA
83	"Carnivora"	"Felis silvestris catus"	NA
84	"Artiodactyla"	"Sus scrofa domestica"	"Stavrakakis, S. (2014). Biomechanical studies of locomotion in pigs (Doctoral dissertation, Newcastle University)."
85	"Artiodactyla"	"Sus scrofa domestica"	NA
86	"Artiodactyla"	"Sus scrofa domestica"	NA
87	"Artiodactyla"	"Sus scrofa domestica"	NA
88	"Carnivora"	"Felis silvestris catus"	"Day, L. M., & Jayne, B. C. (2007). Interspecific scaling of the morphology and posture of the limbs during the locomotion of cats (Felidae). The Journal of experimental biology, 210(Pt 4), 642–654. https://doi.org/10.1242/jeb.02703"
89	"Carnivora"	"Leptailurus serval"	NA
90	"Carnivora"	"Leopardus pardalis"	NA
91	"Carnivora"	"Lynx canadensis"	NA
92	"Carnivora"	"Panthera pardus"	NA
93	"Carnivora"	"Acinonyx jubatus"	NA
94	"Carnivora"	"Puma concolor"	NA
95	"Carnivora"	"Panthera leo"	NA
96	"Carnivora"	"Panthera tigris"	NA
