source_row	animal_number	common_name	brain_part	stains_used	plane_of_section	age	section_thickness	total_number_of_sections	total_number_of_slides	embedding_medium	slide_size	number_of_sections_stained
223	69-486	Mouse		Thionin	Horizontal	4 days	10µ	519	26	Paraffin	2 x 3	519, all
224	71-28	Mouse		Thionin	coronal		20µ	600	25	Paraffin	2 x 3	600, all
225	71-29	Mouse		thionin	Coronal		20µ	559	27	Paraffin	2 x 3	559, all
226	71-30	Mouse		Thionin	Horizontal		20µ	272	17	Paraffin	2 x 3	272, all
227	71-32	Mouse		Thionin	Sagittal		15µ	400	30	Paraffin	2 x 3	400, all
228	71-53	Mouse		Thionin	Sagittal		20µ	313	20	Paraffin	2 x 3	313, all
229	71-187	Mouse		Thionin	Horizontal		8µ	505	32	Paraffin	2 x 3	505, all
230	71-188	Mouse		Thionin	Sagittal		8µ	818	20	Paraffin	2 x 3	818, all
231	62-134	Muskrat		thionin + Weil	Coronal		25µ	1566	47	Celloidin	3 1/4 x 4	1566, all
232	63-112	Muskrat		Thionin + Weil	Coronal		25µ	1640	10	Celloidin	3 1/4 x 4	1640, all
233	68-166	Muskrat		thionin + Weil	Sagittal		25µ	740	36	Celloidin	3 1/4 x 4	740, all
234	62-113	Olingo		Thionin + Weil	Coronal		25µ	1620	23	Celloidin	3 1/4 x 4	1620, all
235	60-461	Opossum, Virginia		Thionin + Weil	Horizontal		25µ	461	49	Celloidin	3 1/4 x 4	461, all
236	61-667	Opossum, Virginia		Thionin + Weil	Coronal		25µ	1716	40	Celloidin	3 1/4 x 4	1716, all
237	63-409	Opossum, Virginia		Thionin + Weil	Sagittal		25µ	645	34	Celloidin	3 1/4 x 4	645, all
238	#3 (Opossum)	Opossum		Thionin	Sagittal		15µ	?, some stained on some unstained on slides	23	Paraffin	3 1/4 x 4	?
239	4 (Opossum)	Opossum		Thionin	Sagittal		15µ	?, some stained on some unstained on slides	42	Paraffin	3 1/4 x 4	?
240	65-208	Opossum, ringtail		Thionin + Heidenhain	Coronal		30µ	1320	50	Celloidin	3 1/4 x 4	1320, all
241	62-62	Ostrich		Thionin Mahon modification	Coronal		30µ	1921	141	Celloidin	3 1/4 x 4	1296, evens Thionin, Heidenhain every other and then every 10th section
242	70-272	Owl, great horned		Thionin + Heidenhain	Coronal		30µ	1000	62	Celloidin	3 1/4 x 4	1000, all
243	70-274R	Owl, great horned		Thionin + Heidenhain	Horizontal		30µ	535	41	Celloidin	3 1/4 x 4	535, all
244	70-274L	Owl, great horned		Thionin + Heidenhain	Sagittal		30µ	558	58	Celloidin	3 1/4 x 4	558, all
245	71-31	Owl, sawhet		Thionin + Heidenhain	Coronal		30µ	530	18	Celloidin	3 1/4 x 4	530, all
246	60-121	Panda, lesser		Thionin + Weil	Coronal		30µ	1848	227: 187 3 1/4x4 + 40 2x3	Celloidin	3 1/4 x 4 + 2 x 3	Evens less 10s Thionin, odds Weil
247	63-445	Peccary, Collared		Thionin + Weil	Coronal		30µ	2100	266	Celloidin	3 1/4 x 4	2100, all
248	70-136	Phalanger, vulpine		Thionin + Heidenhain	Horizontal		30µ	314	21	Celloidin	3 1/4 x 4	314, all
249	61-391	Pig, domestic		Thionin + Heidenhain	Coronal		35µ	1893	362	Celloidin	3 1/4 x 4	1893, all
250	58-198	Pigeon		Thionin	Coronal		25µ	590	24	Celloidin	2 x 3	Evens
251	55-7	Pigeon		Thionin	coronal		25µ	784	15	Celloidin	3 1/4 x 4	370
252	83-63	Pigeon, white carneaux		Thionin + Heidenhain	Coronal		30µ	615	38	Celloidin	3 1/4 x 4	615, all
253	62-541	Porcupine		Thionin + Weil	Coronal		25µ	1790	119	Celloidin	3 1/4 x 4	1790. all
254	#1	Porpoise		Thionin	Sagittal		?	1280	132	Celloidin	3 1/4 x 4	128, every 10th
255	#2	Porpoise		Thionin	Coronal		?	600	64	Celloidin	3 1/4 x 4	Every 10th to 600
256	66-70	Porpoise, bottle nose		Thionin + Cresylviolet	Coronal		20µ, 25µ, 30µ, 40µ	?		Paraffin + frozen	2 x 3	?
257	66-127	Porpoise, bottle nose		Thionin + Heidenhain	Coronal		35µ	2900	227	Celloidin	5 x 7	Every 10th Thionin, every 20th Heidenhain
258	No #	Sea elephant		Thionin + Weil	Coronal		30µ	578	36: 24 3 1/4x4 + 12 2x3	Celloidin	3 1/4 x 4 + 2 x 3	Evens less 10s Thionin, odds Weil
259	62-441	Potto		Thionin + Heidenhain	Coronal		25µ	1612	64	Celloidin	3 1/4 x 4	1612, all
260	63-159	Rabbit		Thionin	Horizontal		30µ	530	49	Celloidin	3 1/4 x 4	530, all
261	64-120	Rabbit, Jack Rabbit		Thionin + Heidenhain	Coronal		30µ	1722	61	Celloidin	3 1/4 x 4	1722, all
262	RW series	Rabbit		Thionin	Sagittal		?	681	70	?	3 1/4 x 4	681, all
263	73-211	Rabbit		Thionin + Heidenhain	Coronal		25µ	1351	48	Celloidin	3 1/4 x 4	1351, all
264	74-14	Rabbit		Thionin	Coronal		15µ	1724	64	Paraffin	3 1/4 x 4	1724, all
265	#76	Rabbit		thionin	Coronal	embryo	?	507 stained, some not stained, on slides	16	Paraffin	2 1/4 x 3 1/2	507
266	#79	Rabbit		Thionin	Coronal	embryo	?	426 stained, some not stained, on slides	15	Paraffin	2 1/4 x 3 1/2	426
267	#84	Rabbit		Thionin	Coronal	embryo	?	687 stained, some not stained, on slides	24	Paraffin	2 1/4 x 3 1/2	687
268	#99	Rabbit		Thionin	Coronal	embryo	?	527 stained, some not stained, on slides	12	Paraffin	2 1/4 x 3 1/2	527
269	#105	Rabbit		Thionin	Coronal	embryo	?	569	16	Paraffin	2 1/4 x 3 1/2	569, all
270	#108	Rabbit		Thionin	Coronal	embryo	?	455 sstained, some not stained, on slides	9	Paraffin	2 1/4 x 3 1/2	455
271	57-88	Raccoon		Thionin + Weil	Coronal		30µ	1999	284: 227 3 1/4x4 + 57 2x3	Celloidin	3 1/4 x 4 + 2 x 3	1999, all
272	57-105	Raccoon		Thionin + Weil	Sagittal		30µ	545	138: 107 3 1/4x4 + 31 2x3	Celloidin	3 1/4 x 4 + 2 x 3	545, all
273	65-123	Raccoon		Thionin + Heidnhain	Coronal	8 days	20µ	1361	35	Celloidin	3 1/4 x 4	816, evens + 10s
274	65-101	Raccoon		Thionin	Coronal	Fetal	15µ	1035	30	Celloidin	2 x 3	1035, all
275	65-99	Raccoon		Hematoxylin-Eosin	Coronal		6µ	1266	14	Paraffin	2 x 3	1266, all
276	57-115	Raccoon		Thionin + Weil	Horizontal		30µ	789	308: 240 3 1/4 4 + 68 2x3	Celloidin	3 1/4 x 4 + 2 x 3	789
277	58-159	Raccoon		Thionin	Coronal	infant, 1 day	30µ	678	16: 10 3 1/4x4 + 6 2x3	Celloidin	3 1/4 x 4 + 2 x 3	678, all
278	58-176	Raccoon		Thionin	Coronal	infant, 2 weeks	15µ	1603	100	Paraffin	3 1/4 x 4	1603, all
279	58-179	Raccoon		Thionin	Coronal	infant, 21 days	20µ	1536	50	Celloidin	3 1/4 x 4	1536 less 10s
280	58-186	Raccoon		Thionin	Coronal	infant, 35 days	20µ	1698	58	Celloidin	3 1/4 x 4	Evens less 10s
281	68-312	Raccoon, crab eating		Thionin + Heidenhain	Coronal		30µ	2090	192	Celloidin	3 1/4 x 4	2090, all
282	56-50	Rat, albino		Thionin	Coronal		25µ	928	21: 15 3 1/4x4 + 6 2x3	Celloidin	3 1/4 x 4 + 2 x 3	464, evens + 10s
283	56-51	Rat, albino		Thionin + Weil	Coronal		25µ	928	30: 26 3 1/4x4 + 4 2x3	Celloidin	3 1/4 x 4 + 2 x 3	928, all
284	56-52	Rat, albino		Thionin + Weil	Horizontal		25µ	209	19: 13 3 1/4x4 + 6 2x3	Celloidin	3 1/4 x 4 + 2 x 3	209, all
285	56-90	Rat, albino		Thionin + Weil	Sagittal		25µ	471	29: 24 3 1/4x4 + 5 2x3	Celloidin	3 1/4 x 4 + 2 x 3	471, all
286	67-47	Rat, albino		Heidenhain	Horizontal		25µ	261	7	Paraffin	3 1/4 x 4	261, all
287	67-48	Rat, albino		Thionin + Heidenhain: first 2 slides all HH, then evens Thionin and odds HH.	Horizontal		25µ (first 2 slides) + 20µ (rest)	144	8	Paraffin	3 1/4 x 4	144, all
288	67-49 L (67-49R on record# 673)	Rat, albino		Heidenhain	Parallel to oblique		20µ	152	8	Paraffin	3 1/4 x4	152, all
289	71-324	Rat, albino		Thionin	Coronal		25µ	800	34	Celloidin	2 x 3	800, all
290	71-325	Rat, albino		Thionin	Sagittal		25µ	537	34	Celloidin	2 x 3	537, all
291	61-54	Rat, albino - Ontogeny		Thionin	Coronal	infant, newborn	10µ	1031	8	Paraffin	3 1/4 x 4	1031. all
292	61-837	Rat, albino - Ontogeny		Thionin	Coronal	1 day	25µ	460	9	Celloidin	3 1/4 x 4	460, all
293	61-33	Rat, albino - Ontogeny		Thionin	Coronal	2 days	10µ	1051	7	Paraffin	3 1/4 x 4	1051, all
294	61-838	Rat, albino - Ontogeny		Thionin	Coronal	3 days	25µ	520	9	Celloidin	3 1/4 x 4	520, all
295	61-839	Rat, albino - Ontogeny		Thionin	Coronal	6 days	25µ	630	11	Celloidin	3 1/4 x 4	630, all
296	63-453	Rat, albino - Ontogeny		Cresylviolet	Coronal	6 days	100µ	120	7	Frozen	2 x 3	120, all
297	60-489	Rat, albino - Ontogeny		Thionin	Coronal	10 days	10µ	1470	26	Paraffin	3 1/4 x 4	1470, all
298	61-840	Rat, albino - Ontogeny		Thionin	Coronal	11 days	25µ	675	12	Celloidin	3 1/4 x 4	675, all
299	63-455	Rat, albino - Ontogeny		Cresylviolet	Coronal	11 days	50µ	436	26	Frozen	2 x 3	436, all
300	61-841	Rat, albino - Ontogeny		Thionin	Coronal	15 days	25µ	668	13	Celloidin	3 1/4 x 4	668, all
301	60-480	Rat, albino - Ontogeny		Thionin	Coronal	15 days	10µ	1271	18	Paraffin	3 1/4 x 4	1271, all
302	63-458	Rat, albino - Ontogeny		Cresylviolet	Coronal	15 days	50µ	466	24	Frozen	2 x 3	466, all
303	61-842	Rat, albino - Ontogeny		Thionin	Coronal	21 days	25µ	814	15	Celloidin	3 1/4 x 4	814, all
304	63-460	Rat, albino - Ontogeny		Cresylviolet	Coronal	21 days	50µ	426	23	Frozen	2 x 3	426, all
305	60-397	Rat, albino - Ontogeny		Thionin	Coronal	25 days	10µ	1630	32	Paraffin	3 1/ x 4	1630, all
306	61-843	Rat, albino - Ontogeny		Thionin	Coronal	40 days	25µ	1034	19	Celloidin	3 1/4 x4	1034, all
307	63-462	Rat, albino - Ontogeny		Thionin	Coronal	40 days	10µ	2140	40	Paraffin	2 x 3	2140, all
308	63-461	Rat, albino - Ontogeny		Cresylviolet	Coronal	48 days	50µ	544	30	Frozen	2 x 3	544, all
309	61-844	Rat, albino - Ontogeny		Thionin	Coronal	80 days	25µ	1150	20	Celloidin	3 1/4 x 4	1150, all
310	63-463	Rat, albino - Ontogeny		Cresylviolet	Coronal	80 days	50µ	510	26	Frozen	2 x 3	510, all
311	61-89	Rat, albino - Ontogeny		Thionin	Coronal	123 days	20µ	1051	24	Paraffin	3 1/4 x 4	1051, all
312	61-845	Rat, albino - Ontogeny		Thionin + Heidenhain	Coronal	infant, adult	25µ	1169	21	Celloidin	3 1/4 x 4	1169, all
313	60-157	Rat, kangaroo		Thionin	Coronal		25µ	913	21	Celloidin	3 1/4 x 4	913, all
314	57-83	Rattlesnake, western		Thionin	Coronal		25µ	774	21	Celloidin	3 1/4 x 4	774, all
315	59-268R	Ringtailed cat		Thionin	Horizontal		25µ	630	10	Celloidin	2 x 3	63, every 10th
316	59-286	Ringtailed cat		Thionin	Coronal		30µ	1050	19	Celloidin	2 x 3	105, every 10th
317	62-106	Ringtailed cat		Thionin + Heidenhain	Coronal		30µ	1440	46	Celloidin	3 1/4 x 4	1440, all
318	62-156	Salamander		Thionin	Coronal		15µ	1228	11	Paraffin	3 1/4 x 4	1228, all
319	61-511L	Seal, northern fur		Thionin + Heidenhain	Horizontal		40µ	1255	139	Celloidin	3 1/4 x 4	367: every 5th Thionin, every 10th HH
320	61-512	Seal, northern fur		Thionin + Weil	Coronal		40µ	2006	382	Celloidin	3 1/4 x 4	810, every 5th + 6th
321	61-515	Seal, harbor		Thionin + Weil	Coronal		40µ	1626	687	Celloidin	3 1/ x 4	1626
322	61-513L	Sea lion		Thionin + Heidenhain	Coronal		40µ	2645	255	Celloidin	3 1/4 x 4	661: every 5th Thionin, every 20th HH
323	62-294	Sea lion		Thionin + Heidenhain	Coronal		40µ	2600	489	Celloidin	3 1/4 x 4	780: every 5th Thionin, every 10th HH
324	61-693	Sheep, domestic		Thionin + Weil	Coronal		35µ	2230	213	Celloidin	3 1/4 x 4	1000
325	62-146	Sheep, infant (lamb)		Thionin + Heidenhain	Coronal		30µ	2024	144	Celloidin	3 1/4 x 4	1350: 3-6-9 Thionin, 2-5-8 HH
326	64-25	Shrew, common		Thionin + Weil	Coronal		20µ	550	12	Celloidin	3 1/4 x 4	550, all
327	69-558	Shrew, elephant		Thionin + Heidenhain	Coronal		30µ	600	14	Celloidin	3 1/4 x 4	600, all
328	70-84L	Shrew, elephant		Thionin + Heidenhain	Sagittal		30µ	510	8	Celloidin	3 1/4 x 4	510, all
329	57-226	Skunk, striped		Thionin + Weil	Coronal		25µ	1381	34	Celloidin	3 1/4 x 4	1381, all
330	63-113	Skunk, striped		Thionin + Heidenhain	Sagittal		25µ	840	56	Celloidin	3 1/4 x 4	840, all
331	61-98	Sloth, two toed		Thionin + Weil	Coronal		25µ	2094	139	Celloidin	3 1/4 x 4	2094, all
332	62-181	Slow loris		Thionin + Weil	Coronal		25µ	1195	62	Celloidin	3 1/4 x 4	1195, all
333	62-253	Slow loris		Thionin, Mahon, Heidenhain	Sagittal		25µ	1004	67	Celloidin	3 1/4 x 4	1004, all
334	64-303	Slow loris		Thionin + Heidenhain	Horizontal		30µ	578	54	Celloidin	3 1/4 x 4	578, all
335	63-489	Sooty mangaby		Thionin + Heidenhain	Coronal		30µ	2300	446	Celloidin	3 1/4 x 4	1300
336	60-92	Squirrel, flying		Thionin	Coronal		25µ	1147	27	Celloidin	3 1/4 x 4	1147
337	60-144	Squirrel, grey		Thionin + Weil	Coronal		25µ	1353	48	Celloidin	3 1/4 x 4	1353, all
338	61-605	Squirrel, grey		Thionin + Weil	Sagittal		25µ	874	45	Celloidin	3 1/4 x 4	874, all
339	70-114	Squirrel, grey		Thionin + Heidenhain	Coronal	fetal	30µ	240	4	Celloidin	3 1/4 x 4	240, all
340	62-9	Tamarin		Thionin + Heidenhain	Coronal		25µ	987	46	Celloidin	3 1/4 x 4	987, all
341	65-29	Tarsier		Thionin + Heidenhain	Coronal		20µ	800	26	Celloidin	3 1/4 x 4	800, all
342	69-73R (69-73L is on record# 671)	Tenrec		Thionin + Heidenhain	Coronal		30µ	860	18	Celloidin	3 1/4 x 4	860, all
343	69-490	Tenrec		Thionin + Heidenhain	Horizontal		30µ	190	6	Celloidin	3 1/4 x 4	190, all
344	69-491	Tenrec		Thionin + Heidenhain	Sagittal		30µ	332	6	Celloidin	3 1/4 x 4	332, all
345	69-503	Tenrec		Thionin + Heidenhain	Coronal		30µ	530	10	Celloidin	3 1/4 x 4	530, all
346	69-654R (69-654L on record# 672)	Tenrec		Thionin + Heidenhain	Sagittal		30µ	208	6	Celloidin	3 1/4 x 4	208, all
347	70-33	Tenrec		Thionin + Heidenhain	Sagittal		30µ	470	12	Celloidin	3 1/4 x 4	470, all
348	70-89	Tenrec		Thionin + Heidenhain	Coronal		30µ	934	14	Celloidin	3 1/4 x 4	934, all
349	64-253	Tiger		Thionin + Heidenhain	Coronal	infant	30µ	1680	104	Celloidin	3 1/4 x 4	1008: Thionin evens, HH 1-11-22...
350	62-279	Tree shrew		Thionin + Weil	Coronal		20µ	1324	36	Celloidin	3 1/4 x 4	1324, all
351	66-178	Tree shrew		Thionin	Horizontal		30µ	414	13	Celloidin	3 1/4 x 4	207
352	70-69	Tree shrew		Thionin + Heidenhain	Horizontal		50µ	186	10	Celloidin	3 1/4 x 4	186, all
353	61-278	Turtle		Thionin + Weil	Coronal		25µ	1500	33	Celloidin	3 1/4 x 4	1500, all
354	69-161	Turtle		Thionin + Heidenhain	Coronal		30µ	384	8	Celloidin	3 1/4 x 4	364
355	Turtle 4 no information	Turtle		Thionin	Coronal		20µ ÷	880	44	?	2 x 3	880, all
356	63-10	Weasel		Thionin + Weil	Coronal		25µ	1067	29	Celloidin	3 1/4 x 4	1067
357	63-107	Weasel		Thionin + Weil	Sagittal		25µ	570	23	Celloidin	3 1/4 x 4	570, all
358	65-209	Wombat		Thionin + Heidenhain	Coronal		30µ	2950	207	Celloidin	3 1/4 x 4	1770: Thionin evens, HH every 10th
359	61-820	Zebra		Thionin + Weil	Coronal		40µ	3341	722	Celloidin	3 1/4 x 4	1334: every 5th + 6th
360	64-322	Zebu		Thionin + Heidenhain	Coronal		40µ	3451	600	Celloidin	3 1/4 x 4	1035: every 5th Thionin, every 10th HH
361	61-511R	Seal, northern fur		Thionin + Heidenhain	Sagittal		40µ	970	123	Celloidin	3 1/4 x 4	209: every 5th Thionin, every 10th HH
362	59-268L	Ringtailed Cat		Thionin	Sagittal		25µ	500	14	Celloidin	2 x 3	50, every 10th
363	69-73L (69-73R is on record # 358)	Tenrec		Thionin + Heidenhain	Sagittal		25µ	310	14	Celloidin	3 1/4 x 4	310, all
364	69-654L (69-654R on record# 362)	Tenrec		Thionin + Heidenhain	Coronal		30µ	620	12	Celloidin	3 1/4 x 4	620, all
365	67-49R (67-49L on record# 302)	Rat		Heidenhain	Sagittal		25µ	163	7	Paraffin	3 1/4 x 4	163, all
366	73-212	Rabbit		Thionin + Heidenhain	Horizontal		25µ	543	64	Celloidin	3 1/4 x 4	543, all
367	70-355L (70-355R on record# 224)	Monkey, Titi		Thionin + Heidenhain	Sagittal		30µ	393	26	Celloidin	3 1/4 x 4	393, all
368	Conrad III	Monkey, rhesus	Left Hemisphere	Thionin + Weil	Horizontal			1471	312	Celloidin	1 x 3	Every 10th + 11th
369	Conrad IV	Monkey, rhesus		Thionin + Weil	Coronal		20µ	1460	191	Celloidin	3 1/4 x 4	584
370	54-70	Monkey, rhesus		Thionin + Weil	Special plane		30µ	2200	133	Celloidin	3 1/4 x 4	1100: every 4th section in 2 series
371	70-206L	Monkey, rhesus		Thionin + Heidenhain	Sagittal		35µ	584	138	Celloidin	3 1/4 x 4	584, all
372	59-344R	Kinkajou		Thionin + Weil	Horizontal		25µ	1257	131: 107 3 1/4x4 + 24 2x3	Celloidin	3 1/4 x 4	1257, all
373	59-344L	Kinkajou		Thionin + Weil	Sagittal		25µ	559	119: 92 3 1/4x4 + 27 2x3	Celloidin	3 1/4 x 4 + 2 x 3	559, all
374	62-442	Lemur		Thionin + Weil	Coronal		25µ	1600	99	Celloidin	3 1/4 x 4	1600, all
375	72-93R	Galago EXP.		Thionin + Heidenhain	Horizontal		30µ	538	16	Celloidin	3 1/4 x 4	538, all
376	72-94L	Galago EXP.		Thionin + Heidenhai	Coronal		30µ	526	16	Celloidin	3 1/4 x 4	526, all
377	72-357L	Galago EXP.		Thionin + Heidenhain	Coronal		30µ	581	14	Celloidin	3 1/4 x 4	581, all
378	72-395L	Galago EXP.		Thionin + Heidenhain	Horizontal		30µ	288	10	Celloidin	3 1/4 x 4	288, all
379	59-220R	Coati mundi		Thionin + Weil	Horizontal		30µ	999	118: 94 3 1/4x4 + 24 2x3	Celloidin	3 1/4 x 4 + 2 x 3	999, all
380	A-118L	Cat		Golgi	Coronal		?	56	14	Celloidin	2 x 3	56
381	68-302R	Cat		Golgi-Cox , with Thionin counterstained	Coronal		?	114, in 3 blocks	28	Celloidin	2 x 3	114, all
382	63-169	Beaver		Thionin + Weil	Sagittal		25µ	897	144	Celloidin	3 1/4 x 4	897, all
383	no #	Anteater		Thionin + Weil	Coronal		40µ	4048	658	Celloidin	1 1/2 x 3	1012
384	69-602R	Beaver EXP.		Thionin + Heidenhain	Sageittal		25µ	525	58	Celloidin	3 1/4 x 4	525, all
385	69-602L	Beaver EXP.		Thionin + Heidenhain	Horizontal		25µ	691	51	Celloidin	3 1/4 x 4	691, all
386	69-614R	Beaver EXP.		Thionin + Heidenhain	Coronal		30µ	1152	41	Celloidin	4 1/4 x 4	1152, all
387	69-614 L	Beaver EXP.		Thionin + Heidenhain	Oblique horizontal		25µ	680	40	Celloidin	3 1/4 x 4	680, all
388	68-181	Beaver Tail - Skin biopsies		Winkelman Silver	Parallel to skin		50µ	18	3	Frozen	2 xz 3	18
389	68-181	Beaver Block of tail		Hematoxylin-Eosin	Cross-section		20µ	4	1	Paraffin	3 1/4 x 4	4
390	68-211	Beaver Fetal tail		Hematoxylin-Eosin			10µ, 15µ, 20µ	12	4	Paraffin	3 1/4 x 4	12
391	70-2	Beaver Tail		Hematoxylin-Eosin	Coronal		150µ		27	Frozen	3 1/4 x 4	40
392	60-209	Bullfrog		Thionin	Coronal		25µ	1026	33	Celloidin	2 x 3	1026, all
393	62-100	Bullfrog		Thionin	Sagittal		25µ	465	11	Paraffin	2 x 3	465, all
394	62-101	Bullfrog		Thionin	Horizontal		25µ	300	10	Paraffin	2 x 3	300, all
395	62-428	Bullfrog		Thionin	Coronal		25µ	893	26	Paraffin	2 x 3	893, all
396	62-450	Bullfrog		Thionin	Coronal		25µ	809	20	Celloidin	2 x 3	809, all
397	63-97	Bullfrog		Thionin	Sagittal		25µ	230	14	Celloidin	2 x 3	230, all
398	62-137R	Bullfrog Head with brain + ear		Thionin	Coronal		10µ	1670	65	Paraffin	2 x 3	1670, all
399	85-8L	Manatee		Thionin + Heidenhain	Horizontal		40µ	1414	512	Celloidin	3 1/4 x 4	640
400	86-124L	Manatee		Thionin	Coronal		30µ	1922	497	Celloidin	3 1/4 x 4	1922, all
401	86-124	Manatee Cerebellum + brainstem		Thionin + Heidenhain	Horizontal		50µ	959	192	Celloidin	3 1/4 x 4	959, all
402	86-124	Manatee Right olfactory bulb		Thionin + Heidenhain			40µ	350	14	Celloidin	3 1/4 x 4	350, all
403	85-32	Manatee		Thionin + Heidenhain	Coronal		50µ	2870	1692	Celloidin	3 1/4 x 4	2870, all
404	85-62L	Manatee		Thionin + Heidenhain	Sagittal		50µ	685	512	Celloidin	3 1/4 x 4	685, all
405	85-62R	Manatee		Thionin + Heidenhain	Horizontal		30µ	1791	620	Celloidin	3 1/4 x 4	1791
406	86-150	Manatee Left olfactory bulb		Thionin + Heidenhain	Sagittal		40µ	70	4	Celloidin	3 1/4 x 4	70
407	86-150 Cerebellum - brainstem	Manatee		Thionin + Heidenhain	Coronal		50µ	1062	276	Celloidin	3 1/4 x 4	1062
408	68-406 EXP.-Thalidomide	Rhesus Monkey	Whole brain	Heidenhain + Thionin	coronal		30µ	1670	1002	Celloidin	3 1/4” x 4”	Thionin 835, Heidenhain 167
