"Species_Heuer2023"	"species_sci"	"Binomial_name_timetree"	"English_name"	"Microdraw_name"	"Provenance"	"Cerebellar_section_area_mm2"	"Cerebellar_section_length_mm"	"Cerebral_section_area_mm2"	"Cerebral_section_length_mm"	"Folial_width_median_mm"	"Folial_perimeter_median_mm"	"Molecular_layer_thickness_median_mm"	"Log10Area_cb_source"	"Log10Length_cb_source"	"Log10Area_ctx_source"	"Log10Length_ctx_source"	"Log10WidthMedian_source"	"Log10PeriodMedian_source"	"Log10ThicknessMedian_source"	"LogBodyWeight_source"	"LogBrainWeight_source"
"Eulemur mongoz"	"Eulemur mongoz"	"Eulemur mongoz"	"Mongoose lemur"	"Mongoose lemur"	"Brainmuseum"	106.724719634393	155.859168193049	309.593250078264	124.364802459645	1.01735240773395	2.98239720328988	0.206156	2.02826502258682	2.19273235411712	2.49079148338773	2.09469748437029	0.00747141725250937	0.474565483419213	-0.685804020896716	7.10002716662926	3.00419635196612
"Felis catus"	"Felis catus"	"Felis catus"	"Cat"	"Cat"	"Brainmuseum"	119.846605227509	196.406755158588	379.693112181212	161.159868160099	0.91917934258828	2.01459802992741	0.188907	2.07862573672728	2.29315642070983	2.57943271889691	2.20725690343361	-0.036599744438059	0.304188404919086	-0.723751948880456	8.10167774745457	3.24259235148551
"Galictis vittata"	"Galictis vittatus"	"Galictis vittata"	"Greater grison"	"Greater Grison Cell stain"	"Brainmuseum"	102.573035788559	246.555329716437	297.711245182966	146.906451094433	1.27911522963808	3.77148639865844	0.177448	2.01103320924258	2.39191439498892	2.47379523917704	2.1670408673573	0.106909669843628	0.576512545832093	-0.750928891181752	7.76131918094799	3.14285833844428
"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Human"	"Human 20um BigBrain"	"BigBrain Project"	2356.47061146875	2667.37465456824	7832.58066442487	1290.656378724	1.367997201768	2.83890519569076	0.29263	3.37226202786118	3.42608402018334	3.89390487619137	3.11081063212857	0.136085209037635	0.453150889646028	-0.533681152692643	11.0821425488778	7.1929342212158
"Lama glama"	"Lama glama"	"Lama glama"	"Llama"	"Llama"	"Brainmuseum"	391.1680140002	490.995953524056	1263.15561186857	413.983333416008	1.39355197662963	3.01504348461217	0.27768	2.59236333509525	2.69107791295919	3.10145685587037	2.6169828571809	0.144123171644562	0.479293580154753	-0.556455399336644	11.4099731583589	5.57670639208822
"Macaca mulatta"	"Macaca mulatta"	"Macaca mulatta"	"Rhesus macaque"	"Rhesus macaque rm316 Nissl"	"Brainmaps"	373.112688342037	433.064615180233	1114.76646029172	299.86116289501	1.26558434429983	3.7602271130404	0.174406	2.57184001822666	2.63655269986983	3.04718389372502	2.47692022090255	0.102291093819335	0.57521407656635	-0.758438578336545	8.8236479491913	4.4884116253779
"Macaca nemestrina"	"Macaca nemestrina"	"Macaca nemestrina"	"Pig-tailed macaque"	"Pig-tailed macaque"	"Brainmuseum"	283.127800743792	405.697315965214	1187.48843067176	417.131579475139	1.05908296475135	2.78770338533553	0.274585	2.45198251548603	2.60820213448433	3.07462938712226	2.62027306990489	0.024929982508232	0.445246562480139	-0.561323191043764	9.08489052125877	4.65956366981842
"Macropus fuliginosus"	"Macropus fuliginosus"	"Macropus fuliginosus"	"Grey kangaroo"	"Gray kangaroo"	"Brainmuseum"	181.093008594898	300.247510911526	391.407364588938	146.739870198484	0.949160824026092	2.31018859545439	0.232949	2.25790168395698	2.47747941573566	2.59262899293733	2.16654813057556	-0.0226601952970981	0.363647435572581	-0.632739149544647	10.5050675395706	4.06044301054642
"Mandrillus sphinx"	"Mandrillus sphinx"	"Mandrillus sphinx"	"Mandrill"	"Mandrill cell stained"	"Brainmuseum"	295.818876978636	452.494364847967	1127.47134606391	397.179749200146	0.96836829744449	2.23382133055908	0.287488	2.47102588401543	2.65561317507565	3.05210551338418	2.59898709723816	-0.0139594369815345	0.349048433660803	-0.541380278426693	10.0690019910137	5.03617307788409
"Mustela erminea"	"Mustela erminea"	"Mustela erminea"	"Weasel"	"Weasel"	"Brainmuseum"	24.3554131789647	51.6574899094394	64.3642996522578	50.4853474221286	0.825559504463146	2.38079215485023	0.21935	1.3865955015868	1.71313329953447	1.80864504805717	1.70316534926552	-0.0832516183083501	0.376721482787631	-0.658862361259036	4.78749174278205	1.38629436111989
"Myrmecophaga tridactyla"	"Myrmecophaga tridactyla"	"Myrmecophaga tridactyla"	"Giant anteater"	"Giant anteater"	"Brainmuseum"	248.695880658546	321.901572014862	454.483044103063	124.185615181884	1.07593771573947	3.07049748344904	0.246509	2.39566859177545	2.50772309757941	2.6575176851601	2.09407129303109	0.0317871314664527	0.487208745774646	-0.608167220082556	10.244332358385	4.22390976657674
"Nasua narica"	"Nasua narica"	"Nasua narica"	"White-nosed coati"	"White-nosed Coati"	"Brainmuseum"	172.251834657177	246.350567498171	327.891580150959	154.719441291292	0.78105667399995	1.81806787015853	0.183606	2.2361638562821	2.39155356706167	2.51573026466898	2.18954488845721	-0.107317452278335	0.259610091804075	-0.736113130736549	8.21608809863232	3.63758615972639
"Neogale vison"	"Neogale vison"	"Neogale vison"	"American mink"	"American mink Cell stain"	"Brainmuseum"	45.1992016244204	95.9525391679129	147.223641061459	102.798201378291	0.685011284902017	2.07796805369101	0.138601	1.65513076372353	1.98205647184921	2.16797755428236	2.0119855160375	-0.164302273864793	0.317638866506838	-0.858233636297696	6.46925031679577	1.94591014905531
"Odocoileus virginianus"	"Odocoileus virginianus"	"Odocoileus virginianus"	"White-tailed deer"	"White-tailed deer"	"Brainmuseum"	354.023681142131	380.835517778883	1015.08006909468	382.505864021318	1.37095044190876	3.75182432628093	0.331883	2.54903231356638	2.58073744511175	3.00650030056893	2.58263809750945	0.137021755887568	0.574242494975428	-0.479014992831765	10.5966347330961	5.07517381523383
"Oryctolagus cuniculus"	"Oryctolagus cuniculus"	"Oryctolagus cuniculus"	"European rabbit"	"European rabbit"	"Brainmuseum"	77.168393130171	165.25223615766	140.431220634143	58.7028522086366	0.950024415604811	2.68098064798983	0.182976	1.887439457073	2.21814734497681	2.14746367076962	1.76865920292358	-0.0222652332099049	0.42829367914455	-0.737605870658124	8.43598313599069	2.30757263450508
"Ovis aries domestica"	"Ovis aries domestica"	"Ovis aries"	"Sheep"	"Sheep"	"Brainmuseum"	436.943936775881	405.149037660849	929.782103742728	316.549203731364	1.62848429109811	4.04829320073899	NA	2.64042571726603	2.60761481167685	2.96838118271545	2.50044122540603	0.211783573571871	0.607271959081678	NA	10.9241382997345	5.16478597392351
"Pan troglodytes"	"Pan troglodytes"	"Pan troglodytes"	"Chimpanzee"	"Chimpanzee"	"Brainmuseum"	935.340119767695	953.147800098087	2393.3273394828	714.105091717726	1.30589576413114	3.11086340489291	NA	2.97096956304214	2.97916024984089	3.37900210187662	2.85376212969573	0.115908513180026	0.49288094206221	NA	10.7136841663987	5.90903357312882
"Panthera leo"	"Panthera leo"	"Panthera leo"	"Lion"	"Lion"	"Brainmuseum"	638.301729167997	522.266566541586	1881.71976023028	520.01234763745	1.52565587060292	3.21835314606979	0.339366	2.80502602094101	2.71789222489645	3.27455494552701	2.71601365603315	0.183456584501933	0.507633696995636	-0.469331670421525	11.9922604216448	5.40999290043863
"Pecari tajacu"	"Pecari tajacu"	"Pecari tajacu"	"Collared peccary"	"Collared peccary"	"Brainmuseum"	218.54196899359	265.203549703434	348.167128111319	170.338100671237	1.61422663057771	3.56316529063378	0.232494	2.33953485161335	2.42357933272782	2.54178776519092	2.23131180040275	0.207964507771318	0.551835969178165	-0.633588250518177	9.0395520509959	4.18965474202643
