"Species_Reader2011"	"Genus_Reader2011"	"SpeciesPurvis"	"GenusPurvis"	"species_sci"	"Taxon"	"Great_ape"	"Innovation"	"Tool_use"	"Extractive_foraging"	"Social_learning"	"Innovation_reduced"	"Tool_use_reduced"	"Extractive_foraging_reduced"	"Journal_search_article_count"	"Zoological_record_article_count"	"Journal_reports_2002"	"Innovation_2002"	"Social_learning_2002"	"Tool_use_2002"
"Hylobates muelleri"	"Hylobates"	"Hylobates muelleri"	"Hylobates"	"Hylobates muelleri"	"Simian"	"No"	0	0	0	0	0	0	0	1	5	1	0	0	0
"Hylobates pileatus"	"Hylobates"	"Hylobates pileatus"	"Hylobates"	"Hylobates pileatus"	"Simian"	"No"	1	0	0	0	1	0	0	3	16	2	1	0	0
"Hylobates syndactylus"	"Hylobates"	"Hylobates syndactylus"	"Hylobates"	"Symphalangus syndactylus"	"Simian"	"No"	0	0	0	0	0	0	0	8	40	4	0	0	0
"Indri indri"	"Indri"	"Indri indri"	"Indri"	"Indri indri"	"Prosimian"	"No"	0	0	0	0	0	0	0	2	8	NA	NA	NA	NA
"Lemur catta"	"Lemur"	"Lemur catta"	"Lemur"	"Lemur catta"	"Prosimian"	"No"	2	0	2	4	0	0	0	43	103	11	2	4	0
"Leontopithecus chrysomelas"	"Leontopithecus"	"Leontopithecus chrysomelas"	"Leontopithecus"	"Leontopithecus chrysomelas"	"Simian"	"No"	1	0	0	0	1	0	0	9	46	3	1	0	0
"Leontopithecus chrysopygus"	"Leontopithecus"	"Leontopithecus chrysopygus"	"Leontopithecus"	"Leontopithecus chrysopygus"	"Simian"	"No"	0	0	0	0	0	0	0	2	38	NA	NA	NA	NA
"Leontopithecus rosalia"	"Leontopithecus"	"Leontopithecus rosalia"	"Leontopithecus"	"Leontopithecus rosalia"	"Simian"	"No"	0	0	0	0	0	0	0	23	85	2	0	0	0
"Lepilemur dorsalis"	"Lepilemur"	"Lepilemur dorsalis"	"Lepilemur"	"Lepilemur dorsalis"	"Prosimian"	"No"	0	0	0	0	0	0	0	1	1	NA	NA	NA	NA
"Lepilemur edwardsi"	"Lepilemur"	"Lepilemur edwardsi"	"Lepilemur"	"Lepilemur edwardsi"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	5	NA	NA	NA	NA
"Lepilemur leucopus"	"Lepilemur"	"Lepilemur leucopus"	"Lepilemur"	"Lepilemur leucopus"	"Prosimian"	"No"	0	0	0	0	0	0	0	2	2	NA	NA	NA	NA
"Lepilemur microdon"	"Lepilemur"	"Lepilemur microdon"	"Lepilemur"	"Lepilemur microdon"	"Prosimian"	"No"	0	0	0	0	0	0	0	1	1	NA	NA	NA	NA
"Lepilemur mustelinus"	"Lepilemur"	"Lepilemur mustelinus"	"Lepilemur"	"Lepilemur mustelinus"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	5	NA	NA	NA	NA
"Lepilemur ruficaudatus"	"Lepilemur"	"Lepilemur ruficaudatus"	"Lepilemur"	"Lepilemur ruficaudatus"	"Prosimian"	"No"	0	0	0	0	0	0	0	2	2	NA	NA	NA	NA
"Lepilemur septentrionalis"	"Lepilemur"	"Lepilemur septentrionalis"	"Lepilemur"	"Lepilemur septentrionalis"	"Prosimian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Loris tardigradus"	"Loris"	"Loris tardigradus"	"Loris"	"Loris tardigradus"	"Prosimian"	"No"	1	0	0	0	1	0	0	6	14	3	1	0	0
"Mandrillus leucophaeus"	"Mandrillus"	"Mandrillus leucophaeus"	"Mandrillus"	"Mandrillus leucophaeus"	"Simian"	"No"	0	0	0	0	0	0	0	3	18	NA	NA	NA	NA
"Mandrillus sphinx"	"Mandrillus"	"Mandrillus sphinx"	"Mandrillus"	"Mandrillus sphinx"	"Simian"	"No"	0	0	0	3	0	0	0	4	30	2	0	3	0
"Microcebus murinus"	"Microcebus"	"Microcebus murinus"	"Microcebus"	"Microcebus murinus"	"Prosimian"	"No"	0	0	0	0	0	0	0	44	66	6	0	0	0
"Microcebus myoxinus"	"Microcebus"	"Microcebus myoxinus"	"Microcebus"	"Microcebus myoxinus"	"Prosimian"	"No"	0	0	0	0	0	0	0	2	NA	NA	NA	NA	NA
"Microcebus ravelobensis"	"Microcebus"	"Microcebus ravelobensis"	"Microcebus"	"Microcebus ravelobensis"	"Prosimian"	"No"	0	0	0	0	0	0	0	2	NA	NA	NA	NA	NA
"Microcebus rufus"	"Microcebus"	"Microcebus rufus"	"Microcebus"	"Microcebus rufus"	"Prosimian"	"No"	0	0	0	0	0	0	0	5	8	NA	NA	NA	NA
"Microcebus coquereli"	"Microcebus"	"Mirza coquereli"	"Mirza"	"Microcebus coquereli"	"Prosimian"	"No"	0	0	0	0	0	0	0	2	3	NA	NA	NA	NA
"Nasalis larvatus"	"Nasalis"	"Nasalis larvatus"	"Nasalis"	"Nasalis larvatus"	"Simian"	"No"	0	0	0	0	0	0	0	11	17	4	0	0	0
"Nycticebus coucang"	"Nycticebus"	"Nycticebus coucang"	"Nycticebus"	"Nycticebus coucang"	"Prosimian"	"No"	0	0	0	0	0	0	0	7	37	NA	NA	NA	NA
"Nycticebus pygmaeus"	"Nycticebus"	"Nycticebus pygmaeus"	"Nycticebus"	"Nycticebus pygmaeus"	"Prosimian"	"No"	0	0	0	0	0	0	0	10	19	2	0	0	0
"Otolemur crassicaudatus"	"Otolemur"	"Otolemur crassicaudatus"	"Otolemur"	"Otolemur crassicaudatus"	"Prosimian"	"No"	2	0	2	1	1	0	1	11	36	8	2	1	0
"Otolemur garnettii"	"Otolemur"	"Otolemur garnettii"	"Otolemur"	"Otolemur garnettii"	"Prosimian"	"No"	1	0	0	1	1	0	0	17	12	4	1	0	0
"Perodicticus potto"	"Perodicticus"	"Perodicticus potto"	"Perodicticus"	"Perodicticus potto"	"Prosimian"	"No"	0	0	0	0	0	0	0	1	10	NA	NA	NA	NA
"Eulemur coronatus"	"Eulemur"	"Petterus coronatus"	"Petterus"	"Eulemur coronatus"	"Prosimian"	"No"	0	0	0	0	0	0	0	2	11	NA	NA	NA	NA
"Eulemur fulvus"	"Eulemur"	"Petterus fulvus"	"Petterus"	"Eulemur fulvus"	"Prosimian"	"No"	3	0	3	1	0	0	0	24	81	8	3	1	0
"Eulemur macaco"	"Eulemur"	"Petterus macaco"	"Petterus"	"Eulemur macaco"	"Prosimian"	"No"	1	1	2	0	0	0	2	18	32	4	0	0	0
"Eulemur mongoz"	"Eulemur"	"Petterus mongoz"	"Petterus"	"Eulemur mongoz"	"Prosimian"	"No"	1	0	1	0	0	0	0	6	13	1	1	0	0
"Eulemur rubriventer"	"Eulemur"	"Petterus rubriventer"	"Petterus"	"Eulemur rubriventer"	"Prosimian"	"No"	0	0	0	0	0	0	0	4	13	NA	NA	NA	NA
"Phaner furcifer"	"Phaner"	"Phaner furcifer"	"Phaner"	"Phaner furcifer"	"Prosimian"	"No"	0	0	0	0	0	0	0	1	1	1	0	0	0
"Pithecia aequatorialis"	"Pithecia"	"Pithecia aequatorialis"	"Pithecia"	"Pithecia aequatorialis"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Pithecia albicans"	"Pithecia"	"Pithecia albicans"	"Pithecia"	"Pithecia albicans"	"Simian"	"No"	0	0	0	0	0	0	0	1	1	NA	NA	NA	NA
"Pithecia irrorata"	"Pithecia"	"Pithecia irrorata"	"Pithecia"	"Pithecia irrorata"	"Simian"	"No"	0	0	0	0	0	0	0	1	7	NA	NA	NA	NA
"Pithecia monachus"	"Pithecia"	"Pithecia monachus"	"Pithecia"	"Pithecia monachus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA
"Pithecia pithecia"	"Pithecia"	"Pithecia pithecia"	"Pithecia"	"Pithecia pithecia"	"Simian"	"No"	0	0	0	0	0	0	0	10	28	NA	NA	NA	NA
"Trachypithecus auratus"	"Trachypithecus"	"Presbytis aurata"	"Presbytis"	"Trachypithecus auratus"	"Simian"	"No"	0	0	0	0	0	0	0	1	2	NA	NA	NA	NA
"Presbytis comata"	"Presbytis"	"Presbytis comata"	"Presbytis"	"Presbytis comata"	"Simian"	"No"	0	0	0	0	0	0	0	NA	11	2	0	0	0
"Trachypithecus cristatus"	"Trachypithecus"	"Presbytis cristata"	"Presbytis"	"Trachypithecus cristatus"	"Simian"	"No"	0	0	0	0	0	0	0	4	8	2	0	0	0
"Trachypithecus delacouri"	"Trachypithecus"	"Presbytis delacouri"	"Presbytis"	"Trachypithecus delacouri"	"Simian"	"No"	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA
"Semnopithecus entellus"	"Semnopithecus"	"Presbytis entellus"	"Presbytis"	"Semnopithecus entellus"	"Simian"	"No"	7	0	3	2	4	0	0	41	98	19	6	2	0
"Trachypithecus francoisi"	"Trachypithecus"	"Presbytis francoisi"	"Presbytis"	"Trachypithecus francoisi"	"Simian"	"No"	0	0	0	0	0	0	0	7	45	3	0	0	0
"Presbytis frontata"	"Presbytis"	"Presbytis frontata"	"Presbytis"	"Presbytis frontata"	"Simian"	"No"	0	0	0	0	0	0	0	NA	1	NA	NA	NA	NA
"Presbytis geei"	"Presbytis"	"Presbytis geei"	"Presbytis"	"Presbytis geei"	"Simian"	"No"	0	0	0	0	0	0	0	NA	7	NA	NA	NA	NA
"Trachypithecus johnii"	"Trachypithecus"	"Presbytis johnii"	"Presbytis"	"Trachypithecus johnii"	"Simian"	"No"	0	0	0	1	0	0	0	1	9	NA	NA	NA	NA
"Presbytis melalophos"	"Presbytis"	"Presbytis melalophos"	"Presbytis"	"Presbytis melalophos"	"Simian"	"No"	0	0	0	0	0	0	0	1	6	1	0	0	0
"Trachypithecus obscurus"	"Trachypithecus"	"Presbytis obscura"	"Presbytis"	"Trachypithecus obscurus"	"Simian"	"No"	0	0	0	0	0	0	0	1	6	NA	NA	NA	NA
"Trachypithecus phayrei"	"Trachypithecus"	"Presbytis phayrei"	"Presbytis"	"Trachypithecus phayrei"	"Simian"	"No"	0	0	0	0	0	0	0	1	16	1	0	0	0
"Trachypithecus pileatus"	"Trachypithecus"	"Presbytis pileatus"	"Presbytis"	"Trachypithecus pileatus"	"Simian"	"No"	0	0	0	0	0	0	0	2	5	NA	NA	NA	NA
"Presbytis potenziani"	"Presbytis"	"Presbytis potenziani"	"Presbytis"	"Presbytis potenziani"	"Simian"	"No"	0	0	0	0	0	0	0	NA	3	NA	NA	NA	NA
"Presbytis rubicunda"	"Presbytis"	"Presbytis rubicunda"	"Presbytis"	"Presbytis rubicunda"	"Simian"	"No"	0	0	0	0	0	0	0	2	3	NA	NA	NA	NA
"Presbytis thomasi"	"Presbytis"	"Presbytis thomasi"	"Presbytis"	"Presbytis thomasi"	"Simian"	"No"	0	0	0	0	0	0	0	3	NA	NA	NA	NA	NA
"Presbytis vetulus"	"Presbytis"	"Presbytis vetulus"	"Presbytis"	"Presbytis vetulus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	2	NA	NA	NA	NA
"Procolobus pennantii"	"Procolobus"	"Procolobus pennantii"	"Procolobus"	"Procolobus pennantii"	"Simian"	"No"	0	0	0	0	0	0	0	2	NA	NA	NA	NA	NA
"Procolobus preussi"	"Procolobus"	"Procolobus preussi"	"Procolobus"	"Procolobus preussi"	"Simian"	"No"	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA
"Procolobus verus"	"Procolobus"	"Procolobus verus"	"Procolobus"	"Procolobus verus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	3	NA	NA	NA	NA
"Propithecus diadema"	"Propithecus"	"Propithecus diadema"	"Propithecus"	"Propithecus diadema"	"Prosimian"	"No"	0	0	0	0	0	0	0	9	28	3	0	0	0
"Propithecus tattersalli"	"Propithecus"	"Propithecus tattersalli"	"Propithecus"	"Propithecus tattersalli"	"Prosimian"	"No"	0	0	0	0	0	0	0	1	9	NA	NA	NA	NA
"Propithecus verreauxi"	"Propithecus"	"Propithecus verreauxi"	"Propithecus"	"Propithecus verreauxi"	"Prosimian"	"No"	0	0	0	1	0	0	0	13	41	3	0	1	0
"Pygathrix avunculus"	"Pygathrix"	"Pygathrix avunculus"	"Pygathrix"	"Pygathrix avunculus"	"Simian"	"No"	0	0	0	0	0	0	0	2	11	NA	NA	NA	NA
"Pygathrix bieti"	"Pygathrix"	"Pygathrix bieti"	"Pygathrix"	"Pygathrix bieti"	"Simian"	"No"	0	0	0	0	0	0	0	8	NA	NA	NA	NA	NA
"Pygathrix brelichi"	"Pygathrix"	"Pygathrix brelichi"	"Pygathrix"	"Pygathrix brelichi"	"Simian"	"No"	0	0	0	0	0	0	0	1	16	1	0	0	0
"Pygathrix nemaeus"	"Pygathrix"	"Pygathrix nemaeus"	"Pygathrix"	"Pygathrix nemaeus"	"Simian"	"No"	0	0	0	0	0	0	0	2	25	NA	NA	NA	NA
"Pygathrix roxellana"	"Pygathrix"	"Pygathrix roxellana"	"Pygathrix"	"Pygathrix roxellana"	"Simian"	"No"	1	0	1	0	0	0	0	12	36	9	0	0	0
"Saguinus bicolor"	"Saguinus"	"Saguinus bicolor"	"Saguinus"	"Saguinus bicolor"	"Simian"	"No"	0	0	0	0	0	0	0	1	9	1	0	0	0
"Saguinus fuscicollis"	"Saguinus"	"Saguinus fuscicollis"	"Saguinus"	"Saguinus fuscicollis"	"Simian"	"No"	1	1	1	2	1	1	1	20	81	9	1	2	1
"Saguinus geoffroyi"	"Saguinus"	"Saguinus geoffroyi"	"Saguinus"	"Saguinus geoffroyi"	"Simian"	"No"	0	0	0	0	0	0	0	6	NA	NA	NA	NA	NA
"Saguinus imperator"	"Saguinus"	"Saguinus imperator"	"Saguinus"	"Saguinus imperator"	"Simian"	"No"	0	0	0	0	0	0	0	4	16	NA	NA	NA	NA
"Saguinus inustus"	"Saguinus"	"Saguinus inustus"	"Saguinus"	"Saguinus inustus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Saguinus labiatus"	"Saguinus"	"Saguinus labiatus"	"Saguinus"	"Saguinus labiatus"	"Simian"	"No"	0	0	0	2	0	0	0	11	27	3	0	2	0
"Saguinus leucopus"	"Saguinus"	"Saguinus leucopus"	"Saguinus"	"Saguinus leucopus"	"Simian"	"No"	0	0	0	0	0	0	0	NA	3	NA	NA	NA	NA
"Saguinus midas"	"Saguinus"	"Saguinus midas"	"Saguinus"	"Saguinus midas"	"Simian"	"No"	0	0	0	0	0	0	0	4	17	2	0	0	0
"Saguinus mystax"	"Saguinus"	"Saguinus mystax"	"Saguinus"	"Saguinus mystax"	"Simian"	"No"	4	0	0	0	4	0	0	17	46	7	4	0	0
"Saguinus nigricollis"	"Saguinus"	"Saguinus nigricollis"	"Saguinus"	"Saguinus nigricollis"	"Simian"	"No"	0	0	0	0	0	0	0	1	3	NA	NA	NA	NA
"Saguinus oedipus"	"Saguinus"	"Saguinus oedipus"	"Saguinus"	"Saguinus oedipus"	"Simian"	"No"	0	0	0	0	0	0	0	33	153	6	0	0	0
"Saguinus tripartitus"	"Saguinus"	"Saguinus tripartitus"	"Saguinus"	"Saguinus tripartitus"	"Simian"	"No"	0	0	0	0	0	0	0	1	5	NA	NA	NA	NA
"Nasalis concolor"	"Nasalis"	"Simias concolor"	"Simias"	"Nasalis concolor"	"Simian"	"No"	0	0	0	0	0	0	0	2	4	1	0	0	0
"Tarsius bancanus"	"Tarsius"	"Tarsius bancanus"	"Tarsius"	"Tarsius bancanus"	"Tarsier"	"No"	0	0	0	0	0	0	0	3	8	NA	NA	NA	NA
"Tarsius dianae"	"Tarsius"	"Tarsius dianae"	"Tarsius"	"Tarsius dianae"	"Tarsier"	"No"	0	0	0	0	0	0	0	4	2	1	0	0	0
"Tarsius pumilis"	"Tarsius"	"Tarsius pumilis"	"Tarsius"	"Tarsius pumilis"	"Tarsier"	"No"	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
"Tarsius spectrum"	"Tarsius"	"Tarsius spectrum"	"Tarsius"	"Tarsius spectrum"	"Tarsier"	"No"	0	0	0	0	0	0	0	8	9	NA	NA	NA	NA
"Tarsius syrichta"	"Tarsius"	"Tarsius syrichta"	"Tarsius"	"Tarsius syrichta"	"Tarsier"	"No"	0	0	0	0	0	0	0	NA	10	NA	NA	NA	NA
"Theropithecus gelada"	"Theropithecus"	"Theropithecus gelada"	"Theropithecus"	"Theropithecus gelada"	"Simian"	"No"	0	0	0	0	0	0	0	10	34	3	0	0	0
"Varecia variegata"	"Varecia"	"Varecia variegata"	"Varecia"	"Varecia variegata"	"Prosimian"	"No"	0	0	0	0	0	0	0	13	57	2	0	0	0
